Date,Open,High,Low,Close,Volume
2020-01-02,53.75,54.15,53.7,54.1,651303
2020-01-03,54.45,54.6,53.85,54.05,751165
2020-01-06,53.8,53.8,53.55,53.65,934168
2020-01-07,53.5,53.6,52.9,53.25,883763
2020-01-08,52.85,53.25,52.7,53.0,1029705
2020-01-09,53.45,53.75,53.35,53.75,468834
2020-01-10,53.8,53.95,53.6,53.85,1058259
2020-01-13,54.15,54.3,53.95,54.2,791505
2020-01-14,54.5,54.7,54.5,54.6,546115
2020-01-15,54.6,54.6,54.0,54.15,1028888
2020-01-16,53.85,54.0,53.65,53.9,724975
2020-01-17,54.05,54.05,53.8,53.9,456980
2020-01-20,54.05,54.25,54.0,54.05,725025
2020-01-30,52.55,52.55,51.9,52.0,1781175
2020-01-31,52.0,52.0,51.3,51.5,2139662
2020-02-03,50.85,51.1,50.2,50.9,1051862
2020-02-04,51.2,51.95,51.05,51.85,787316
2020-02-05,52.1,52.2,51.6,52.0,821675
2020-02-06,52.35,52.9,52.35,52.9,910667
2020-02-07,52.5,52.5,52.05,52.2,887071
2020-02-10,51.55,52.2,51.35,51.95,590764
2020-02-11,52.25,52.6,52.25,52.45,613345
2020-02-12,52.6,53.1,52.6,53.05,667615
2020-02-13,53.2,53.4,53.0,53.1,772231
2020-02-14,53.05,53.25,52.95,53.15,626241
2020-02-17,52.95,52.95,52.6,52.8,815343
2020-02-18,52.5,52.5,52.15,52.15,1256363
2020-02-19,52.3,52.75,52.1,52.6,636465
2020-02-20,52.75,52.8,52.35,52.5,715251
2020-02-21,52.5,52.55,52.1,52.3,723749
2020-02-24,51.65,51.8,51.5,51.7,1062801
2020-02-25,51.45,51.75,51.2,51.7,549384
2020-02-26,51.3,51.4,51.0,51.25,1945063
2020-02-27,51.2,51.3,50.65,50.75,1321475
2020-03-02,50.0,50.55,49.98,50.15,1291062
2020-03-03,50.85,51.0,50.6,50.8,1145813
2020-03-04,50.8,50.95,50.5,50.9,838133
2020-03-05,50.95,51.5,50.95,51.45,723439
2020-03-06,51.4,51.4,50.55,50.6,1296320
2020-03-09,49.65,49.83,49.25,49.55,1890283
2020-03-10,48.88,49.25,48.5,49.24,1950293
2020-03-11,49.28,49.48,48.6,48.65,1630222
2020-03-12,48.45,48.45,46.65,47.0,2376511
2020-03-13,44.16,46.17,43.0,45.88,2824164
2020-03-16,45.9,45.9,44.03,44.1,1615399
2020-03-17,43.0,43.8,42.76,43.03,992522
2020-03-18,43.8,43.8,41.55,41.55,1366482
2020-03-19,41.2,41.2,38.6,39.61,1354039
2020-03-20,41.2,42.4,40.65,42.0,1630221
2020-03-23,41.05,41.4,39.99,40.8,822646
2020-03-24,42.03,43.05,42.03,42.57,960580
2020-03-25,43.99,44.3,43.59,43.8,1566002
2020-03-26,44.1,44.39,43.5,44.21,1440903
2020-03-27,44.93,45.2,43.85,43.9,1605231
2020-03-30,42.6,43.47,42.5,43.36,780257
2020-03-31,44.0,44.1,43.36,43.54,1065666
2020-04-01,43.81,43.9,43.46,43.54,1108250
2020-04-06,44.25,44.25,43.4,43.95,1988691
2020-04-07,44.7,45.08,44.61,44.82,1173722
2020-04-08,44.9,45.5,44.88,45.5,855867
2020-04-09,45.78,45.81,45.11,45.4,941963
2020-04-10,45.2,45.38,45.15,45.34,506616
2020-04-13,45.39,45.45,45.01,45.16,839911
2020-04-14,45.28,46.27,45.22,46.27,932619
2020-04-15,46.31,46.62,46.31,46.5,863048
2020-04-16,46.08,46.5,45.9,46.35,1061902
2020-04-17,47.51,48.0,47.45,47.63,772772
2020-04-20,47.89,47.89,47.4,47.54,666075
2020-04-21,47.28,47.28,46.0,46.25,1439973
2020-04-22,45.97,46.17,45.5,46.17,758461
2020-04-23,46.34,46.9,46.08,46.45,984708
2020-04-24,46.5,46.72,46.16,46.39,1360110
2020-04-27,46.85,47.31,46.78,47.31,1073523
2020-04-28,47.45,47.51,46.97,47.23,869510
2020-04-29,47.34,47.99,47.34,47.9,969356
2020-04-30,48.41,48.95,48.32,48.93,1461250
2020-05-04,47.9,47.9,47.25,47.7,2021636
2020-05-05,47.9,47.97,47.65,47.78,1180558
2020-05-06,47.89,47.91,47.48,47.74,2296341
2020-05-07,47.76,48.22,47.71,48.04,1317378
2020-05-08,48.2,48.51,48.11,48.29,1069669
2020-05-11,48.79,48.92,48.52,48.72,1533795
2020-05-12,48.5,48.5,47.96,48.1,1613629
2020-05-13,47.8,48.31,47.8,48.25,897462
2020-05-14,47.99,48.05,47.67,47.7,1068511
2020-05-15,48.03,48.19,47.6,47.91,772084
2020-05-18,47.64,47.71,47.42,47.5,1638158
2020-05-19,48.13,48.14,47.8,47.95,585700
2020-05-20,48.03,48.14,47.84,47.95,716166
2020-05-21,48.08,48.4,48.08,48.37,865606
2020-05-22,48.0,48.0,47.5,47.56,1683336
2020-05-25,47.56,47.7,47.15,47.68,802439
2020-05-26,47.86,48.46,47.86,48.38,1518720
2020-05-27,48.39,48.57,48.15,48.28,830077
2020-05-28,48.4,48.53,47.89,48.0,947979
2020-05-29,47.72,48.23,47.52,48.23,913418
2020-06-01,48.25,48.66,48.25,48.56,911578
2020-06-02,48.63,48.91,48.63,48.9,720015
2020-06-03,49.16,49.72,49.16,49.71,1311772
2020-06-04,49.98,50.05,49.72,49.97,2049342
2020-06-05,50.0,50.4,50.0,50.35,1395865
2020-06-08,50.6,51.25,50.6,51.0,2143018
2020-06-09,51.2,51.2,50.75,51.2,819019
2020-06-10,51.15,51.75,51.15,51.65,812374
2020-06-11,51.75,51.95,50.8,50.85,1343600
2020-06-12,49.76,50.5,49.74,50.35,1295665
2020-06-15,50.35,50.45,49.69,49.76,949566
2020-06-16,50.35,51.0,50.35,50.9,1400081
2020-06-17,51.0,51.0,50.55,50.8,793331
2020-06-18,50.8,50.9,50.5,50.85,496760
2020-06-19,50.85,50.95,50.7,50.8,431500
2020-06-22,50.85,51.25,50.85,51.0,715539
2020-06-23,51.4,51.4,50.85,51.2,857061
2020-06-24,51.4,51.65,51.35,51.4,590504
2020-06-29,51.2,51.25,50.75,51.0,1186703
2020-06-30,51.05,51.35,51.05,51.35,734567
2020-07-01,51.4,51.8,51.4,51.75,595103
2020-07-02,51.75,52.2,51.75,52.2,579282
2020-07-03,52.55,52.85,52.5,52.8,552569
2020-07-06,52.9,53.85,52.9,53.75,1889538
2020-07-07,54.1,54.45,53.75,53.9,1159430
2020-07-08,53.9,54.35,53.85,54.35,917584
2020-07-09,54.5,54.75,54.35,54.4,1032211
2020-07-10,54.65,54.7,53.85,54.05,1084795
2020-07-13,54.5,54.8,54.3,54.8,1946813
2020-07-14,54.8,55.2,54.65,55.2,994861
2020-07-15,55.4,55.85,55.1,55.4,1408368
2020-07-16,55.35,55.4,54.7,54.95,1229664
2020-07-17,55.25,55.75,55.1,55.4,774629
2020-07-20,55.5,55.55,55.0,55.5,995534
2020-07-21,55.45,56.5,55.45,56.3,1490962
2020-07-22,56.3,56.75,56.25,56.45,970664
2020-07-23,56.45,56.45,56.0,56.4,834926
2020-07-24,56.6,57.0,55.85,56.2,2178705
2020-07-27,58.2,59.0,58.1,58.95,2527023
2020-07-28,61.3,63.2,58.85,59.1,2955784
2020-07-29,58.85,59.25,58.2,58.55,1068295
2020-07-30,59.45,59.8,59.0,59.5,823241
2020-07-31,59.3,59.6,59.1,59.3,753661
2020-08-03,59.1,59.2,58.35,58.4,981810
2020-08-04,58.6,59.15,58.6,59.1,342096
2020-08-05,59.5,59.8,59.3,59.6,876842
2020-08-06,60.2,60.5,60.0,60.25,1302866
2020-08-07,60.25,60.25,59.65,59.85,817324
2020-08-10,59.75,60.5,59.7,60.35,638399
2020-08-11,60.3,60.4,59.95,59.95,676559
2020-08-12,59.75,59.75,59.0,59.1,825689
2020-08-13,59.65,59.95,59.5,59.75,812691
2020-08-14,59.55,59.8,59.2,59.7,740128
2020-08-17,59.7,60.45,59.65,60.35,1084075
2020-08-18,60.4,60.5,59.95,60.05,591672
2020-08-19,60.05,60.4,59.55,59.6,614723
2020-08-20,59.45,59.45,56.7,57.8,2635089
2020-08-21,58.25,58.95,58.25,58.85,1289734
2020-08-24,59.0,59.25,58.7,59.05,609418
2020-08-25,59.2,59.65,59.05,59.3,676740
2020-08-26,59.4,59.8,59.35,59.7,687606
2020-08-27,60.1,60.55,59.7,59.7,1147402
2020-08-28,59.4,59.6,58.9,59.25,955604
2020-08-31,59.4,59.6,58.55,58.55,985740
2020-09-01,58.55,59.0,58.3,58.95,713218
2020-09-02,59.5,59.5,58.5,58.9,554508
2020-09-03,59.25,59.5,58.9,59.05,681249
2020-09-04,58.4,58.7,58.25,58.5,1178326
2020-09-07,58.5,58.9,58.35,58.5,1210403
2020-09-08,58.5,59.0,58.5,58.9,545548
2020-09-09,58.2,58.6,57.85,58.6,917756
2020-09-10,58.95,59.0,58.7,59.0,632974
2020-09-11,59.0,59.05,58.75,59.0,743054
2020-09-14,59.05,59.6,59.05,59.55,1097919
2020-09-15,59.55,59.95,59.5,59.9,390780
2020-09-16,60.8,61.0,60.6,60.7,2292427
2020-09-17,60.5,60.55,59.9,60.0,1178103
2020-09-18,60.0,60.1,59.5,60.0,785194
2020-09-21,60.0,60.3,59.35,59.5,1015440
2020-09-22,59.5,59.5,58.75,58.9,1259695
2020-09-23,58.9,59.0,58.45,58.75,973152
2020-09-24,57.95,58.1,57.4,57.45,2099291
2020-09-25,57.65,58.1,57.2,57.45,1244901
2020-09-28,57.65,58.4,57.65,58.3,1870596
2020-09-29,58.5,58.95,58.3,58.5,1174588
2020-09-30,58.6,58.95,58.6,58.75,1136590
2020-10-05,59.05,59.2,58.6,58.9,1843174
2020-10-06,59.5,59.65,59.2,59.55,2176205
2020-10-07,59.4,59.9,59.05,59.9,1691549
2020-10-08,60.2,60.6,60.1,60.55,2462298
2020-10-12,61.0,61.4,60.9,61.1,2221936
2020-10-13,61.35,61.45,60.5,60.95,1744254
2020-10-14,60.95,61.15,60.75,60.75,1468935
2020-10-15,60.75,60.75,60.05,60.4,1522732
2020-10-16,60.2,60.7,60.0,60.1,1948889
2020-10-19,59.8,60.7,59.8,60.6,1738168
2020-10-20,60.6,60.7,60.5,60.5,1631812
2020-10-21,60.65,60.8,60.35,60.4,1079896
2020-10-22,60.3,60.55,60.25,60.55,1442615
2020-10-23,60.8,60.9,60.5,60.6,1449264
2020-10-26,60.65,60.9,60.5,60.65,1506734
2020-10-27,60.35,60.35,60.15,60.3,1487432
2020-10-28,60.25,60.25,59.85,59.95,1650822
2020-10-29,59.3,59.4,58.7,59.25,1865009
2020-10-30,59.2,59.2,58.75,58.8,2353988
2020-11-02,58.9,59.05,58.45,59.0,1911280
2020-11-03,59.3,59.95,59.3,59.85,1838051
2020-11-04,60.0,60.75,59.85,60.7,1339563
2020-11-05,60.7,60.8,60.45,60.75,1761703
2020-11-06,60.9,61.25,60.85,61.0,1909068
2020-11-09,61.6,62.0,61.5,61.75,1871297
2020-11-10,61.75,61.75,61.15,61.5,1832947
2020-11-11,61.4,62.15,61.4,62.15,2043110
2020-11-12,62.45,62.55,62.15,62.35,1224623
2020-11-13,62.3,62.5,62.1,62.5,2013681
2020-11-16,63.15,64.65,63.15,64.5,2781104
2020-11-17,64.65,65.2,63.7,63.7,2676135
2020-11-18,63.7,64.5,63.7,64.5,1845390
2020-11-19,64.45,64.45,64.05,64.2,1874198
2020-11-20,64.0,64.15,63.9,64.0,2020190
2020-11-23,64.3,65.15,64.3,64.8,1826650
2020-11-24,64.9,64.95,64.5,64.55,2208188
2020-11-25,64.9,64.9,63.95,63.95,2145750
2020-11-26,64.0,64.7,64.0,64.45,2325952
