Date,Open,High,Low,Close,Volume,OpenInterest
2024-01-01,15791.26,15916.19,15727.13,15888.75,188292,387520
2024-01-02,15906.49,15949.35,15855.28,15879.87,173741,379346
2024-01-03,15758.34,15864.64,15734.71,15792.0,149358,342350
2024-01-04,15747.57,15880.4,15721.14,15790.31,229886,577987
2024-01-05,15797.31,15845.8,15700.13,15715.88,169968,456233
2024-01-08,15651.66,15658.41,15627.3,15649.57,199723,581058
2024-01-09,15573.15,15687.47,15491.76,15678.74,133590,396706
2024-01-10,15692.45,15757.27,15650.22,15720.3,120835,274458
2024-01-11,15786.78,15801.24,15657.79,15731.76,216204,448526
2024-01-12,15768.39,15805.72,15669.74,15707.2,237749,493102
2024-01-15,15687.77,15701.63,15576.33,15616.96,176041,406827
2024-01-16,15690.65,15728.24,15635.6,15670.49,214828,531100
2024-01-17,15630.05,15693.5,15565.94,15678.39,198208,500025
2024-01-18,15653.39,15855.03,15594.17,15852.46,252124,632470
2024-01-19,15875.1,15937.67,15812.62,15834.51,159575,467506
2024-01-22,15866.27,15915.27,15826.63,15837.48,215725,471697
2024-01-23,15898.85,15944.17,15884.96,15914.38,180394,508352
2024-01-24,15745.35,15759.86,15547.74,15564.15,185543,433728
2024-01-25,15589.31,15667.72,15565.06,15572.31,212877,630636
2024-01-26,15571.16,15640.65,15504.95,15549.43,150370,306286
2024-01-29,15702.63,15752.82,15690.01,15744.75,198264,591947
2024-01-30,15793.07,15841.49,15616.22,15648.57,238657,651107
2024-01-31,15560.82,15763.2,15469.93,15738.57,150473,307081
2024-02-01,15846.0,15882.92,15777.0,15777.38,181723,404605
2024-02-02,15807.27,15846.03,15595.56,15660.29,160837,470398
2024-02-05,15637.94,15661.13,15588.54,15632.06,226322,578298
2024-02-06,15643.6,15654.44,15413.35,15445.55,138152,376596
2024-02-07,15483.71,15533.97,15314.0,15323.25,242370,486969
2024-02-08,15279.46,15394.56,15260.15,15318.34,140434,380882
2024-02-09,15272.31,15386.56,15240.95,15340.31,263419,750539
2024-02-12,15456.7,15602.56,15425.63,15592.36,155524,462374
2024-02-13,15647.16,15657.16,15498.02,15548.17,226898,567843
2024-02-14,15717.34,15743.57,15651.35,15687.21,146455,430644
2024-02-15,15679.42,15774.15,15660.5,15743.07,238852,569685
2024-02-16,15797.0,15806.02,15675.69,15727.94,208659,536266
2024-02-19,15742.47,15859.77,15698.08,15825.63,202568,555192
2024-02-20,15892.34,16092.11,15852.59,16033.21,225751,647244
2024-02-21,16034.75,16141.3,15973.29,16103.86,200365,530960
2024-02-22,16145.82,16285.96,16113.14,16272.27,161358,416026
2024-02-23,16269.69,16292.89,16148.47,16225.86,217865,564451
2024-02-26,16296.53,16299.33,16224.1,16270.86,164234,430767
2024-02-27,16426.34,16600.14,16366.62,16518.94,241438,718483
2024-02-28,16531.26,16560.43,16229.76,16266.74,160373,324811
2024-02-29,16216.52,16288.36,16190.43,16204.88,184107,414285
2024-03-01,16231.13,16502.69,16191.4,16447.38,306107,740656
2024-03-04,16399.31,16627.4,16388.93,16570.84,293600,615924
2024-03-05,16502.94,16514.06,16024.82,16078.32,281620,742095
2024-03-06,16070.06,16090.01,15886.93,15889.41,317399,906647
2024-03-07,15918.78,15927.23,15771.69,15796.97,203490,598307
2024-03-08,15677.08,15730.61,15590.6,15616.21,305565,777851
2024-03-11,15652.96,15680.13,15626.97,15668.39,189593,539368
2024-03-12,15629.4,15644.21,15531.35,15570.88,272627,784476
2024-03-13,15610.09,15749.47,15586.78,15714.73,237364,709838
2024-03-14,15602.36,15732.7,15574.51,15681.66,258096,756416
2024-03-15,15750.58,15785.25,15676.47,15710.56,265273,615446
2024-03-18,15695.52,15768.52,15684.18,15732.69,169345,499578
2024-03-19,15770.14,15819.98,15682.15,15785.53,149699,400073
2024-03-20,15834.2,15862.36,15654.32,15683.56,199559,508781
2024-03-21,15674.33,15834.52,15660.9,15799.74,220646,577699
2024-03-22,15772.36,15780.93,15665.22,15688.61,243627,507072
2024-03-25,15600.29,15630.17,15445.09,15453.88,215545,522528
2024-03-26,15435.19,15620.65,15407.11,15620.46,197590,418657
2024-03-27,15568.77,15633.7,15505.14,15612.08,194561,444710
2024-03-28,15590.65,15662.96,15587.75,15643.87,249175,745772
2024-03-29,15595.5,15596.52,15574.5,15595.21,272557,669002
2024-04-01,15670.09,15901.46,15665.46,15824.82,248815,651928
2024-04-02,15786.88,15876.29,15662.0,15683.98,162043,481979
2024-04-03,15563.99,15600.89,15540.28,15585.83,248526,537466
2024-04-04,15700.01,15749.39,15517.89,15537.33,114343,339588
2024-04-05,15554.46,15722.16,15452.74,15710.48,154935,352230
2024-04-08,15713.43,15767.56,15687.34,15748.66,146618,433117
2024-04-09,15662.45,15684.82,15603.49,15647.74,277068,653371
2024-04-10,15600.89,15710.2,15596.08,15645.49,258964,660852
2024-04-11,15709.73,15728.32,15666.99,15721.36,186545,378459
2024-04-12,15807.43,15917.25,15778.51,15876.4,252921,605048
2024-04-15,15932.67,15938.49,15735.15,15743.55,100000,278365
2024-04-16,15656.64,15935.82,15654.32,15863.76,219203,546389
2024-04-17,15935.0,15996.24,15928.79,15934.02,196234,417758
2024-04-18,15874.11,15945.66,15829.27,15923.84,196866,525151
2024-04-19,15895.39,16024.43,15860.82,16004.13,172048,359357
2024-04-22,15937.86,15982.84,15886.95,15959.28,298236,608196
2024-04-23,15992.13,16051.23,15955.82,15999.84,168981,464403
2024-04-24,15962.98,15974.69,15800.84,15898.43,124240,305945
2024-04-25,15952.57,16172.7,15951.36,16130.21,248431,629055
2024-04-26,16068.55,16137.39,16030.55,16039.25,162182,327619
2024-04-29,15971.17,15999.04,15791.95,15824.58,182460,527405
2024-04-30,15880.39,16098.25,15817.72,16097.91,203868,527374
2024-05-01,16069.54,16137.33,15945.51,15962.03,166579,393639
2024-05-02,16083.94,16266.78,16059.8,16206.33,167467,366177
2024-05-03,16152.62,16176.1,15969.45,16076.75,234232,698568
2024-05-06,16018.39,16047.65,15986.12,16023.01,225045,659241
2024-05-07,16153.97,16223.74,15990.98,16030.87,161913,354110
2024-05-08,15915.13,15984.21,15819.11,15821.14,212986,487446
2024-05-09,15749.05,15760.29,15522.17,15638.26,119449,245088
2024-05-10,15614.2,15656.1,15470.4,15494.24,241784,667378
2024-05-13,15449.41,15549.68,15271.34,15343.77,148368,434648
2024-05-14,15306.7,15358.75,15300.34,15355.21,258389,552893
2024-05-15,15318.69,15377.02,15305.68,15352.94,184047,518014
2024-05-16,15480.39,15555.42,15466.93,15519.37,260060,634321
