Date,Close,Environment,Strategy,Signal,Position,PortfolioValue
2019-03-26,10559.2001953125,BULL,SMA趨勢,0,0,1000000.0
2019-03-27,10542.7001953125,BULL,SMA趨勢,0,0,1000000.0
2019-03-28,10536.259765625,BULL,SMA趨勢,0,0,1000000.0
2019-03-29,10641.0400390625,BULL,SMA趨勢,0,0,1000000.0
2019-04-01,10642.6298828125,BULL,SMA趨勢,0,0,1000000.0
2019-04-02,10690.2998046875,BULL,SMA趨勢,0,0,1000000.0
2019-04-03,10704.3798828125,BULL,SMA趨勢,0,0,1000000.0
2019-04-08,10800.5703125,BULL,SMA趨勢,0,0,1000000.0
2019-04-09,10851.599609375,BULL,SMA趨勢,0,0,1000000.0
2019-04-10,10868.1396484375,BULL,SMA趨勢,0,0,1000000.0
2019-04-11,10808.76953125,BULL,SMA趨勢,0,0,1000000.0
2019-04-12,10805.2998046875,BULL,SMA趨勢,0,0,1000000.0
2019-04-15,10875.599609375,BULL,SMA趨勢,0,0,1000000.0
2019-04-16,10927.849609375,BULL,SMA趨勢,0,0,1000000.0
2019-04-17,10997.259765625,BULL,SMA趨勢,0,0,1000000.0
2019-04-18,10962.01953125,BULL,SMA趨勢,0,0,1000000.0
2019-04-19,10968.5,BULL,SMA趨勢,0,0,1000000.0
2019-04-22,10987.7099609375,BULL,SMA趨勢,0,0,1000000.0
2019-04-23,11025.6796875,BULL,SMA趨勢,0,0,1000000.0
2019-04-24,11027.6396484375,BULL,SMA趨勢,0,0,1000000.0
2019-04-25,11039.8603515625,BULL,SMA趨勢,0,0,1000000.0
2019-04-26,10952.4697265625,BULL,SMA趨勢,0,0,1000000.0
2019-04-29,10939.0595703125,BULL,SMA趨勢,0,0,1000000.0
2019-04-30,10967.73046875,BULL,SMA趨勢,0,0,1000000.0
2019-05-02,11004.490234375,BULL,SMA趨勢,0,0,1000000.0
2019-05-03,11096.2998046875,BULL,SMA趨勢,0,0,1000000.0
2019-05-06,10897.1201171875,BULL,SMA趨勢,0,0,1000000.0
2019-05-07,10987.1396484375,BULL,SMA趨勢,0,0,1000000.0
2019-05-08,10923.7099609375,BULL,SMA趨勢,0,0,1000000.0
2019-05-09,10733.669921875,BULL,SMA趨勢,0,0,1000000.0
2019-05-10,10712.990234375,BEAR,均值回歸,0,0,1000000.0
2019-05-13,10558.2900390625,BEAR,均值回歸,1,1,1000000.0
2019-05-14,10519.25,BEAR,均值回歸,1,1,996302.4278630286
2019-05-15,10560.7099609375,BEAR,均值回歸,0,1,1000229.1963818049
2019-05-16,10474.6103515625,BEAR,均值回歸,0,1,992074.5038078694
2019-05-17,10384.1103515625,BEAR,均值回歸,1,1,983503.040089296
2019-05-20,10398.41015625,BEAR,均值回歸,0,1,984857.4075706395
2019-05-21,10464.5,BEAR,均值回歸,0,1,991116.9290940573
2019-05-22,10457.2197265625,BEAR,均值回歸,0,1,990427.3976064239
2019-05-23,10308.3701171875,BEAR,均值回歸,0,1,976329.5078132566
2019-05-24,10328.2802734375,BEAR,均值回歸,0,1,978215.2446301405
2019-05-27,10334.1298828125,BEAR,均值回歸,0,1,978769.274624899
2019-05-28,10312.3095703125,BEAR,均值回歸,0,1,976702.6225042174
2019-05-29,10301.7802734375,BEAR,均值回歸,0,1,975705.3685136522
2019-05-30,10382.990234375,BEAR,均值回歸,0,1,983396.9512071611
2019-05-31,10498.490234375,BEAR,均值回歸,0,1,994336.222582799
2019-06-03,10500.0703125,BEAR,均值回歸,0,1,994485.8754261244
2019-06-04,10429.1201171875,BEAR,均值回歸,0,1,987766.018796878
2019-06-05,10461.6201171875,BEAR,均值回歸,0,1,990844.168751062
2019-06-06,10409.2001953125,BULL,SMA趨勢,0,1,985879.357055128
2019-06-10,10566.4697265625,BEAR,均值回歸,0,1,1000774.7170677958
2019-06-11,10607.759765625,BULL,SMA趨勢,0,1,1004685.3918939029
2019-06-12,10615.66015625,BULL,SMA趨勢,0,1,1005433.6561105299
2019-06-13,10561.009765625,BULL,SMA趨勢,0,1,1000257.5915751923
2019-06-14,10524.669921875,BULL,SMA趨勢,0,1,996815.7611636813
2019-06-17,10530.5400390625,BULL,SMA趨勢,0,1,997371.7335006584
2019-06-18,10566.740234375,BULL,SMA趨勢,0,1,1000800.337486585
2019-06-19,10775.33984375,BULL,SMA趨勢,0,1,1020557.2875801368
2019-06-20,10785.009765625,BULL,SMA趨勢,0,1,1021473.1481824904
2019-06-21,10803.76953125,BULL,SMA趨勢,0,1,1023249.9288501546
2019-06-24,10779.4501953125,BULL,SMA趨勢,0,1,1020946.5884562532
2019-06-25,10706.7197265625,BULL,SMA趨勢,0,1,1014058.1180239277
2019-06-26,10652.5498046875,BULL,SMA趨勢,0,1,1008927.559791999
2019-06-27,10773.900390625,BULL,SMA趨勢,0,1,1020420.9536548823
2019-06-28,10730.830078125,BULL,SMA趨勢,0,1,1016341.6650256958
2019-07-01,10895.4599609375,BULL,SMA趨勢,0,1,1031934.1409098986
2019-07-02,10865.1201171875,BULL,SMA趨勢,0,1,1029060.5843360829
2019-07-03,10743.76953125,BULL,SMA趨勢,1,1,1017567.1904731999
2019-07-04,10775.900390625,BULL,SMA趨勢,0,1,1020610.3782674473
2019-07-05,10785.73046875,BULL,SMA趨勢,0,1,1021541.4076376042
2019-07-08,10751.2197265625,BULL,SMA趨勢,0,1,1018272.8156535024
2019-07-09,10702.7802734375,BULL,SMA趨勢,0,1,1013685.0033329667
2019-07-10,10798.48046875,BULL,SMA趨勢,0,1,1022748.9895427069
2019-07-11,10843.419921875,BULL,SMA趨勢,0,1,1027005.3087912536
2019-07-12,10824.349609375,BULL,SMA趨勢,0,1,1025199.1155128491
2019-07-15,10876.4296875,BULL,SMA趨勢,0,1,1030131.7398234449
2019-07-16,10886.0498046875,BULL,SMA趨勢,0,1,1031042.8833089815
2019-07-17,10828.48046875,BULL,SMA趨勢,0,1,1025590.3587311843
2019-07-18,10799.2802734375,BULL,SMA趨勢,0,1,1022824.7408892357
2019-07-19,10873.1904296875,BULL,SMA趨勢,0,1,1029824.9422453791
