Date,Close,Environment,Strategy,Signal,Position,PortfolioValue
2019-03-26,10559.2001953125,BULL,SMA趨勢,0,0,1000000.0
2019-03-27,10542.7001953125,BULL,SMA趨勢,0,0,1000000.0
2019-03-28,10536.259765625,BULL,SMA趨勢,0,0,1000000.0
2019-03-29,10641.0400390625,BULL,SMA趨勢,0,0,1000000.0
2019-04-01,10642.6298828125,BULL,SMA趨勢,0,0,1000000.0
2019-04-02,10690.2998046875,BULL,SMA趨勢,0,0,1000000.0
2019-04-03,10704.3798828125,BULL,SMA趨勢,0,0,1000000.0
2019-04-08,10800.5703125,BULL,SMA趨勢,0,0,1000000.0
2019-04-09,10851.599609375,BULL,SMA趨勢,0,0,1000000.0
2019-04-10,10868.1396484375,BULL,SMA趨勢,0,0,1000000.0
2019-04-11,10808.76953125,BULL,SMA趨勢,0,0,1000000.0
2019-04-12,10805.2998046875,BULL,SMA趨勢,0,0,1000000.0
2019-04-15,10875.599609375,BULL,SMA趨勢,0,0,1000000.0
2019-04-16,10927.849609375,BULL,SMA趨勢,0,0,1000000.0
2019-04-17,10997.259765625,BULL,SMA趨勢,0,0,1000000.0
2019-04-18,10962.01953125,BULL,SMA趨勢,0,0,1000000.0
2019-04-19,10968.5,BULL,SMA趨勢,0,0,1000000.0
2019-04-22,10987.7099609375,BULL,SMA趨勢,0,0,1000000.0
2019-04-23,11025.6796875,BULL,SMA趨勢,0,0,1000000.0
2019-04-24,11027.6396484375,BULL,SMA趨勢,0,0,1000000.0
2019-04-25,11039.8603515625,BULL,SMA趨勢,0,0,1000000.0
2019-04-26,10952.4697265625,BULL,SMA趨勢,0,0,1000000.0
2019-04-29,10939.0595703125,BULL,SMA趨勢,0,0,1000000.0
2019-04-30,10967.73046875,BULL,SMA趨勢,0,0,1000000.0
2019-05-02,11004.490234375,BULL,SMA趨勢,0,0,1000000.0
2019-05-03,11096.2998046875,BULL,SMA趨勢,0,0,1000000.0
2019-05-06,10897.1201171875,BULL,SMA趨勢,0,0,1000000.0
2019-05-07,10987.1396484375,BULL,SMA趨勢,0,0,1000000.0
2019-05-08,10923.7099609375,BULL,SMA趨勢,0,0,1000000.0
2019-05-09,10733.669921875,BULL,SMA趨勢,0,0,1000000.0
2019-05-10,10712.990234375,BULL,SMA趨勢,0,0,1000000.0
2019-05-13,10558.2900390625,BULL,SMA趨勢,0,0,1000000.0
2019-05-14,10519.25,BEAR,均值回歸,1,1,1000000.0
2019-05-15,10560.7099609375,BEAR,均值回歸,0,1,1003941.3419148228
2019-05-16,10474.6103515625,BEAR,均值回歸,0,1,995756.3848717826
2019-05-17,10384.1103515625,BEAR,均值回歸,1,1,987153.1099234736
2019-05-20,10398.41015625,BEAR,均值回歸,0,1,988512.5038619674
2019-05-21,10464.5,BEAR,均值回歸,0,1,994795.256315802
2019-05-22,10457.2197265625,BEAR,均值回歸,0,1,994103.165773463
2019-05-23,10308.3701171875,BEAR,均值回歸,0,1,979952.9545535566
2019-05-24,10328.2802734375,BEAR,均值回歸,0,1,981845.6898959052
2019-05-27,10334.1298828125,BEAR,均值回歸,0,1,982401.7760593673
2019-05-28,10312.3095703125,BEAR,均值回歸,0,1,980327.4539831737
2019-05-29,10301.7802734375,BEAR,均值回歸,0,1,979326.4988889417
2019-05-30,10382.990234375,BEAR,均值回歸,0,1,987046.6273142097
2019-05-31,10498.490234375,BEAR,均值回歸,0,1,998026.4975521069
2019-06-03,10500.0703125,BULL,SMA趨勢,0,1,998176.705801269
2019-06-04,10429.1201171875,BULL,SMA趨勢,0,1,991431.9098022672
2019-06-05,10461.6201171875,BEAR,均值回歸,0,1,994521.4836787318
2019-06-06,10409.2001953125,NEUTRAL,空倉,0,1,989538.2461023837
2019-06-10,10566.4697265625,BEAR,均值回歸,0,1,1004488.887188963
2019-06-11,10607.759765625,BULL,SMA趨勢,0,1,1008414.075682677
2019-06-12,10615.66015625,BULL,SMA趨勢,0,1,1009165.1169284884
2019-06-13,10561.009765625,NEUTRAL,空倉,0,1,1003969.8424911472
2019-06-14,10524.669921875,NEUTRAL,空倉,0,1,1000515.2384319225
2019-06-17,10530.5400390625,NEUTRAL,空倉,0,1,1001073.2741462081
2019-06-18,10566.740234375,NEUTRAL,空倉,0,1,1004514.6026926825
2019-06-19,10775.33984375,NEUTRAL,空倉,0,1,1024344.8766547046
2019-06-20,10785.009765625,BULL,SMA趨勢,0,1,1025264.1362858568
2019-06-21,10803.76953125,BULL,SMA趨勢,0,1,1027047.511110583
2019-06-24,10779.4501953125,BULL,SMA趨勢,0,1,1024735.6223411841
2019-06-25,10706.7197265625,BULL,SMA趨勢,0,1,1017821.5867635525
2019-06-26,10652.5498046875,BULL,SMA趨勢,0,1,1012671.9875169332
2019-06-27,10773.900390625,BEAR,均值回歸,-1,0,1000000.0
2019-06-28,10730.830078125,BULL,SMA趨勢,0,0,1000000.0
2019-07-01,10895.4599609375,BULL,SMA趨勢,0,0,1000000.0
2019-07-02,10865.1201171875,BULL,SMA趨勢,0,0,1000000.0
2019-07-03,10743.76953125,BULL,SMA趨勢,1,1,1000000.0
2019-07-04,10775.900390625,BULL,SMA趨勢,0,1,1002990.6504678401
2019-07-05,10785.73046875,BULL,SMA趨勢,0,1,1003905.6066288418
2019-07-08,10751.2197265625,BULL,SMA趨勢,0,1,1000693.4433292551
2019-07-09,10702.7802734375,BULL,SMA趨勢,0,1,996184.8345970867
2019-07-10,10798.48046875,BULL,SMA趨勢,0,1,1005092.3409461516
2019-07-11,10843.419921875,BULL,SMA趨勢,0,1,1009275.1794735683
2019-07-12,10824.349609375,BULL,SMA趨勢,0,1,1007500.1681570532
2019-07-15,10876.4296875,BULL,SMA趨勢,0,1,1012347.6360754145
2019-07-16,10886.0498046875,BULL,SMA趨勢,0,1,1013243.0496599592
2019-07-17,10828.48046875,BULL,SMA趨勢,0,1,1007884.65698688
2019-07-18,10799.2802734375,BULL,SMA趨勢,0,1,1005166.7845280967
2019-07-19,10873.1904296875,BULL,SMA趨勢,0,1,1012046.1350237511
