entry_date,entry_price,entry_level,exit_date,exit_price,profit_pct,profit_points,days_held,is_bear_year,exit_reason
2019-11-05,11644.0302734375,3,2020-02-12,11774.1904296875,0.011178273604022045,130.16015625,99,False,signal
2020-05-05,10774.6103515625,1,2020-09-28,12462.759765625,0.15667846529760493,1688.1494140625,146,False,signal
2020-10-27,12875.009765625,1,2021-04-07,16815.359375,0.30604633946727894,3940.349609375,162,False,takeprofit
2021-04-08,16926.439453125,3,2021-05-25,16595.669921875,-0.019541589485846212,-330.76953125,47,False,signal
2021-06-17,17390.609375,1,2021-08-12,17219.939453125,-0.009813912680963774,-170.669921875,56,False,signal
2021-09-23,17078.220703125,1,2021-10-05,16460.75,-0.036155446978853846,-617.470703125,12,False,signal
2021-11-11,17452.51953125,1,2022-02-24,17594.55078125,0.008138151614480806,142.03125,105,False,signal
2022-08-18,15396.759765625,1,2022-09-19,14425.6796875,-0.06307041825079622,-971.080078125,32,True,signal
2022-09-29,13534.259765625,3,2022-11-08,13347.759765625,-0.013779844869956034,-186.5,40,True,signal
2022-12-05,14980.740234375,1,2023-01-13,14824.1298828125,-0.010454113021941323,-156.6103515625,39,True,signal
2023-02-14,15654.48046875,3,2023-05-11,15514.6396484375,-0.00893295824103872,-139.8408203125,86,False,signal
2023-05-24,16159.3203125,1,2023-08-15,16454.80078125,0.018285451555869702,295.48046875,83,False,signal
2023-11-17,17208.94921875,1,2024-06-14,22504.720703125,0.3077335761212541,5295.771484375,210,False,takeprofit
2024-06-17,22496.529296875,1,2024-08-08,20870.099609375,-0.07229691593920347,-1626.4296875,52,False,signal
2024-10-07,22702.560546875,1,2024-12-03,23027.4609375,0.014311178245914751,324.900390625,57,False,signal
2024-12-26,23246.939453125,1,2025-03-12,22278.359375,-0.04166484280986921,-968.580078125,76,False,signal
2025-05-22,21670.9609375,1,2025-10-29,28294.740234375,0.3056523112186058,6623.779296875,160,True,takeprofit
2025-10-30,28287.529296875,1,2025-12-11,28024.75,-0.009289581077129629,-262.779296875,42,False,signal
