交易號,進場日期,進場價,進場等級,出場日期,出場價,收益%,收益點數,持倉天數,報告天數,空頭年,出場原因,驗證狀態
1,2019-11-05,"11,644",L3,2020-02-12,"11,774",+1.12%,+130,99,99,否,signal,✓ 通過
2,2020-05-05,"10,775",L1,2020-09-28,"12,463",+15.67%,"+1,688",146,146,否,signal,✓ 通過
3,2020-10-27,"12,875",L1,2021-04-07,"16,815",+30.60%,"+3,940",162,162,否,takeprofit,✓ 通過
4,2021-04-08,"16,926",L3,2021-05-25,"16,596",-1.95%,-331,47,47,否,signal,✓ 通過
5,2021-06-17,"17,391",L1,2021-08-12,"17,220",-0.98%,-171,56,56,否,signal,✓ 通過
6,2021-09-23,"17,078",L1,2021-10-05,"16,461",-3.62%,-617,12,12,否,signal,✓ 通過
7,2021-11-11,"17,453",L1,2022-02-24,"17,595",+0.81%,+142,105,105,否,signal,✓ 通過
8,2022-08-18,"15,397",L1,2022-09-19,"14,426",-6.31%,-971,32,32,是,signal,✓ 通過
9,2022-09-29,"13,534",L3,2022-11-08,"13,348",-1.38%,-186,40,40,是,signal,✓ 通過
10,2022-12-05,"14,981",L1,2023-01-13,"14,824",-1.05%,-157,39,39,是,signal,✓ 通過
11,2023-02-14,"15,654",L3,2023-05-11,"15,515",-0.89%,-140,86,86,否,signal,✓ 通過
12,2023-05-24,"16,159",L1,2023-08-15,"16,455",+1.83%,+295,83,83,否,signal,✓ 通過
13,2023-11-17,"17,209",L1,2024-06-14,"22,505",+30.77%,"+5,296",210,210,否,takeprofit,✓ 通過
14,2024-06-17,"22,497",L1,2024-08-08,"20,870",-7.23%,"-1,626",52,52,否,signal,✓ 通過
15,2024-10-07,"22,703",L1,2024-12-03,"23,027",+1.43%,+325,57,57,否,signal,✓ 通過
16,2024-12-26,"23,247",L1,2025-03-12,"22,278",-4.17%,-969,76,76,否,signal,✓ 通過
17,2025-05-22,"21,671",L1,2025-10-29,"28,295",+30.57%,"+6,624",160,160,是,takeprofit,✓ 通過
18,2025-10-30,"28,288",L1,2025-12-11,"28,025",-0.93%,-263,42,42,否,signal,✓ 通過
