date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2024-01-02,00632R,72332178,325009242,4.49,4.52,4.47,4.52,0.04,2201
2024-01-03,00632R,140962172,643116081,4.54,4.58,4.54,4.57,0.05,4925
2024-01-04,00632R,74311795,339773452,4.58,4.58,4.56,4.57,0.0,2535
2024-01-05,00632R,75657631,346148696,4.57,4.59,4.55,4.59,0.02,2129
2024-01-08,00632R,76128250,346466826,4.56,4.57,4.53,4.56,-0.03,2686
2024-01-09,00632R,54117248,246093666,4.52,4.58,4.52,4.57,0.01,1976
2024-01-10,00632R,111517992,511562208,4.58,4.6,4.58,4.59,0.02,2923
2024-01-11,00632R,67763349,309648334,4.58,4.59,4.55,4.56,-0.03,2393
2024-01-12,00632R,66450380,304418956,4.58,4.6,4.56,4.59,0.03,2347
2024-01-15,00632R,107368621,489375131,4.56,4.58,4.54,4.56,-0.03,3338
2024-01-16,00632R,125489496,578349347,4.6,4.63,4.59,4.61,0.05,4580
2024-01-17,00632R,153040119,709572915,4.61,4.66,4.61,4.64,0.03,6418
2024-01-18,00632R,81959381,380053586,4.63,4.66,4.62,4.63,-0.01,3128
2024-01-19,00632R,191201511,869734697,4.56,4.58,4.52,4.53,-0.1,9001
2024-01-22,00632R,109333716,491165247,4.5,4.51,4.48,4.49,-0.04,5328
2024-01-23,00632R,84879859,380468895,4.48,4.5,4.47,4.48,-0.01,3743
2024-01-24,00632R,69971064,312776548,4.47,4.48,4.46,4.48,0.0,3202
2024-01-25,00632R,114200530,508175079,4.45,4.47,4.44,4.44,-0.04,5725
2024-01-26,00632R,62256717,276993342,4.44,4.46,4.44,4.46,0.02,2818
2024-01-29,00632R,98442580,435582845,4.45,4.46,4.41,4.41,-0.05,5822
2024-01-30,00632R,57713965,254971404,4.42,4.43,4.41,4.42,0.01,2431
2024-01-31,00632R,53346997,237820353,4.45,4.47,4.44,4.47,0.05,2594
2024-02-01,00632R,60153951,268425766,4.46,4.48,4.45,4.45,-0.02,2020
2024-02-02,00632R,43743094,193567219,4.42,4.44,4.42,4.42,-0.03,2349
2024-02-05,00632R,49793378,220349975,4.43,4.45,4.41,4.42,0.0,2361
2024-02-15,00632R,247143180,1059498478,4.3,4.31,4.27,4.28,-0.14,13129
2024-02-16,00632R,75744138,323729124,4.28,4.29,4.26,4.28,0.0,3579
2024-02-19,00632R,56047581,239763679,4.28,4.29,4.27,4.27,-0.01,2061
2024-02-20,00632R,69086508,294898009,4.29,4.3,4.26,4.27,0.0,3375
2024-02-21,00632R,52252813,223051493,4.28,4.28,4.26,4.27,0.0,2660
2024-02-22,00632R,87244579,370029605,4.24,4.26,4.23,4.24,-0.03,5177
2024-02-23,00632R,105571534,444707945,4.21,4.23,4.2,4.22,-0.02,6161
2024-02-26,00632R,48134401,202925440,4.22,4.24,4.2,4.2,-0.02,2731
2024-02-27,00632R,96289717,407043425,4.2,4.26,4.2,4.22,0.02,4615
2024-02-29,00632R,48335923,204038051,4.24,4.25,4.2,4.21,-0.01,2728
2024-03-01,00632R,36508171,153726326,4.21,4.22,4.2,4.22,0.01,1739
2024-03-04,00632R,186008358,771145024,4.17,4.18,4.12,4.13,-0.09,11861
2024-03-05,00632R,102848840,423243498,4.12,4.14,4.1,4.11,-0.02,5691
