Price,Close,High,Low,Open,Volume
Ticker,^TWII,^TWII,^TWII,^TWII,^TWII
2024-01-02,17853.759765625,17956.740234375,17784.970703125,17939.7890625,3254000
2024-01-03,17559.310546875,17829.279296875,17518.189453125,17829.279296875,3095000
2024-01-04,17549.650390625,17609.890625,17515.73046875,17574.390625,3096700
2024-01-05,17519.140625,17606.7890625,17495.390625,17559.400390625,3084900
2024-01-08,17572.66015625,17688.109375,17534.51953125,17534.51953125,3044600
2024-01-09,17535.490234375,17694.259765625,17517.55078125,17585.400390625,3213400
2024-01-10,17465.630859375,17499.4296875,17439.26953125,17495.669921875,2843300
2024-01-11,17545.3203125,17574.919921875,17476.869140625,17477.880859375,2880100
2024-01-12,17512.830078125,17570.630859375,17469.869140625,17536.05078125,2596200
2024-01-15,17546.8203125,17632.76953125,17532.98046875,17541.259765625,0
2024-01-16,17346.869140625,17523.779296875,17337.580078125,17523.779296875,3415100
2024-01-17,17161.7890625,17361.05078125,17151.580078125,17341.580078125,3977500
2024-01-18,17227.7890625,17300.2890625,17169.099609375,17169.099609375,3027100
2024-01-19,17681.51953125,17682.970703125,17499.849609375,17546.509765625,3364900
2024-01-22,17815.099609375,17869.0703125,17765.130859375,17770.779296875,3480100
2024-01-23,17874.58984375,17893.73046875,17801.890625,17840.279296875,3182700
2024-01-24,17875.830078125,17944.98046875,17856.33984375,17883.619140625,2687500
2024-01-25,18002.619140625,18014.259765625,17894.830078125,17894.830078125,2496500
2024-01-26,17995.029296875,18029.849609375,17943.650390625,17985.439453125,2484900
2024-01-29,18119.630859375,18119.630859375,17995.109375,18001.240234375,2167700
2024-01-30,18034.630859375,18138.740234375,18034.630859375,18083.44921875,2422700
2024-01-31,17889.560546875,17996.330078125,17874.94921875,17970.41015625,2303000
2024-02-01,17968.109375,17968.109375,17832.94921875,17871.26953125,2620500
2024-02-02,18059.9296875,18059.9296875,17985.890625,18016.349609375,2697800
2024-02-05,18096.0703125,18115.80078125,17992.169921875,18047.400390625,2575800
2024-02-15,18644.5703125,18725.470703125,18550.859375,18664.44921875,3727500
2024-02-16,18607.25,18715.689453125,18585.140625,18639.66015625,3658600
2024-02-19,18635.80078125,18663.740234375,18561.0390625,18561.0390625,3839600
2024-02-20,18753.16015625,18756.330078125,18610.2109375,18610.2109375,3375300
2024-02-21,18676.310546875,18729.029296875,18645.26953125,18673.490234375,3295300
2024-02-22,18852.779296875,18881.76953125,18758.150390625,18826.849609375,3580200
2024-02-23,18889.189453125,19012.380859375,18889.189453125,18950.0703125,3696800
2024-02-26,18948.05078125,18974.080078125,18854.7109375,18899.390625,3220600
2024-02-27,18854.41015625,19023.009765625,18752.529296875,18964.490234375,3784600
2024-02-29,18966.76953125,19019.689453125,18794.619140625,18796.5390625,3892000
2024-03-01,18935.9296875,19041.919921875,18923.4609375,19021.349609375,3350500
2024-03-04,19305.310546875,19333.390625,18952.689453125,18952.689453125,4014800
2024-03-05,19386.919921875,19453.849609375,19332.73046875,19398.970703125,3826500
2024-03-06,19499.44921875,19532.30078125,19246.30078125,19283.609375,3886200
2024-03-07,19693.51953125,19794.5703125,19630.7890625,19678.359375,4581400
2024-03-08,19785.3203125,20065.5,19638.130859375,19966.490234375,4903500
2024-03-11,19726.080078125,19828.69921875,19649.669921875,19671.900390625,3536700
2024-03-12,19914.55078125,19917.060546875,19664.7109375,19672.759765625,4044500
2024-03-13,19928.509765625,20112.810546875,19866.73046875,20024.830078125,4854900
2024-03-14,19937.919921875,19995.509765625,19775.5,19920.630859375,4476200
2024-03-15,19682.5,19888.130859375,19682.5,19845.44921875,5186200
2024-03-18,19879.849609375,19879.859375,19706.109375,19706.109375,3761200
2024-03-19,19857.19921875,19921.25,19762.16015625,19798.119140625,4061600
