date,open,high,low,close,volume
2024-01-02,17838.0,17920.0,17751.0,17798.0,82827
2024-01-03,17658.0,17667.0,17507.0,17546.0,97851
2024-01-04,17525.0,17583.0,17525.0,17546.0,57402
2024-01-05,17577.0,17626.0,17491.0,17519.0,77062
2024-01-08,17572.0,17706.0,17568.0,17595.0,86585
2024-01-09,17770.0,17782.0,17526.0,17545.0,96286
2024-01-10,17509.0,17521.0,17439.0,17458.0,70327
2024-01-11,17490.0,17606.0,17481.0,17575.0,86899
2024-01-12,17466.0,17570.0,17447.0,17489.0,83946
2024-01-15,17580.0,17655.0,17527.0,17559.0,137809
2024-01-16,17480.0,17499.0,17321.0,17333.0,123488
2024-01-17,17313.0,17344.0,17159.0,17167.0,63464
2024-01-18,17240.0,17326.0,17215.0,17280.0,90702
2024-01-19,17541.0,17684.0,17504.0,17678.0,111839
2024-01-22,17816.0,17843.0,17747.0,17817.0,83035
2024-01-23,17799.0,17877.0,17790.0,17870.0,77256
2024-01-24,17903.0,17941.0,17876.0,17903.0,65654
2024-01-25,18016.0,18030.0,17935.0,17995.0,74949
2024-01-26,17951.0,18023.0,17936.0,17999.0,65973
2024-01-29,18011.0,18135.0,17970.0,18125.0,73311
2024-01-30,18129.0,18139.0,18064.0,18081.0,63313
2024-01-31,17990.0,18003.0,17904.0,17920.0,78949
2024-02-01,17956.0,17994.0,17882.0,17986.0,82846
2024-02-02,18100.0,18105.0,18023.0,18084.0,64193
2024-02-05,18008.0,18102.0,17958.0,18086.0,72290
2024-02-15,18590.0,18696.0,18531.0,18667.0,112201
2024-02-16,18683.0,18726.0,18633.0,18634.0,65410
2024-02-19,18680.0,18692.0,18619.0,18671.0,80197
2024-02-20,18634.0,18754.0,18596.0,18753.0,86334
2024-02-21,18755.0,18755.0,18679.0,18692.0,44868
2024-02-22,18887.0,18890.0,18751.0,18889.0,84610
2024-02-23,18990.0,19000.0,18898.0,18913.0,80858
2024-02-26,18907.0,18996.0,18853.0,18963.0,68087
2024-02-27,18950.0,19020.0,18750.0,18867.0,120451
2024-02-29,18808.0,18997.0,18805.0,18966.0,84818
2024-03-01,18968.0,19017.0,18924.0,18961.0,75198
2024-03-04,19144.0,19340.0,19137.0,19314.0,97821
2024-03-05,19362.0,19436.0,19305.0,19389.0,83640
2024-03-06,19282.0,19523.0,19271.0,19509.0,96101
2024-03-07,19688.0,19770.0,19584.0,19709.0,122063
2024-03-08,19930.0,20009.0,19638.0,19791.0,172140
2024-03-11,19691.0,19825.0,19679.0,19715.0,97483
2024-03-12,19714.0,19956.0,19698.0,19955.0,91498
2024-03-13,19994.0,20064.0,19886.0,19927.0,111450
2024-03-14,19897.0,19978.0,19799.0,19939.0,108905
2024-03-15,19828.0,19873.0,19723.0,19730.0,109827
2024-03-18,19778.0,19920.0,19747.0,19919.0,100312
2024-03-19,19816.0,19911.0,19739.0,19867.0,106964
2024-03-20,19860.0,19956.0,19731.0,19747.0,70463
2024-03-21,20048.0,20264.0,20029.0,20264.0,110169
2024-03-22,20226.0,20285.0,20122.0,20242.0,94477
2024-03-25,20256.0,20307.0,20188.0,20231.0,72613
2024-03-26,20280.0,20459.0,20038.0,20187.0,173550
2024-03-27,20185.0,20288.0,20148.0,20261.0,86234
2024-03-28,20238.0,20250.0,20081.0,20203.0,103798
2024-03-29,20226.0,20299.0,20192.0,20280.0,84010
2024-04-01,20393.0,20400.0,20259.0,20288.0,83567
2024-04-02,20350.0,20524.0,20350.0,20523.0,96508
2024-04-03,20370.0,20419.0,20275.0,20349.0,111570
2024-04-08,20404.0,20520.0,20375.0,20450.0,85815
2024-04-09,20538.0,20877.0,20518.0,20874.0,117238
2024-04-10,20822.0,20892.0,20804.0,20851.0,75731
2024-04-11,20706.0,20764.0,20651.0,20753.0,88537
2024-04-12,20745.0,20809.0,20682.0,20755.0,91615
2024-04-15,20544.0,20605.0,20460.0,20508.0,114946
2024-04-16,20278.0,20286.0,19798.0,19953.0,175352
2024-04-17,19979.0,20242.0,19955.0,20185.0,78050
2024-04-18,20070.0,20359.0,20025.0,20358.0,120221
2024-04-19,19840.0,19924.0,19265.0,19546.0,237961
2024-04-22,19620.0,19715.0,19445.0,19524.0,135191
2024-04-23,19651.0,19745.0,19554.0,19677.0,100612
2024-04-24,19930.0,20202.0,19916.0,20170.0,101458
2024-04-25,19940.0,19979.0,19834.0,19885.0,96972
2024-04-26,20126.0,20271.0,20070.0,20178.0,113798
2024-04-29,20350.0,20560.0,20310.0,20552.0,97993
2024-04-30,20518.0,20576.0,20404.0,20413.0,77061
2024-05-02,20250.0,20380.0,20215.0,20291.0,90193
2024-05-03,20548.0,20597.0,20306.0,20382.0,100974
2024-05-06,20685.0,20714.0,20562.0,20602.0,83722
2024-05-07,20733.0,20756.0,20536.0,20650.0,85595
2024-05-08,20618.0,20738.0,20574.0,20725.0,73449
2024-05-09,20707.0,20763.0,20605.0,20612.0,79443
2024-05-10,20738.0,20828.0,20616.0,20809.0,97925
2024-05-13,20942.0,20965.0,20833.0,20883.0,98279
2024-05-14,20892.0,21015.0,20868.0,21013.0,83853
2024-05-15,21184.0,21361.0,21116.0,21143.0,63511
2024-05-16,21465.0,21556.0,21326.0,21370.0,104856
2024-05-17,21303.0,21407.0,21288.0,21336.0,71837
2024-05-20,21435.0,21485.0,21153.0,21302.0,109398
