關卡,價格,滿(距現價),註記,當前
06-03高,46994,+112.2,,
06-03收,46868,+107.2,,
06-03開,46718,+101.2,,
06-04高,46587,+96.0,↓06-04實體缺口,
06-03低,46550,+94.5,,
06-04開,46505,+92.7,,
06-01高,46465,+91.1,↑06-03實體缺口,
06-04收,46294,+84.2,,
06-02高,46228,+81.6,,
06-02開,46145,+78.3,,
06-04低,46140,+78.1,,
06-02收,46087,+76.0,,
06-01收,46035,+73.9,↑06-02實體缺口 ↓06-05實體缺口,
06-05高,45785,+63.9,,
06-05開,45668,+59.2,,
06-01開,45483,+51.8,,
05-29高,45471,+51.3,,
06-01低,45405,+48.7,↑06-01實體缺口,
05-28高,45348,+46.4,,
06-02低,45333,+45.8,,
05-27高,45299,+44.4,,
05-29收,45285,+43.9,,
06-05收,45211,+40.9,,
05-28開,45174,+39.4,,
台指期-高,44931,+29.7,,★
台指期-開,44929,+29.6,,★
05-27收,44798,+24.4,,
06-09高,44750,+22.5,,
06-09收,44665,+19.1,,
05-29開,44655,+18.7,,
05-29低,44655,+18.7,,
06-05低,44655,+18.7,,
05-27開,44490,+12.1,,
06-10高,44481,+11.7,,
05-27低,44336,+5.9,↑05-27實體缺口,
05-26高,44280,+3.7,,
05-26開,44274,+3.4,,
台指期-收,44188,+0.0,RSI3=40 ↓06-08實體缺口,★
05-25高,44050,-5.5,,
台指期-低,44045,-5.7,,★
05-26收,43893,-11.8,,
05-25收,43877,-12.4,↑05-26實體缺口,
05-28收,43842,-13.8,,
06-10開,43839,-14.0,,
06-09開,43661,-21.1,↑06-12實體缺口,
06-08高,43655,-21.3,,
05-26低,43619,-22.8,,
06-09低,43552,-25.4,,
06-11高,43509,-27.2,,
05-28低,43458,-29.2,,
06-10收,43422,-30.6,↑06-09實體缺口 ↓06-11實體缺口,
06-11收,43241,-37.9,,
05-25開,43195,-39.7,,
06-10低,43126,-42.5,,
06-08收,43080,-44.3,,
05-25低,43004,-47.4,,
06-11開,42643,-61.8,↑05-25實體缺口,
05-22高,42502,-67.4,,
05-07高,42468,-68.8,,
05-15高,42454,-69.4,,
05-22收,42442,-69.8,,
05-12高,42363,-73.0,,
06-08開,42344,-73.8,,
05-08高,42343,-73.8,,
05-07收,42340,-73.9,,
05-07開,42329,-74.4,,
9折-最高價,42295,-75.7,位移退檔,
05-15開,42282,-76.2,,
05-11高,42258,-77.2,,
05-14高,42238,-78.0,,
05-11開,42230,-78.3,,
06-08低,42225,-78.5,↓05-08實體缺口,
05-12開,42200,-79.5,,
05-22開,42196,-79.7,,
05-08開,42120,-82.7,,
06-11低,42050,-85.5,,
05-06高,42005,-87.3,↑05-07實體缺口,
05-07低,42005,-87.3,,
05-14開,41948,-89.6,,
05-11收,41945,-89.7,,
05-08收,41937,-90.0,,
05-11低,41802,-95.4,↑05-22實體缺口,
05-22低,41790,-95.9,,
05-12收,41695,-99.7,,
05-21高,41666,-100.9,,
05-06開,41650,-101.5,,
05-12低,41607,-103.2,,
05-13高,41604,-103.4,,
05-14收,41602,-103.4,↓05-13實體缺口,
05-08低,41539,-106.0,↑05-14實體缺口,
05-06收,41503,-107.4,,
05-14低,41497,-107.6,,
05-21收,41473,-108.6,,
05-13收,41469,-108.8,,
05-13開,41238,-118.0,↑05-06實體缺口,
05-05高,41097,-123.6,,
05-04高,41074,-124.6,,
05-06低,41038,-126.0,,
05-05收,41035,-126.1,,
05-04收,41031,-126.3,,
05-15收,41012,-127.0,,
05-18高,40990,-127.9,,
05-13低,40984,-128.2,,
05-15低,40976,-128.5,,
05-21開,40967,-128.8,,
05-21低,40957,-129.2,,
05-05開,40936,-130.1,,
05-19高,40931,-130.3,,
05-19開,40890,-131.9,↓05-18實體缺口,
05-18收,40807,-135.2,,
05-05低,40798,-135.6,,
05-20高,40544,-145.8,↑05-21實體缺口,
04-27高,40458,-149.2,,
05-04開,40440,-149.9,,
04-28高,40347,-153.6,,
05-20開,40282,-156.2,,
05-19收,40248,-157.6,,
05-18開,40200,-159.5,,
05-19低,40188,-160.0,,
05-18低,40169,-160.8,,
05-04低,40167,-160.8,,
05-20收,40134,-162.2,,
05-20低,40005,-167.3,↑05-04實體缺口,
04-27開,39999,-167.6,,
04-30高,39937,-170.0,,
04-27收,39888,-172.0,,
04-27低,39837,-174.0,↓04-28實體缺口,
04-28開,39820,-174.7,,
04-29高,39790,-175.9,,
04-28收,39749,-177.6,↓04-29實體缺口,
04-29開,39698,-179.6,,
04-30開,39698,-179.6,,
04-28低,39661,-181.1,,
04-29收,39490,-187.9,↑04-27實體缺口,
04-30收,39360,-193.1,,
04-30低,39265,-196.9,,
04-24高,39244,-197.8,,
04-24收,39224,-198.6,,
04-29低,39123,-202.6,,
04-23高,39087,-204.0,,
04-23開,38686,-220.1,,
04-22高,38369,-232.8,,
04-24開,38299,-235.6,,
04-24低,38268,-236.8,,
04-22收,38206,-239.3,,
04-21高,38159,-241.2,,
04-22開,38150,-241.5,,
04-21收,38048,-245.6,↑04-22實體缺口,
04-22低,37925,-250.5,,
04-23收,37875,-252.5,,
04-21開,37707,-259.2,,
04-20高,37704,-259.4,,
04-16高,37666,-260.9,,
04-21低,37647,-261.6,,
04-16收,37645,-261.7,,
8折-最高價,37595,-263.7,位移退檔 ↑04-21實體缺口,
04-23低,37408,-271.2,,
04-17高,37388,-272.0,,
04-15高,37359,-273.2,,
04-20開,37324,-274.6,,
04-16開,37321,-274.7,,
04-20收,37254,-277.4,↓04-17實體缺口,
04-20低,37209,-279.2,↑04-20實體缺口,
04-17開,37145,-281.7,↑04-16實體缺口,
04-16低,37086,-284.1,,
04-17收,37083,-284.2,,
04-17低,37033,-286.2,,
04-15開,36997,-287.6,,
04-15收,36977,-288.4,,
04-15低,36909,-291.2,↑04-15實體缺口,
04-14高,36430,-310.3,,
04-14收,36381,-312.3,,
04-14開,36060,-325.1,,
04-14低,35990,-327.9,,
04-13高,35652,-341.4,↑04-14實體缺口,
04-10高,35580,-344.3,,
04-10收,35567,-344.8,,
04-13收,35457,-349.2,,
04-13開,35280,-356.3,,
04-10開,35249,-357.6,,
04-13低,35225,-358.5,,
04-10低,35215,-358.9,,
04-09高,35100,-363.5,↑04-10實體缺口,
04-08高,35060,-365.1,,
04-09開,35032,-366.2,,
04-08收,34996,-367.7,,
04-09收,34932,-370.2,,
04-09低,34745,-377.7,,
04-08開,34651,-381.5,,
03-18高,34580,-384.3,,
03-18收,34551,-385.5,,
04-08低,34473,-388.6,,
03-18開,34351,-393.5,,
03-18低,34247,-397.6,,
03-19高,34083,-404.2,↓03-19實體缺口,
03-26高,34024,-406.6,,
03-19開,33898,-411.6,↑04-08實體缺口,
03-20高,33888,-412.0,,
03-25高,33880,-412.3,,
03-26開,33855,-413.3,,
03-20開,33809,-415.2,,
03-25開,33786,-416.1,,
04-02高,33687,-420.0,,
04-02開,33676,-420.5,,
03-25收,33638,-422.0,,
03-20收,33559,-425.2,,
03-19收,33553,-425.4,,
03-19低,33537,-426.0,,
03-25低,33444,-429.8,↑03-25實體缺口,
03-26收,33440,-429.9,,
04-01高,33411,-431.1,,
04-01收,33402,-431.4,,
03-24高,33393,-431.8,,
04-07高,33377,-432.4,,
03-20低,33371,-432.7,,
03-26低,33347,-433.6,,
03-24開,33280,-436.3,↓03-27實體缺口,
03-27高,33243,-437.8,,
04-07開,33192,-439.8,,
04-07收,33159,-441.2,,
03-27收,33120,-442.7,,
04-01開,33049,-445.6,↓03-23實體缺口,
04-07低,32955,-449.3,,
04-01低,32906,-451.3,,
03-23高,32890,-451.9,,
03-27開,32793,-455.8,,
03-24收,32771,-456.7,,
03-30高,32712,-459.0,,
03-27低,32652,-461.4,↑03-24實體缺口 ↓03-30實體缺口,
03-23收,32532,-466.2,↑04-01實體缺口,
03-23開,32501,-467.5,,
04-02收,32487,-468.0,,
04-02低,32486,-468.1,,
03-30收,32468,-468.8,,
03-31高,32451,-469.5,,
03-24低,32342,-473.8,,
03-23低,32213,-479.0,,
03-30開,32048,-485.6,,
03-30低,32027,-486.4,↓03-31實體缺口,
03-31開,32000,-487.5,,
03-31收,31979,-488.4,,
03-31低,31806,-495.3,,
