代碼,引擎,進場日,進場價,出場日,出場價,天數,損益%,損益金,原因
3443,main,20221208,763,20221226,698,18,-8.96%,-11161,停損
1342,backup,20221223,132,20221227,122,4,-7.99%,-9987,停損
6472,main,20221208,388,20230214,477,68,22.65%,28307,停利
1476,backup,20221230,496,20230314,456,74,-8.52%,-10605,停損
1513,backup,20221230,67,20230316,93,76,38.25%,47798,停利
2388,backup,20230317,90,20230329,83,12,-7.68%,-9601,停損
1590,backup,20230217,1060,20230420,1120,62,5.22%,6480,停利
6472,main,20230223,510,20230420,789,56,54.26%,67622,停利
3680,main,20230330,366,20230421,339,22,-7.69%,-9602,停損
1752,backup,20230508,78,20230511,70,3,-9.86%,-12323,停損
4763,main,20230421,435,20230529,550,38,25.99%,32386,停利
2228,backup,20230317,80,20230615,96,90,19.73%,24658,到期
1319,backup,20230512,48,20230627,51,46,7.14%,8918,停利
1795,main,20230530,328,20230703,299,34,-9.42%,-11748,停損
2236,backup,20230714,67,20230724,62,10,-7.79%,-9734,停損
1476,backup,20230428,488,20230727,545,90,11.35%,14188,到期
1560,backup,20230627,124,20230731,138,34,11.25%,14055,停利
3035,main,20230727,331,20230802,281,6,-15.55%,-19430,停損
4763,main,20230802,841,20230810,750,8,-11.26%,-14039,停損
3035,main,20230804,282,20230818,328,14,16.08%,20076,停利
2645,backup,20230818,114,20230905,124,18,7.42%,9271,停利
1477,backup,20230627,270,20230920,318,85,17.12%,21376,停利
1210,backup,20230811,54,20231109,53,90,-2.85%,-3556,到期
1476,backup,20230811,513,20231109,593,90,15.15%,18915,到期
3661,main,20231116,3090,20231219,3310,33,6.68%,8265,停利
3592,main,20230921,364,20231220,392,90,7.11%,8867,到期
8016,main,20230921,284,20231220,279,90,-2.38%,-2965,到期
6531,main,20231123,445,20240124,498,62,11.47%,14309,停利
6531,main,20240125,494,20240222,450,28,-9.35%,-11655,停損
1519,main,20231221,318,20240227,528,68,65.33%,81479,停利
6515,main,20240105,789,20240308,731,63,-7.79%,-9729,停損
6462,main,20240311,250,20240313,231,2,-7.86%,-9816,停損
2404,backup,20231229,264,20240314,378,76,42.47%,52983,停利
2376,main,20240223,342,20240314,318,20,-7.74%,-9665,停損
