code,entry_date,exit_date,entry_price,exit_price,pnl,pnl_pct,reason,type,hold_days
4162,20221206,20221208,137.64,126.37,-11.26,-8.18,停損,main,2
6245,20221205,20221213,105.61,96.9,-8.7,-8.24,停損,main,8
6223,20221212,20230313,118.12,120.88,2.76,2.34,到期,main,91
2727,20221212,20230313,162.66,256.74,94.08,57.84,到期,main,91
2731,20221219,20230320,98.4,118.38,19.98,20.31,到期,main,91
2404,20230314,20230328,224.22,204.3,-19.93,-8.89,停損,main,14
3362,20230327,20230328,116.12,104.4,-11.72,-10.09,停損,main,1
8478,20230406,20230419,526.53,452.55,-73.98,-14.05,停損,main,13
3189,20230327,20230420,115.62,107.39,-8.22,-7.11,停損,main,24
6753,20230410,20230420,132.13,120.88,-11.25,-8.52,停損,main,10
9958,20230424,20230509,113.61,102.9,-10.72,-9.43,停損,main,15
1752,20230510,20230511,77.98,70.13,-7.85,-10.06,停損,backup,1
4147,20230424,20230612,111.61,102.4,-9.21,-8.26,停損,main,49
4147,20230512,20230616,105.1,96.5,-8.6,-8.18,停損,main,35
9943,20230619,20230627,104.6,96.7,-7.9,-7.55,停損,main,8
6278,20230420,20230713,100.1,90.11,-9.99,-9.98,停損,main,84
9943,20230628,20230718,97.4,90.21,-7.19,-7.38,停損,main,20
6462,20230714,20230719,111.61,101.9,-9.71,-8.7,停損,main,5
3289,20230720,20230725,114.61,106.39,-8.22,-7.17,停損,main,5
3189,20230613,20230727,115.11,106.39,-8.72,-7.58,停損,main,44
6239,20230731,20230801,110.61,97.0,-13.61,-12.3,停損,main,1
6462,20230719,20230810,102.1,89.91,-12.19,-11.94,停損,main,22
6462,20230726,20230810,103.6,89.91,-13.69,-13.22,停損,main,15
5258,20230802,20230811,123.62,110.89,-12.73,-10.3,停損,main,9
6435,20230814,20230828,100.0,88.31,-11.69,-11.69,停損,main,14
6235,20230901,20230911,147.65,136.36,-11.28,-7.64,停損,main,10
3014,20230811,20231109,137.14,151.35,14.21,10.36,到期,main,90
2404,20230814,20231113,223.72,245.75,22.03,9.85,到期,main,91
3661,20231114,20231124,3288.28,3046.95,-241.34,-7.34,停損,main,10
2492,20230912,20231211,106.11,134.37,28.26,26.63,到期,main,90
1513,20231212,20231221,125.12,114.89,-10.24,-8.18,停損,main,9
2439,20231222,20240108,114.11,105.89,-8.22,-7.2,停損,main,17
6715,20231110,20240215,137.64,169.83,32.19,23.39,到期,main,97
3005,20231127,20240226,97.7,121.38,23.68,24.24,到期,main,91
2455,20240227,20240402,164.16,152.35,-11.82,-7.2,停損,main,35
2211,20240109,20240408,102.6,128.37,25.77,25.12,到期,main,90
6213,20240409,20240416,117.62,107.39,-10.22,-8.69,停損,main,7
3081,20240220,20240419,137.14,125.87,-11.26,-8.21,停損,main,59
3260,20240417,20240419,103.6,96.1,-7.5,-7.24,停損,main,2
1795,20240422,20240507,313.31,285.21,-28.1,-8.97,停損,main,15
2404,20240422,20240513,394.89,354.64,-40.25,-10.19,停損,main,21
6269,20240514,20240530,99.8,85.71,-14.09,-14.11,停損,main,16
3042,20240403,20240702,109.61,118.38,8.77,8.0,到期,main,90
2451,20240703,20240709,118.12,103.4,-14.72,-12.46,停損,main,6
6284,20240710,20240719,99.4,88.71,-10.69,-10.75,停損,main,9
3141,20240531,20240729,97.5,87.11,-10.38,-10.65,停損,main,59
6278,20240508,20240806,121.12,111.39,-9.73,-8.04,停損,main,90
4163,20240722,20241021,117.12,113.39,-3.73,-3.19,到期,main,91
4163,20240730,20241028,116.12,113.39,-2.73,-2.35,到期,main,90
8028,20241022,20241028,135.64,125.87,-9.76,-7.2,停損,main,6
6706,20240807,20241105,99.1,172.33,73.23,73.89,到期,main,90
2486,20241029,20241113,127.13,115.38,-11.74,-9.24,停損,main,15
2486,20241106,20241113,126.13,115.38,-10.74,-8.52,停損,main,7
6844,20241029,20241114,170.67,154.84,-15.83,-9.27,停損,main,16
3231,20241114,20241216,118.62,106.39,-12.22,-10.31,停損,main,32
6844,20241114,20241226,155.15,143.86,-11.3,-7.28,停損,main,42
3689,20241227,20250110,102.6,87.31,-15.29,-14.9,停損,main,14
3088,20241118,20250221,101.6,145.35,43.75,43.06,到期,main,95
2543,20250227,20250311,104.1,94.91,-9.2,-8.84,停損,main,12
6689,20241217,20250317,102.1,99.9,-2.2,-2.16,到期,main,90
6741,20250312,20250319,98.7,90.91,-7.79,-7.89,停損,main,7
2421,20250324,20250327,104.6,97.0,-7.6,-7.27,停損,main,3
5388,20250318,20250331,127.13,116.88,-10.24,-8.06,停損,main,13
8155,20250328,20250331,143.64,129.37,-14.27,-9.94,停損,main,3
6274,20250401,20250407,156.66,143.36,-13.3,-8.49,停損,main,6
5439,20250401,20250408,177.18,153.85,-23.33,-13.17,停損,main,7
8299,20250117,20250409,465.97,405.59,-60.37,-12.96,停損,main,82
6829,20250408,20250409,120.12,107.89,-12.23,-10.18,停損,main,1
7722,20250409,20250708,487.99,672.33,184.34,37.78,到期,main,90
2753,20250428,20250728,180.68,190.31,9.63,5.33,到期,main,91
3551,20250505,20250804,102.1,165.83,63.73,62.42,到期,main,91
4991,20250709,20250926,142.64,131.87,-10.77,-7.55,停損,main,79
2231,20250930,20251023,119.62,109.39,-10.23,-8.55,停損,main,23
8046,20250729,20251027,177.18,278.22,101.04,57.03,到期,main,90
8358,20250805,20251103,111.11,256.74,145.63,131.07,到期,main,90
6138,20251103,20251121,244.74,225.27,-19.47,-7.96,停損,main,18
6138,20251110,20251215,235.23,214.78,-20.45,-8.69,停損,main,35
7747,20251124,20251229,127.13,115.88,-11.24,-8.84,停損,main,35
