code,entry_date,exit_date,entry_price,exit_price,pnl,pnl_pct,reason,type,hold_days
6472,20221205,20221206,464.0,418.0,-46.0,-9.913793103448276,停損,main,1
3443,20221205,20221226,761.0,698.0,-63.0,-8.278580814717474,停損,main,21
3443,20221212,20221226,762.0,698.0,-64.0,-8.398950131233596,停損,main,14
2731,20221222,20230322,101.5,124.5,23.0,22.66009852216748,到期,backup,90
6533,20230206,20230413,538.0,493.0,-45.0,-8.364312267657992,停損,main,66
3293,20230323,20230421,562.0,505.0,-57.0,-10.142348754448394,停損,main,29
3558,20230223,20230511,295.0,269.5,-25.5,-8.644067796610166,停損,backup,77
3558,20230216,20230517,282.5,275.5,-7.0,-2.4778761061946875,到期,backup,90
6472,20230301,20230530,514.0,761.0,247.0,48.05447470817121,到期,main,90
3293,20230301,20230530,519.0,555.0,36.0,6.936416184971095,到期,main,90
3675,20230531,20230608,321.5,298.0,-23.5,-7.309486780715401,停損,main,8
3675,20230605,20230612,315.5,293.0,-22.5,-7.131537242472263,停損,main,7
2727,20230512,20230707,326.5,298.0,-28.5,-8.728943338437977,停損,main,56
8299,20230609,20230707,421.0,389.0,-32.0,-7.600950118764849,停損,main,28
3675,20230414,20230713,290.0,290.0,0.0,0.0,到期,main,90
2727,20230518,20230719,313.5,290.5,-23.0,-7.336523125996807,停損,main,62
6472,20230424,20230724,725.0,1010.0,285.0,39.3103448275862,到期,main,91
3675,20230613,20230726,288.0,264.5,-23.5,-8.159722222222221,停損,main,43
3035,20230725,20230726,377.5,340.0,-37.5,-9.93377483443708,停損,main,1
3324,20230717,20230802,295.5,257.5,-38.0,-12.859560067681898,停損,main,16
2376,20230727,20230802,332.0,297.0,-35.0,-10.542168674698793,停損,main,6
3035,20230731,20230802,326.0,281.0,-45.0,-13.80368098159509,停損,main,2
3665,20230710,20230809,312.0,284.0,-28.0,-8.974358974358976,停損,main,30
3665,20230720,20230809,307.5,284.0,-23.5,-7.642276422764227,停損,main,20
8299,20230710,20230814,386.0,358.0,-28.0,-7.253886010362698,停損,main,35
