版本,配置,股票,引擎,進場日期,進場價格,出場日期,出場價格,日曆天數,收益率%,收益金額,出場原因
V3 (任意下降),6週+3個持倉_全週期,3443,main,20221207,742.0,20221228,636.0,21,-14.73%,"NT$-24,514",停損
V3 (任意下降),6週+3個持倉_全週期,6472,main,20221207,400.0,20230118,402.0,42,+0.06%,NT$+96,到期
V3 (任意下降),6週+3個持倉_全週期,1342,backup_v3,20221221,134.5,20221227,122.5,6,-9.36%,"NT$-15,602",停損
V3 (任意下降),6週+3個持倉_全週期,3587,backup_v3,20221228,158.5,20230208,179.0,42,+12.49%,"NT$+20,818",到期
V3 (任意下降),6週+3個持倉_全週期,2207,backup_v3,20230208,642.0,20230316,595.0,36,-7.76%,"NT$-12,927",停損
V3 (任意下降),6週+3個持倉_全週期,1605,backup_v3,20230208,52.7,20230322,51.7,42,-2.34%,"NT$-3,900",到期
V3 (任意下降),6週+3個持倉_全週期,6719,main,20230322,332.0,20230328,307.5,6,-7.82%,"NT$-13,029",停損
V3 (任意下降),6週+3個持倉_全週期,1752,backup_v3,20230426,77.7,20230511,70.2,15,-10.10%,"NT$-16,818",停損
V3 (任意下降),6週+3個持倉_全週期,1720,backup_v3,20230426,68.8,20230607,78.0,42,+12.93%,"NT$+21,549",到期
V3 (任意下降),6週+3個持倉_全週期,8046,main,20230531,303.0,20230615,281.0,15,-7.70%,"NT$-12,832",停損
V3 (任意下降),6週+3個持倉_全週期,1580,backup_v3,20230607,134.5,20230609,124.5,2,-7.88%,"NT$-13,125",停損
V3 (任意下降),6週+3個持倉_全週期,1533,backup_v3,20230614,61.9,20230726,58.5,42,-5.94%,"NT$-9,890",到期
V3 (任意下降),6週+3個持倉_全週期,1560,backup_v3,20230621,127.0,20230802,131.5,42,+3.10%,"NT$+5,166",到期
V3 (任意下降),6週+3個持倉_全週期,3147,backup_v3,20230809,76.0,20230824,69.3,15,-9.26%,"NT$-15,424",停損
V3 (任意下降),6週+3個持倉_全週期,1210,backup_v3,20230809,55.4,20230920,54.2,42,-2.61%,"NT$-4,347",到期
V3 (任意下降),6週+3個持倉_全週期,2357,backup_v3,20230830,403.0,20230912,363.5,13,-10.24%,"NT$-17,033",停損
V3 (任意下降),6週+3個持倉_全週期,2385,backup_v3,20230913,114.0,20231025,124.5,42,+8.77%,"NT$+14,604",到期
V3 (任意下降),6週+3個持倉_全週期,3592,main,20230920,358.5,20231101,368.0,42,+2.21%,"NT$+3,677",到期
V3 (任意下降),6週+3個持倉_全週期,2233,backup_v3,20231108,141.0,20231220,139.0,42,-1.86%,"NT$-3,101",到期
V3 (任意下降),6週+3個持倉_全週期,2347,backup_v3,20231108,68.8,20231220,68.6,42,-0.73%,"NT$-1,222",到期
V3 (任意下降),6週+3個持倉_全週期,2382,backup_v3,20240110,218.0,20240221,236.0,42,+7.81%,"NT$+13,016",到期
V3 (任意下降),6週+3個持倉_全週期,2603,backup_v3,20240110,148.0,20240221,155.0,42,+4.29%,"NT$+7,142",到期
V3 (任意下降),6週+3個持倉_全週期,6462,main,20240306,293.5,20240307,265.5,1,-9.98%,"NT$-16,636",停損
V3 (任意下降),6週+3個持倉_全週期,1216,backup_v3,20240320,76.5,20240501,76.5,42,-0.44%,NT$-737,到期
V3 (任意下降),6週+3個持倉_全週期,1503,backup_v3,20240320,242.5,20240501,292.0,42,+19.97%,"NT$+33,268",到期
V3 (任意下降),6週+3個持倉_全週期,2739,backup_v3,20240508,73.4,20240513,64.6,5,-12.43%,"NT$-20,715",停損
V3 (任意下降),6週+3個持倉_全週期,2545,backup_v3,20240508,60.5,20240619,56.8,42,-6.56%,"NT$-10,927",到期
V3 (任意下降),6週+3個持倉_全週期,6231,main,20240619,398.0,20240731,410.5,42,+2.70%,"NT$+4,495",到期
V3 (任意下降),6週+3個持倉_全週期,1442,backup_v3,20240626,60.3,20240807,64.2,42,+6.03%,"NT$+10,042",到期
V3 (任意下降),6週+3個持倉_全週期,2548,backup_v3,20240731,166.5,20240805,148.0,5,-11.55%,"NT$-19,245",停損
V3 (任意下降),6週+3個持倉_全週期,2597,backup_v3,20240807,205.0,20240814,154.0,7,-25.32%,"NT$-42,157",停損
V3 (任意下降),6週+3個持倉_全週期,4420,backup_v3,20240807,63.4,20240916,55.2,40,-13.38%,"NT$-22,293",停損
V3 (任意下降),6週+3個持倉_全週期,2250,backup_v3,20240814,94.4,20240925,106.5,42,+12.38%,"NT$+20,625",到期
V3 (任意下降),6週+3個持倉_全週期,8249,backup_v3,20240918,56.9,20241004,50.8,16,-11.16%,"NT$-18,599",停損
V3 (任意下降),6週+3個持倉_全週期,2049,backup_v3,20241030,236.5,20241211,252.5,42,+6.32%,"NT$+10,527",到期
V3 (任意下降),6週+3個持倉_全週期,2354,backup_v3,20241030,80.6,20241211,83.8,42,+3.53%,"NT$+5,877",到期
V3 (任意下降),6週+3個持倉_全週期,3563,main,20250312,569.0,20250327,523.0,15,-8.53%,"NT$-14,187",停損
