分析維度,子分類,交易筆數,勝率,平均報酬,合計利潤,結論
持倉天數,<7日,141,0.0%,-12.1%,-NT$1618542,❌全虧損
持倒天數,7-14日,56,0.0%,-8.7%,-NT$488332,❌全虧損
持倒天數,14-30日,134,0.0%,-15.1%,-NT$2031537,❌全虧損
持倒天數,30-42日,303,61.1%,+8.1%,+NT$2472670,✅最優
持倒天數,42-90日,155,63.2%,+16.6%,+NT$2571117,✅最優
出場原因,停損 (-7%),423,0.0%,-12.1%,-NT$5125043,❌整體虧損
出場原因,到期 (42-90日),366,77.3%,+16.5%,+NT$6030419,✅整體獲利
進場價格,<50元,7,0.0%,-8.71%,-NT$59433,❌垃圾股
進場價格,50-100元,288,29.9%,-2.29%,-NT$710127,❌弱勢虧損
進場價格,100-200元,212,40.6%,+3.92%,+NT$926107,✅優異
進場價格,200-300元,71,52.1%,+3.36%,+NT$219959,✅優異
進場價格,300-500元,130,45.4%,+6.78%,+NT$1112305,✅優異
進場價格,500+元,81,18.5%,-5.87%,-NT$583435,❌高價無效
引擎品質,backup_v4 (v4持續下降),311,40.2%,+2.2%,+NT$677534,✅推薦
引擎品質,main (連升3週),168,32.1%,+3.3%,+NT$553923,✅可選
引擎品質,backup_v3 (v3任意下降),310,33.5%,-1.1%,-NT$326081,❌淘汰
配置組合,6週+3個 (全週期),60,36.7%,+0.6%,+NT$552,✅基礎
配置組合,6週+6個 (全週期),124,38.7%,+0.4%,+NT$47899,✅基礎
配置組合,90天+3個 (全週期),45,33.3%,+5.5%,+NT$249836,✅推薦
配置組合,90天+6個 (全週期),86,38.4%,+3.5%,+NT$302448,✅最優
