配置,週期,版本,訊號數,交易筆數,獲利NT$,勝率%,評分
6週+3個持倉,全週期,V3,6242,47,-137321,36.2,虧損
6週+3個持倉,全週期,V4,2700,60,552,36.7,扭虧為盈 ✅
6週+6個持倉,全週期,V3,6242,122,-94398,35.2,虧損
6週+6個持倉,全週期,V4,2700,124,47899,38.7,轉正 ✅
90天+3個持倉,全週期,V3,6242,32,-236636,21.9,嚴重虧損
90天+3個持倉,全週期,V4,2700,45,249836,33.3,大幅轉盈 ✅
90天+6個持倉,全週期,V3,6242,72,-183745,27.8,虧損
90天+6個持倉,全週期,V4,2700,86,302448,38.4,大幅轉盈 ✅
6週+3個持倉,2023年,V3,1693,22,88528,40.9,獲利
6週+3個持倉,2023年,V4,725,22,177475,45.5,獲利更多 ✅
6週+6個持倉,2023年,V3,1693,39,113924,43.6,獲利
6週+6個持倉,2023年,V4,725,43,98845,44.2,略低
90天+3個持倉,2023年,V3,1693,10,242566,50.0,最優
90天+3個持倉,2023年,V4,725,12,168308,41.7,略低
90天+6個持倉,2023年,V3,1693,27,54489,22.2,獲利
90天+6個持倉,2023年,V4,725,26,12606,26.9,略低
