股票,引擎,進場日期,進場價格,出場日期,出場價格,日曆天數,收益率%,收益金額,出場原因,投入資金,version,config,price,entry_date,stock,engine,fled_pct,r400_chg,ma20,ma20_gap,big_holder_chg,pnl,ret,price_tier,days_bucket
2066,backup_v4,20230308,90.0,20230316,83.5,8,-7.66%,"NT$-12,773",停損,"NT$166,647",v4,6週+3個持倉_2023年,90.0,20230308,2066,backup_v4,-7.217847769028872,0.0,86.385,4.184754297621109,0.0,-12773.0,-7.66,50-100,7-14日
6472,main,20230222,493.0,20230405,740.0,42,+49.66%,"NT$+82,621",到期,"NT$166,378",v4,6週+3個持倉_2023年,493.0,20230222,6472,main,0.0,0.0,0.0,0.0,0.0,82621.0,49.66,300-500,30-42日
2474,backup_v4,20230308,187.5,20230419,182.5,42,-3.11%,"NT$-5,178",到期,"NT$166,549",v4,6週+3個持倉_2023年,187.5,20230308,2474,backup_v4,-5.166232073011734,0.0,187.8,-0.15974440894569295,0.0,-5178.0,-3.11,100-200,30-42日
4763,main,20230419,480.0,20230421,435.0,2,-9.82%,"NT$-16,328",停損,"NT$166,317",v4,6週+3個持倉_2023年,480.0,20230419,4763,main,0.0,0.0,0.0,0.0,0.0,-16328.0,-9.82,300-500,<7日
3675,main,20230412,299.5,20230524,348.0,42,+15.75%,"NT$+26,219",到期,"NT$166,459",v4,6週+3個持倉_2023年,299.5,20230412,3675,main,0.0,0.0,0.0,0.0,0.0,26219.0,15.75,200-300,30-42日
2207,backup_v4,20230426,660.0,20230607,861.0,42,+30.01%,"NT$+49,987",到期,"NT$166,557",v4,6週+3個持倉_2023年,660.0,20230426,2207,backup_v4,-7.657127923690056,0.0,644.85,2.3493835775761767,0.0,49987.0,30.01,500+,30-42日
3044,backup_v4,20230426,113.5,20230607,127.0,42,+11.45%,"NT$+19,082",到期,"NT$166,628",v4,6週+3個持倉_2023年,113.5,20230426,3044,backup_v4,-5.176528177201249,0.0,114.1,-0.52585451358457,0.0,19082.0,11.45,100-200,30-42日
1795,main,20230524,334.5,20230608,311.0,15,-7.47%,"NT$-12,433",停損,"NT$166,483",v4,6週+3個持倉_2023年,334.5,20230524,1795,main,0.0,0.0,0.0,0.0,0.0,-12433.0,-7.47,300-500,14-30日
1580,backup_v4,20230607,134.5,20230609,124.5,2,-7.88%,"NT$-13,125",停損,"NT$166,614",v4,6週+3個持倉_2023年,134.5,20230607,1580,backup_v4,-5.374177079134757,0.0,129.225,4.082027471464505,0.0,-13125.0,-7.88,100-200,<7日
2743,backup_v4,20230607,160.5,20230712,136.5,35,-15.40%,"NT$-25,636",停損,"NT$166,515",v4,6週+3個持倉_2023年,160.5,20230607,2743,backup_v4,-38.82091212458287,0.0,117.565,36.52022285544167,0.0,-25636.0,-15.4,100-200,30-42日
2308,backup_v4,20230614,353.0,20230726,360.5,42,+1.68%,"NT$+2,801",到期,"NT$166,500",v4,6週+3個持倉_2023年,353.0,20230614,2308,backup_v4,-5.245006321112515,0.0,318.675,10.771161842002035,0.0,2801.0,1.68,300-500,30-42日
2330,backup_v4,20230614,590.0,20230726,566.0,42,-4.51%,"NT$-7,515",到期,"NT$166,617",v4,6週+3個持倉_2023年,590.0,20230614,2330,backup_v4,-8.138326349625567,0.0,556.3,6.0578824375337135,0.0,-7515.0,-4.51,500+,30-42日
4551,backup_v4,20230712,146.5,20230802,135.5,21,-7.95%,"NT$-13,251",停損,"NT$166,661",v4,6週+3個持倉_2023年,146.5,20230712,4551,backup_v4,-18.92456773703211,0.0,152.175,-3.729259076720888,0.0,-13251.0,-7.95,100-200,14-30日
