序號,引擎,股票,進場日,進場價,出場日,出場價,週數,毛利%,淨利%,PnL(元),出場方式
1,MAIN,3443,2022-12-09,$794.00,2022-12-23,$738.42,2,-8.56%,-7.44%,"-6,154",STOP LOSS
2,MAIN,6472,2022-12-09,$394.50,2023-02-03,$411.50,8,+4.31%,+3.87%,"+3,208",HOLD PERIOD
3,BACKUP,1795,2022-12-16,$234.50,2023-02-03,$249.00,7,+6.18%,+5.74%,"+4,772",HOLD PERIOD
4,BACKUP,4763,2022-12-16,$176.50,2023-02-03,$260.50,7,+47.59%,+47.15%,"+39,252",HOLD PERIOD
5,BACKUP,2731,2022-12-23,$102.50,2023-02-03,$107.50,6,+4.88%,+4.44%,"+3,692",HOLD PERIOD
6,BACKUP,6515,2022-12-23,$404.00,2023-02-03,$459.00,6,+13.61%,+13.17%,"+10,924",HOLD PERIOD
7,BACKUP,2482,2023-02-17,$51.00,2023-03-03,$47.43,2,-7.65%,-7.44%,"-6,200",STOP LOSS
8,BACKUP,2230,2023-02-03,$52.50,2023-03-17,$78.90,6,+50.29%,+49.84%,"+41,535",HOLD PERIOD
9,BACKUP,5284,2023-02-03,$80.70,2023-03-17,$95.90,6,+18.84%,+18.39%,"+15,325",HOLD PERIOD
10,BACKUP,3558,2023-02-10,$254.50,2023-03-24,$357.00,6,+40.28%,+39.83%,"+33,095",HOLD PERIOD
11,BACKUP,3675,2023-02-10,$248.50,2023-03-24,$304.00,6,+22.33%,+21.89%,"+18,196",HOLD PERIOD
12,BACKUP,4919,2023-02-17,$144.50,2023-03-31,$149.50,6,+3.46%,+3.02%,"+2,511",HOLD PERIOD
13,MAIN,6472,2023-03-03,$521.00,2023-04-14,$773.00,6,+48.37%,+47.93%,"+39,758",HOLD PERIOD
14,BACKUP,2388,2023-03-17,$89.80,2023-04-14,$83.51,4,-8.46%,-7.44%,"-6,198",STOP LOSS
15,MAIN,3680,2023-03-31,$374.00,2023-04-21,$347.82,3,-9.36%,-7.44%,"-6,188",STOP LOSS
16,BACKUP,8478,2023-03-31,$515.00,2023-04-21,$478.95,3,-15.15%,-7.44%,"-6,180",STOP LOSS
17,MAIN,4763,2023-04-14,$471.00,2023-04-21,$438.03,1,-7.64%,-7.44%,"-6,178",STOP LOSS
