股票,引擎,進場日期,進場價格,出場日期,出場價格,日曆天數,收益率%,收益金額,出場原因
3443,main,20221208,763.00,20221226,698.00,18,-8.96%,"NT$-14,927",停損
6472,main,20221208,387.50,20230130,398.00,53,+2.27%,"NT$+3,774",到期
2731,backup,20221223,102.50,20230203,107.50,42,+4.44%,"NT$+7,389",到期
5258,backup,20230210,76.80,20230313,90.50,31,+17.40%,"NT$+28,993",停利
8478,backup,20230203,336.50,20230314,357.50,39,+5.80%,"NT$+9,652",停利
2388,backup,20230317,89.80,20230329,83.30,12,-7.68%,"NT$-12,799",停損
8478,main,20230411,525.00,20230419,453.00,8,-14.16%,"NT$-23,594",停損
6719,main,20230328,307.50,20230421,330.50,24,+7.04%,"NT$+11,724",停利
3680,main,20230330,365.50,20230421,339.00,22,-7.69%,"NT$-12,812",停損
4763,main,20230424,447.00,20230529,550.00,35,+22.60%,"NT$+37,634",停利
3693,backup,20230428,178.50,20230609,248.00,42,+38.49%,"NT$+64,129",到期
8046,main,20230601,298.50,20230626,275.00,25,-8.32%,"NT$-13,845",停損
5243,backup,20230609,85.50,20230627,79.00,18,-8.04%,"NT$-13,404",停損
1795,main,20230530,328.50,20230703,299.00,34,-9.42%,"NT$-15,685",停損
2748,backup,20230630,92.20,20230710,84.60,10,-8.69%,"NT$-14,475",停損
3680,backup,20230707,399.00,20230721,369.50,14,-7.84%,"NT$-13,056",停損
4763,main,20230720,806.00,20230801,850.00,12,+5.02%,"NT$+8,341",停利
5258,backup,20230627,106.50,20230802,123.50,36,+15.52%,"NT$+25,855",停利
3035,main,20230727,331.00,20230802,281.00,6,-15.55%,"NT$-25,872",停損
4763,main,20230802,841.00,20230810,750.00,8,-11.26%,"NT$-18,687",停損
1519,backup,20230811,211.50,20230814,192.50,3,-9.43%,"NT$-15,692",停損
3035,main,20230804,281.50,20230818,328.00,14,+16.08%,"NT$+26,783",停利
6829,backup,20230908,140.00,20230912,130.00,4,-7.59%,"NT$-12,634",停損
4572,backup,20230811,188.50,20230913,171.00,33,-9.73%,"NT$-16,194",停損
6829,backup,20230915,122.50,20230921,111.50,6,-9.42%,"NT$-15,696",停損
3592,main,20230921,364.00,20231102,375.50,42,+2.72%,"NT$+4,526",到期
8016,main,20230921,284.50,20231102,296.50,42,+3.78%,"NT$+6,282",到期
6533,main,20231103,398.00,20231204,467.00,31,+16.89%,"NT$+28,146",停利
5439,backup,20231110,122.50,20231211,138.50,31,+12.62%,"NT$+21,022",停利
6789,main,20231212,291.00,20231225,267.50,13,-8.52%,"NT$-14,174",停損
3324,main,20231205,340.50,20240116,338.50,42,-1.03%,"NT$-1,714",到期
6531,main,20231205,452.00,20240116,544.00,42,+19.91%,"NT$+33,167",到期
1519,main,20231226,315.00,20240215,496.00,51,+57.02%,"NT$+94,967",到期
6531,main,20240119,519.00,20240216,480.00,28,-7.96%,"NT$-13,234",停損
3035,main,20240118,423.50,20240221,380.00,34,-10.71%,"NT$-17,812",停損
2376,main,20240222,347.00,20240314,317.50,21,-8.94%,"NT$-14,887",停損
1519,main,20240219,502.00,20240327,710.00,37,+40.99%,"NT$+68,210",停利
3680,main,20240221,421.00,20240403,474.00,42,+12.15%,"NT$+20,228",到期
3013,backup,20240315,48.20,20240403,63.90,19,+32.13%,"NT$+53,536",停利
3083,backup,20240329,51.90,20240416,48.10,18,-7.76%,"NT$-12,937",停損
3406,backup,20240409,477.00,20240416,442.00,7,-7.78%,"NT$-12,933",停損
1795,main,20240411,325.00,20240506,300.00,25,-8.13%,"NT$-13,556",停損
2404,main,20240426,408.00,20240510,375.00,14,-8.53%,"NT$-14,186",停損
2739,backup,20240510,69.40,20240514,63.40,4,-9.09%,"NT$-15,146",停損
3413,main,20240516,313.00,20240627,317.00,42,+0.84%,"NT$+1,391",到期
8996,main,20240523,478.00,20240704,482.50,42,+0.50%,NT$+831,到期
6231,main,20240620,381.50,20240704,396.50,14,+3.49%,"NT$+5,812",停利
3583,backup,20240712,411.50,20240718,382.00,6,-7.61%,"NT$-12,672",停損
6451,backup,20240705,254.50,20240722,228.50,17,-10.66%,"NT$-17,739",停損
6753,backup,20240705,138.50,20240729,127.00,24,-8.75%,"NT$-14,568",停損
3680,backup,20240719,471.50,20240805,427.00,17,-9.88%,"NT$-16,422",停損
8147,backup,20240730,131.50,20240805,116.50,6,-11.85%,"NT$-19,739",停損
3013,backup,20240730,107.50,20240805,91.40,6,-15.42%,"NT$-25,696",停損
2739,backup,20240809,60.00,20240904,55.00,26,-8.78%,"NT$-14,622",停損
6515,main,20240829,1175.00,20240923,1280.00,25,+8.49%,"NT$+14,092",停利
6446,main,20240822,695.00,20240926,635.00,35,-9.08%,"NT$-15,096",停損
3081,main,20241011,352.00,20241028,324.00,17,-8.40%,"NT$-13,971",停損
3583,main,20241017,492.50,20241028,449.00,11,-9.27%,"NT$-15,416",停損
6805,backup,20241025,859.00,20241115,785.00,21,-9.06%,"NT$-15,037",停損
3443,main,20241114,1230.00,20241220,1350.00,36,+9.31%,"NT$+15,487",停利
3081,main,20241127,334.00,20250110,395.00,44,+17.82%,"NT$+29,684",到期
2404,main,20241128,413.00,20250110,493.00,43,+18.93%,"NT$+31,470",到期
3491,main,20241223,315.50,20250207,401.50,46,+26.82%,"NT$+44,650",停利
8299,main,20250113,471.00,20250227,559.00,45,+18.24%,"NT$+30,372",到期
2383,main,20250113,590.00,20250227,632.00,45,+6.68%,"NT$+11,124",到期
6643,main,20250303,763.00,20250307,707.00,4,-7.78%,"NT$-12,962",停損
4763,main,20250313,1065.00,20250314,959.00,1,-10.40%,"NT$-17,296",停損
3592,main,20250210,392.50,20250324,367.00,42,-6.94%,"NT$-11,565",到期
3563,main,20250320,585.00,20250326,537.00,6,-8.65%,"NT$-14,388",停損
6643,main,20250310,715.00,20250328,646.00,18,-10.09%,"NT$-16,766",停損
4763,main,20250325,927.00,20250331,859.00,6,-7.78%,"NT$-12,925",停損
3563,main,20250327,523.00,20250331,470.50,4,-10.48%,"NT$-17,456",停損
