股票,引擎,進場日期,進場價格,出場日期,出場價格,日曆天數,收益率%,收益金額,出場原因
3443,main,20221208,763.00,20221226,698.00,18,-8.96%,"NT$-11,161",停損
6472,main,20221208,387.50,20230130,398.00,53,+2.27%,"NT$+2,833",到期
2731,backup,20221223,102.50,20230203,107.50,42,+4.44%,"NT$+5,541",到期
5258,backup,20230210,76.80,20230313,90.50,31,+17.40%,"NT$+21,741",停利
3675,backup,20230210,248.50,20230313,282.50,31,+13.24%,"NT$+16,540",停利
8478,backup,20230203,336.50,20230314,357.50,39,+5.80%,"NT$+7,229",停利
2388,backup,20230317,89.80,20230329,83.30,12,-7.68%,"NT$-9,601",停損
8478,main,20230411,525.00,20230419,453.00,8,-14.16%,"NT$-17,640",停損
6719,main,20230328,307.50,20230421,330.50,24,+7.04%,"NT$+8,776",停利
3680,main,20230330,365.50,20230421,339.00,22,-7.69%,"NT$-9,602",停損
4763,main,20230420,465.00,20230425,427.50,5,-8.51%,"NT$-10,617",停損
1752,backup,20230508,77.50,20230511,70.20,3,-9.86%,"NT$-12,323",停損
3675,main,20230413,288.00,20230525,340.00,42,+17.61%,"NT$+21,995",到期
3693,backup,20230428,178.50,20230609,248.00,42,+38.49%,"NT$+48,097",到期
8046,main,20230601,298.50,20230626,275.00,25,-8.32%,"NT$-10,390",停損
5243,backup,20230609,85.50,20230627,79.00,18,-8.04%,"NT$-10,050",停損
1795,main,20230525,331.00,20230703,299.00,39,-10.11%,"NT$-12,634",停損
2748,backup,20230630,92.20,20230710,84.60,10,-8.69%,"NT$-10,850",停損
4747,backup,20230616,88.70,20230721,108.00,35,+21.32%,"NT$+26,641",停利
3680,backup,20230707,399.00,20230721,369.50,14,-7.84%,"NT$-9,769",停損
4763,main,20230720,806.00,20230801,850.00,12,+5.02%,"NT$+6,236",停利
5258,backup,20230627,106.50,20230802,123.50,36,+15.52%,"NT$+19,399",停利
3035,main,20230727,331.00,20230802,281.00,6,-15.55%,"NT$-19,430",停損
4763,main,20230802,841.00,20230810,750.00,8,-11.26%,"NT$-14,039",停損
1519,backup,20230811,211.50,20230814,192.50,3,-9.43%,"NT$-11,779",停損
3035,main,20230804,281.50,20230818,328.00,14,+16.08%,"NT$+20,076",停利
6829,backup,20230908,140.00,20230912,130.00,4,-7.59%,"NT$-9,475",停損
4572,backup,20230811,188.50,20230913,171.00,33,-9.73%,"NT$-12,154",停損
6829,backup,20230915,122.50,20230921,111.50,6,-9.42%,"NT$-11,767",停損
2059,main,20231019,805.00,20231030,744.00,11,-8.02%,"NT$-10,021",停損
3592,main,20230921,364.00,20231102,375.50,42,+2.72%,"NT$+3,387",到期
8016,main,20230921,284.50,20231102,296.50,42,+3.78%,"NT$+4,711",到期
6533,main,20231103,398.00,20231204,467.00,31,+16.89%,"NT$+21,076",停利
5439,backup,20231110,122.50,20231211,138.50,31,+12.62%,"NT$+15,759",停利
2059,main,20231031,702.00,20231212,863.00,42,+22.49%,"NT$+27,987",到期
1519,backup,20231215,347.50,20231221,318.50,6,-8.79%,"NT$-10,979",停損
4967,backup,20231110,87.10,20231222,87.00,42,-0.56%,NT$-697,到期
6789,main,20231212,291.00,20231225,267.50,13,-8.52%,"NT$-10,624",停損
6546,backup,20231229,120.00,20240108,111.00,10,-7.94%,"NT$-9,926",停損
3324,main,20231205,340.50,20240116,338.50,42,-1.03%,"NT$-1,285",到期
3675,backup,20231229,268.50,20240119,247.50,21,-8.26%,"NT$-10,310",停損
1519,main,20231222,321.00,20240202,488.50,42,+51.74%,"NT$+64,531",到期
