engine,stock,buy_date,entry_price,exit_date,exit_price,weeks_held,gross_return_pct,net_return_pct,pnl_twd,exit_reason
main,1795,20221209,254.0,20221216,236.21999999999997,1,-7.677165354330709,-7.4425,-12400,stop_loss
main,3443,20221209,794.0,20221223,738.42,2,-8.564231738035264,-7.4425,-12368,stop_loss
main,2707,20221223,256.0,20230106,238.07999999999998,2,-8.984375,-7.4425,-12402,stop_loss
main,1795,20221216,234.5,20230310,255.0,12,8.742004264392325,8.299504264392324,13818,trailing_stop
backup,2388,20230317,89.8,20230414,83.514,4,-8.463251670378613,-7.4425,-12402,stop_loss
backup,2230,20230203,52.5,20230505,81.5,13,55.23809523809524,54.79559523809524,91324,hold_period
backup,1752,20230505,77.9,20230512,72.447,1,-11.424903722721444,-7.4425,-12402,stop_loss
main,2731,20230414,179.0,20230707,166.47,12,-8.100558659217876,-7.4425,-12394,stop_loss
main,3035,20230707,244.5,20230728,319.5,3,30.67484662576687,30.232346625766873,50336,trailing_stop
backup,3693,20230505,180.0,20230804,402.5,13,123.61111111111111,123.16861111111112,205146,hold_period
main,2388,20230728,147.5,20230804,137.17499999999998,1,-25.76271186440678,-7.4425,-12400,stop_loss
main,6438,20230512,116.0,20230811,107.88,13,-16.29310344827587,-7.4425,-12398,stop_loss
main,1519,20230804,213.0,20230915,257.5,6,20.89201877934272,20.44951877934272,34067,trailing_stop
main,3014,20230811,137.0,20230928,157.0,6,14.5985401459854,14.156040145985399,23578,trailing_stop
main,2492,20230915,108.0,20231006,100.44,3,-7.499999999999994,-7.4425,-12404,stop_loss
main,5321,20231006,104.0,20231013,96.72,1,-13.461538461538462,-7.4425,-12402,stop_loss
main,1560,20230804,131.5,20231103,180.0,13,36.88212927756654,36.43962927756654,60703,hold_period
backup,4961,20231013,269.0,20231110,250.17,4,-8.178438661710038,-7.4425,-12390,stop_loss
main,2404,20230928,227.5,20231229,264.5,13,16.263736263736263,15.821236263736262,26349,hold_period
backup,4967,20231110,87.1,20240105,81.00299999999999,8,-8.955223880597012,-7.4425,-12399,stop_loss
main,1560,20231103,180.0,20240202,217.5,13,20.833333333333336,20.390833333333337,33962,hold_period
main,3515,20240105,231.0,20240315,250.5,10,8.441558441558442,7.999058441558442,13323,trailing_stop
main,2603,20231229,143.5,20240329,172.0,13,19.860627177700348,19.41812717770035,32342,hold_period
main,2455,20240315,173.0,20240419,160.89,5,-15.028901734104046,-7.4425,-12404,stop_loss
main,3265,20240202,120.5,20240503,133.5,13,10.78838174273859,10.34588174273859,17241,hold_period
main,1795,20240419,311.5,20240510,289.695,3,-7.704654895666131,-7.4425,-12398,stop_loss
main,1514,20240503,135.0,20240517,125.55,2,-12.592592592592592,-7.4425,-12396,stop_loss
backup,2739,20240510,69.4,20240524,64.542,2,-13.544668587896261,-7.4425,-12404,stop_loss
main,2317,20240329,150.0,20240628,214.0,13,42.66666666666667,42.22416666666667,70340,hold_period
main,3483,20240524,188.5,20240628,202.0,5,7.161803713527852,6.719303713527852,11187,trailing_stop
main,2351,20240628,139.5,20240705,129.73499999999999,1,-7.168458781362006,-7.4425,-12404,stop_loss
main,3413,20240517,307.0,20240719,330.5,9,7.654723127035831,7.2122231270358315,12018,trailing_stop
main,2439,20240705,145.0,20240726,134.85,3,-14.482758620689657,-7.4425,-12396,stop_loss
main,2467,20240719,215.0,20240802,199.95,2,-16.046511627906977,-7.4425,-12403,stop_loss
main,3013,20240726,116.0,20240802,107.88,1,-12.5,-7.4425,-12398,stop_loss
main,2548,20240628,136.5,20240809,141.5,6,3.6630036630036633,3.2205036630036634,5366,trailing_stop
backup,2739,20240802,68.5,20240809,63.705,1,-12.408759124087592,-7.4425,-12401,stop_loss
backup,5225,20240802,123.0,20241004,128.5,9,4.471544715447155,4.029044715447155,6715,trailing_stop
main,2603,20241004,186.0,20250103,231.5,13,24.462365591397848,24.01986559139785,39998,hold_period
main,2359,20250103,160.5,20250117,149.265,2,-11.214953271028037,-7.4425,-12393,stop_loss
main,3363,20250117,332.0,20250307,308.76,7,-8.885542168674698,-7.4425,-12397,stop_loss
main,3231,20250307,107.0,20250411,99.50999999999999,5,-15.607476635514022,-7.4425,-12401,stop_loss
main,6829,20250411,118.5,20250529,123.5,6,4.219409282700422,3.776909282700422,6293,trailing_stop
main,2603,20250529,244.5,20250620,227.385,3,-15.132924335378323,-7.4425,-12392,stop_loss
main,3017,20250620,734.0,20250905,944.0,11,28.610354223433244,28.167854223433245,46793,trailing_stop
main,4722,20250905,134.0,20250912,124.61999999999999,1,-7.835820895522389,-7.4425,-12404,stop_loss
main,2731,20250912,160.5,20251212,164.5,13,2.4922118380062304,2.0497118380062305,3413,hold_period
main,1560,20251212,369.0,20260306,486.5,open,31.842818428184284,31.400318428184285,52331,data_end
