股票,引擎,進場日期,進場價格,出場日期,出場價格,日曆天數,收益率%,收益金額,出場原因,投入資金
4919,backup,20230208,154.00,20230222,142.50,14,-7.91%,"NT$-6,587",停損,"NT$83,279"
6205,backup,20230208,85.80,20230406,78.80,57,-8.60%,"NT$-7,161",停損,"NT$83,259"
4763,main,20230419,480.00,20230421,435.00,2,-9.82%,"NT$-8,164",停損,"NT$83,158"
3558,backup,20230208,261.00,20230509,276.00,90,+5.30%,"NT$+4,409",到期,"NT$83,116"
3675,backup,20230208,245.50,20230509,299.50,90,+21.55%,"NT$+17,910",到期,"NT$83,097"
5258,backup,20230208,78.50,20230509,82.70,90,+4.91%,"NT$+4,090",到期,"NT$83,329"
1752,backup,20230426,77.70,20230511,70.20,15,-10.10%,"NT$-8,405",停損,"NT$83,257"
6472,main,20230222,493.00,20230523,807.00,90,+63.25%,"NT$+52,460",到期,"NT$82,942"
1795,main,20230524,334.50,20230608,311.00,15,-7.47%,"NT$-6,204",停損,"NT$83,074"
8046,main,20230531,303.00,20230615,281.00,15,-7.70%,"NT$-6,404",停損,"NT$83,140"
2743,backup,20230607,160.50,20230712,136.50,35,-15.40%,"NT$-12,818",停損,"NT$83,257"
3178,backup,20230607,96.80,20230719,89.20,42,-8.29%,"NT$-6,906",停損,"NT$83,270"
4572,backup,20230621,182.50,20230724,168.00,33,-8.39%,"NT$-6,975",停損,"NT$83,156"
4551,backup,20230712,146.50,20230802,135.50,21,-7.95%,"NT$-6,626",停損,"NT$83,331"
1519,backup,20230809,224.00,20230814,192.50,5,-14.51%,"NT$-12,071",停損,"NT$83,222"
3583,backup,20230607,134.50,20230905,219.00,90,+62.38%,"NT$+51,927",到期,"NT$83,239"
4979,backup,20230607,70.40,20230905,167.00,90,+136.77%,"NT$+113,975",到期,"NT$83,331"
6829,backup,20230830,150.00,20230907,139.50,8,-7.44%,"NT$-6,194",停損,"NT$83,218"
2368,backup,20230906,216.50,20230911,199.00,5,-8.53%,"NT$-7,098",停損,"NT$83,254"
4747,backup,20230614,81.20,20230912,101.00,90,+23.94%,"NT$+19,936",到期,"NT$83,267"
2645,backup,20230830,130.00,20230912,117.00,13,-10.44%,"NT$-8,701",停損,"NT$83,319"
5439,backup,20231108,126.00,20231117,115.00,9,-9.17%,"NT$-7,639",停損,"NT$83,279"
4967,backup,20231108,92.30,20231201,85.20,23,-8.13%,"NT$-6,775",停損,"NT$83,281"
3592,main,20230920,358.50,20231219,388.00,90,+7.79%,"NT$+6,485",到期,"NT$83,291"
8016,main,20230920,286.50,20231219,280.00,90,-2.71%,"NT$-2,256",到期,"NT$83,203"
6789,main,20231206,305.00,20231219,277.50,13,-9.46%,"NT$-7,858",停損,"NT$83,078"
