股票,引擎,進場日期,進場價格,出場日期,出場價格,日曆天數,收益率%,收益金額,出場原因,投入資金
3443,main,20221207,742.00,20221228,636.00,21,-14.73%,"NT$-12,257",停損,"NT$83,222"
6472,main,20221207,400.00,20230307,497.50,90,+23.93%,"NT$+19,940",到期,"NT$83,319"
2731,backup,20221221,98.80,20230321,120.50,90,+21.52%,"NT$+17,929",到期,"NT$83,308"
6515,backup,20221221,412.00,20230321,684.00,90,+65.58%,"NT$+54,383",到期,"NT$82,930"
6719,main,20230322,332.00,20230328,307.50,6,-7.82%,"NT$-6,502",停損,"NT$83,118"
3680,main,20230329,366.00,20230421,339.00,23,-7.82%,"NT$-6,506",停損,"NT$83,200"
4763,main,20230419,480.00,20230421,435.00,2,-9.82%,"NT$-8,164",停損,"NT$83,158"
3558,backup,20230208,261.00,20230509,276.00,90,+5.30%,"NT$+4,409",到期,"NT$83,116"
3675,backup,20230208,245.50,20230509,299.50,90,+21.55%,"NT$+17,910",到期,"NT$83,097"
1752,backup,20230426,77.70,20230511,70.20,15,-10.10%,"NT$-8,405",停損,"NT$83,257"
8155,backup,20230426,148.00,20230515,134.00,19,-9.90%,"NT$-8,248",停損,"NT$83,295"
1795,main,20230524,334.50,20230608,311.00,15,-7.47%,"NT$-6,204",停損,"NT$83,074"
8046,main,20230531,303.00,20230615,281.00,15,-7.70%,"NT$-6,404",停損,"NT$83,140"
2743,backup,20230607,160.50,20230712,136.50,35,-15.40%,"NT$-12,818",停損,"NT$83,257"
3178,backup,20230607,96.80,20230719,89.20,42,-8.29%,"NT$-6,906",停損,"NT$83,270"
4572,backup,20230621,182.50,20230724,168.00,33,-8.39%,"NT$-6,975",停損,"NT$83,156"
3693,backup,20230426,178.50,20230725,348.00,90,+94.52%,"NT$+78,731",到期,"NT$83,300"
4551,backup,20230712,146.50,20230802,135.50,21,-7.95%,"NT$-6,626",停損,"NT$83,331"
1519,backup,20230809,224.00,20230814,192.50,5,-14.51%,"NT$-12,071",停損,"NT$83,222"
3583,backup,20230607,134.50,20230905,219.00,90,+62.38%,"NT$+51,927",到期,"NT$83,239"
6829,backup,20230830,150.00,20230907,139.50,8,-7.44%,"NT$-6,194",停損,"NT$83,218"
2368,backup,20230906,216.50,20230911,199.00,5,-8.53%,"NT$-7,098",停損,"NT$83,254"
4747,backup,20230614,81.20,20230912,101.00,90,+23.94%,"NT$+19,936",到期,"NT$83,267"
2645,backup,20230830,130.00,20230912,117.00,13,-10.44%,"NT$-8,701",停損,"NT$83,319"
5439,backup,20231108,126.00,20231117,115.00,9,-9.17%,"NT$-7,639",停損,"NT$83,279"
4967,backup,20231108,92.30,20231201,85.20,23,-8.13%,"NT$-6,775",停損,"NT$83,281"
3592,main,20230920,358.50,20231219,388.00,90,+7.79%,"NT$+6,485",到期,"NT$83,291"
8016,main,20230920,286.50,20231219,280.00,90,-2.71%,"NT$-2,256",到期,"NT$83,203"
6789,main,20231206,305.00,20231219,277.50,13,-9.46%,"NT$-7,858",停損,"NT$83,078"
6533,main,20231101,389.50,20240130,492.50,90,+26.00%,"NT$+21,603",到期,"NT$83,082"
8210,main,20240124,303.00,20240131,280.00,7,-8.03%,"NT$-6,679",停損,"NT$83,140"
3661,main,20231115,3105.00,20240213,4105.00,90,+31.76%,"NT$+25,679",到期,"NT$80,845"
3694,backup,20240131,58.00,20240219,53.50,19,-8.20%,"NT$-6,831",停損,"NT$83,291"
6531,main,20231122,452.50,20240220,470.50,90,+3.54%,"NT$+2,932",到期,"NT$82,926"
6462,main,20240306,293.50,20240307,265.50,1,-9.98%,"NT$-8,303",停損,"NT$83,179"
2376,main,20240221,347.50,20240314,317.50,22,-9.08%,"NT$-7,548",停損,"NT$83,171"
3017,main,20240117,343.50,20240416,606.00,90,+75.98%,"NT$+63,247",到期,"NT$83,245"
3083,backup,20240327,54.30,20240416,48.10,20,-11.86%,"NT$-9,881",停損,"NT$83,306"
1319,backup,20240131,85.30,20240430,119.00,90,+39.07%,"NT$+32,536",到期,"NT$83,286"
3265,backup,20240131,122.00,20240430,131.50,90,+7.34%,"NT$+6,120",到期,"NT$83,323"
2404,main,20240424,412.50,20240508,383.00,14,-7.59%,"NT$-6,305",停損,"NT$83,031"
2739,backup,20240508,73.40,20240513,64.60,5,-12.43%,"NT$-10,353",停損,"NT$83,281"
4915,backup,20240320,85.50,20240618,114.00,90,+32.89%,"NT$+27,401",到期,"NT$83,310"
3013,backup,20240327,53.30,20240625,85.80,90,+60.53%,"NT$+50,436",到期,"NT$83,320"
8996,main,20240522,439.00,20240716,400.50,55,-9.21%,"NT$-7,655",停損,"NT$83,089"
3413,main,20240515,304.50,20240805,271.00,82,-11.44%,"NT$-9,527",停損,"NT$83,247"
6231,main,20240619,398.00,20240805,347.50,47,-13.13%,"NT$-10,938",停損,"NT$83,301"
8147,backup,20240731,131.50,20240805,116.50,5,-11.85%,"NT$-9,862",停損,"NT$83,226"
3466,backup,20240508,57.10,20240806,68.30,90,+19.17%,"NT$+15,973",到期,"NT$83,313"
5904,main,20240619,529.00,20240917,544.00,90,+2.39%,"NT$+1,990",到期,"NT$83,171"
3163,backup,20240626,136.00,20240924,157.50,90,+15.37%,"NT$+12,787",到期,"NT$83,214"
5234,backup,20240918,248.50,20240924,226.50,6,-9.30%,"NT$-7,726",停損,"NT$83,117"
6446,main,20240821,695.00,20240926,635.00,36,-9.08%,"NT$-7,517",停損,"NT$82,823"
6546,backup,20240918,214.50,20241014,186.50,26,-13.50%,"NT$-11,219",停損,"NT$83,130"
3081,backup,20240911,192.50,20241210,355.50,90,+84.23%,"NT$+70,148",到期,"NT$83,279"
4542,backup,20240911,76.60,20241210,93.30,90,+21.36%,"NT$+17,793",到期,"NT$83,306"
