股票,引擎,進場日期,進場價格,出場日期,出場價格,日曆天數,收益率%,收益金額,出場原因
3443,main,20221208,763.00,20221226,698.00,18,-8.96%,"NT$-14,927",停損
6472,main,20221208,387.50,20230130,398.00,53,+2.27%,"NT$+3,774",到期
2731,backup,20221223,102.50,20230203,107.50,42,+4.44%,"NT$+7,389",到期
4770,backup,20230201,335.00,20230314,310.50,41,-7.76%,"NT$-12,906",停損
8478,backup,20230203,336.50,20230314,357.50,39,+5.80%,"NT$+9,652",停利
2388,backup,20230317,89.80,20230329,83.30,12,-7.68%,"NT$-12,799",停損
3680,main,20230330,365.50,20230421,339.00,22,-7.69%,"NT$-12,812",停損
3491,backup,20230317,161.50,20230428,165.50,42,+2.03%,"NT$+3,389",到期
4763,main,20230424,447.00,20230529,550.00,35,+22.60%,"NT$+37,634",停利
3693,backup,20230428,178.50,20230609,248.00,42,+38.49%,"NT$+64,129",到期
8046,main,20230601,298.50,20230626,275.00,25,-8.32%,"NT$-13,845",停損
5243,backup,20230609,85.50,20230627,79.00,18,-8.04%,"NT$-13,404",停損
1795,main,20230530,328.50,20230703,299.00,34,-9.42%,"NT$-15,685",停損
2748,backup,20230630,92.20,20230710,84.60,10,-8.69%,"NT$-14,475",停損
4763,main,20230720,806.00,20230801,850.00,12,+5.02%,"NT$+8,341",停利
5258,backup,20230627,106.50,20230802,123.50,36,+15.52%,"NT$+25,855",停利
3035,main,20230727,331.00,20230802,281.00,6,-15.55%,"NT$-25,872",停損
4763,main,20230802,841.00,20230810,750.00,8,-11.26%,"NT$-18,687",停損
1519,backup,20230811,211.50,20230814,192.50,3,-9.43%,"NT$-15,692",停損
3035,main,20230804,281.50,20230818,328.00,14,+16.08%,"NT$+26,783",停利
2645,backup,20230818,114.50,20230905,123.50,18,+7.42%,"NT$+12,358",停利
2645,backup,20230908,127.50,20230912,117.00,4,-8.68%,"NT$-14,459",停損
6829,backup,20230908,140.00,20230912,130.00,4,-7.59%,"NT$-12,634",停損
4572,backup,20230811,188.50,20230913,171.00,33,-9.73%,"NT$-16,194",停損
6829,backup,20230915,122.50,20230921,111.50,6,-9.42%,"NT$-15,696",停損
3653,backup,20230915,620.00,20231026,563.00,41,-9.64%,"NT$-16,034",停損
2059,main,20231027,773.00,20231031,702.00,4,-9.63%,"NT$-16,023",停損
3592,main,20230922,368.00,20231103,373.50,42,+1.05%,"NT$+1,752",到期
6533,main,20231102,396.50,20231204,467.00,32,+17.34%,"NT$+28,845",停利
5439,backup,20231110,122.50,20231211,138.50,31,+12.62%,"NT$+21,022",停利
6789,main,20231212,291.00,20231225,267.50,13,-8.52%,"NT$-14,174",停損
3324,main,20231205,340.50,20240116,338.50,42,-1.03%,"NT$-1,714",到期
1519,main,20231226,315.00,20240215,496.00,51,+57.02%,"NT$+94,967",到期
3035,main,20240118,423.50,20240221,380.00,34,-10.71%,"NT$-17,812",停損
2376,main,20240222,347.00,20240314,317.50,21,-8.94%,"NT$-14,887",停損
1519,main,20240219,502.00,20240327,710.00,37,+40.99%,"NT$+68,210",停利
3680,main,20240221,421.00,20240403,474.00,42,+12.15%,"NT$+20,228",到期
3013,backup,20240315,48.20,20240403,63.90,19,+32.13%,"NT$+53,536",停利
5274,backup,20240409,3225.00,20240422,2980.00,13,-8.04%,"NT$-13,242",停損
1795,main,20240411,325.00,20240506,300.00,25,-8.13%,"NT$-13,556",停損
4994,backup,20240329,115.00,20240508,127.50,40,+10.43%,"NT$+17,376",停利
2404,main,20240426,408.00,20240510,375.00,14,-8.53%,"NT$-14,186",停損
2739,backup,20240510,69.40,20240514,63.40,4,-9.09%,"NT$-15,146",停損
6515,backup,20240510,844.00,20240621,1020.00,42,+20.41%,"NT$+33,985",到期
3413,main,20240516,313.00,20240627,317.00,42,+0.84%,"NT$+1,391",到期
8996,main,20240523,478.00,20240704,482.50,42,+0.50%,NT$+831,到期
6231,main,20240624,375.50,20240704,396.50,10,+5.15%,"NT$+8,579",停利
6895,backup,20240719,251.50,20240722,226.50,3,-10.38%,"NT$-17,285",停損
1519,backup,20240712,907.00,20240726,775.00,14,-15.00%,"NT$-24,926",停損
8147,backup,20240719,148.00,20240726,137.50,7,-7.54%,"NT$-12,556",停損
8147,backup,20240730,131.50,20240805,116.50,6,-11.85%,"NT$-19,739",停損
2739,backup,20240809,60.00,20240904,55.00,26,-8.78%,"NT$-14,622",停損
8467,backup,20240809,204.00,20240910,245.50,32,+19.90%,"NT$+33,134",停利
5274,backup,20240906,4845.00,20240910,4475.00,4,-8.08%,"NT$-13,328",停損
6446,main,20240822,695.00,20240926,635.00,35,-9.08%,"NT$-15,096",停損
6890,backup,20240923,375.00,20241015,348.00,22,-7.64%,"NT$-12,714",停損
3081,main,20241011,352.00,20241028,324.00,17,-8.40%,"NT$-13,971",停損
3583,main,20241017,492.50,20241028,449.00,11,-9.27%,"NT$-15,416",停損
6415,backup,20241104,507.00,20241113,466.50,9,-8.43%,"NT$-14,040",停損
6805,backup,20241104,857.00,20241115,785.00,11,-8.84%,"NT$-14,725",停損
3013,backup,20241025,162.50,20241118,147.00,24,-9.98%,"NT$-16,632",停損
3443,main,20241114,1230.00,20241220,1350.00,36,+9.31%,"NT$+15,487",停利
3081,main,20241127,334.00,20250109,365.50,43,-0.44%,NT$-737,到期
2404,main,20241128,413.00,20250109,473.00,42,-0.44%,NT$-736,到期
3491,main,20241223,315.50,20250203,453.00,42,-0.44%,NT$-737,到期
8299,main,20250113,471.00,20250224,535.00,42,-0.44%,NT$-737,到期
2383,main,20250113,590.00,20250224,601.00,42,-0.44%,NT$-737,到期
6643,main,20250303,763.00,20250307,707.00,4,-7.78%,"NT$-12,962",停損
4763,main,20250313,1065.00,20250314,959.00,1,-10.40%,"NT$-17,296",停損
3592,main,20250210,392.50,20250324,367.00,42,-6.94%,"NT$-11,565",到期
6643,main,20250310,715.00,20250328,646.00,18,-10.09%,"NT$-16,766",停損
3563,main,20250325,547.00,20250331,470.50,6,-14.43%,"NT$-24,026",停損
