股票,引擎,進場日期,進場價格,出場日期,出場價格,日曆天數,收益率%,收益金額,出場原因
3443,main,20221208,763.00,20221226,698.00,18,-8.96%,"NT$-11,161",停損
6643,backup,20221223,504.00,20221230,457.00,7,-9.77%,"NT$-12,177",停損
3693,backup,20221230,114.00,20230105,105.50,6,-7.90%,"NT$-9,865",停損
6472,main,20221208,387.50,20230214,477.00,68,+22.65%,"NT$+28,307",停利
2731,backup,20221223,102.50,20230222,126.00,61,+22.48%,"NT$+28,087",停利
6491,backup,20230109,425.50,20230410,413.50,91,-3.26%,"NT$-4,073",到期
3558,backup,20230310,335.50,20230413,310.00,34,-8.04%,"NT$-10,053",停損
8478,main,20230411,525.00,20230419,453.00,8,-14.16%,"NT$-17,640",停損
6472,main,20230223,510.00,20230420,789.00,56,+54.26%,"NT$+67,622",停利
6290,backup,20230310,69.00,20230420,63.80,41,-7.98%,"NT$-9,973",停損
1752,backup,20230508,77.50,20230511,70.20,3,-9.86%,"NT$-12,323",停損
4763,main,20230421,435.00,20230529,550.00,38,+25.99%,"NT$+32,386",停利
1752,backup,20230512,69.00,20230531,64.10,19,-7.54%,"NT$-9,430",停損
3675,main,20230414,290.00,20230601,313.50,48,+7.66%,"NT$+9,567",停利
3693,backup,20230428,178.50,20230626,305.00,59,+70.43%,"NT$+87,997",停利
8046,main,20230601,298.50,20230626,275.00,25,-8.32%,"NT$-10,390",停損
5243,backup,20230609,85.50,20230627,79.00,18,-8.04%,"NT$-10,050",停損
1795,main,20230530,328.50,20230703,299.00,34,-9.42%,"NT$-11,748",停損
2748,backup,20230630,92.20,20230710,84.60,10,-8.69%,"NT$-10,850",停損
4763,main,20230720,806.00,20230801,850.00,12,+5.02%,"NT$+6,236",停利
5258,backup,20230627,106.50,20230802,123.50,36,+15.52%,"NT$+19,399",停利
3035,main,20230727,331.00,20230802,281.00,6,-15.55%,"NT$-19,430",停損
4763,main,20230802,841.00,20230810,750.00,8,-11.26%,"NT$-14,039",停損
1519,backup,20230811,211.50,20230814,192.50,3,-9.43%,"NT$-11,779",停損
3035,main,20230804,281.50,20230818,328.00,14,+16.08%,"NT$+20,076",停利
2645,backup,20230818,114.50,20230905,123.50,18,+7.42%,"NT$+9,271",停利
2645,backup,20230908,127.50,20230912,117.00,4,-8.68%,"NT$-10,836",停損
6829,backup,20230908,140.00,20230912,130.00,4,-7.59%,"NT$-9,475",停損
4572,backup,20230811,188.50,20230913,171.00,33,-9.73%,"NT$-12,154",停損
6829,backup,20230915,122.50,20230921,111.50,6,-9.42%,"NT$-11,767",停損
3653,backup,20230915,620.00,20231026,563.00,41,-9.64%,"NT$-12,026",停損
2059,main,20231019,805.00,20231030,744.00,11,-8.02%,"NT$-10,021",停損
6533,main,20231102,396.50,20231204,467.00,32,+17.34%,"NT$+21,617",停利
3592,main,20230921,364.00,20231220,391.50,90,+7.11%,"NT$+8,867",到期
8016,main,20230921,284.50,20231220,279.00,90,-2.38%,"NT$-2,965",到期
2059,main,20231031,702.00,20240104,862.00,65,+22.35%,"NT$+27,810",停利
3675,backup,20231229,268.50,20240119,247.50,21,-8.26%,"NT$-10,310",停損
3035,main,20240122,448.00,20240131,416.50,9,-7.47%,"NT$-9,321",停損
1519,main,20231221,318.50,20240227,528.00,68,+65.33%,"NT$+81,479",停利
3324,main,20231205,340.50,20240304,572.00,90,+67.55%,"NT$+84,297",到期
6515,main,20240105,789.00,20240308,731.00,63,-7.79%,"NT$-9,729",停損
6462,main,20240311,249.50,20240313,231.00,2,-7.86%,"NT$-9,816",停損
