股票,引擎,進場日期,進場價格,出場日期,出場價格,持倉天數,收益率%,收益金額,出場原因,投入資金
4919,backup,20230210,147.50,20230425,130.00,74,-12.31%,"NT$-20,505",停損,"NT$166,617"
3558,backup,20230210,254.50,20230511,269.50,90,+5.45%,"NT$+9,073",到期,"NT$166,425"
3675,backup,20230210,248.50,20230511,296.50,90,+18.87%,"NT$+31,421",到期,"NT$166,483"
8046,main,20230602,308.00,20230608,282.00,6,-8.88%,"NT$-14,797",停損,"NT$166,557"
1795,main,20230526,327.00,20230703,299.00,38,-9.01%,"NT$-14,980",停損,"NT$166,353"
2743,backup,20230609,162.50,20230712,136.50,33,-16.44%,"NT$-27,399",停損,"NT$166,637"
4551,backup,20230714,144.00,20230808,133.00,25,-8.08%,"NT$-13,460",停損,"NT$166,557"
3178,backup,20230609,95.80,20230810,88.40,62,-8.17%,"NT$-13,610",停損,"NT$166,642"
1519,backup,20230811,211.50,20230814,192.50,3,-9.43%,"NT$-15,692",停損,"NT$166,476"
6829,backup,20230901,154.00,20230905,143.00,4,-7.59%,"NT$-12,634",停損,"NT$166,557"
2645,backup,20230901,129.50,20230912,117.00,11,-10.10%,"NT$-16,823",停損,"NT$166,645"
2368,backup,20230908,208.50,20230918,193.00,10,-7.88%,"NT$-13,124",停損,"NT$166,620"
3592,main,20230922,368.00,20231221,393.00,90,+6.35%,"NT$+10,579",到期,"NT$166,573"
8016,main,20230922,285.00,20231221,276.00,90,-3.60%,"NT$-5,991",到期,"NT$166,392"
