股票,引擎,進場日期,進場價格,出場日期,出場價格,持倉天數,收益率%,收益金額,出場原因,投入資金
3443,main,20221209,794.00,20221215,784.00,6,-1.70%,"NT$-2,828",到期,"NT$166,182"
6472,main,20221209,394.50,20221215,394.00,6,-0.57%,NT$-947,到期,"NT$166,321"
2731,backup,20221223,102.50,20221229,103.00,6,+0.05%,NT$+75,到期,"NT$166,595"
6515,backup,20221223,404.00,20221229,400.00,6,-1.43%,"NT$-2,382",到期,"NT$166,281"
5284,backup,20230203,80.70,20230209,89.00,6,+9.84%,"NT$+16,402",到期,"NT$166,641"
8478,backup,20230203,336.50,20230209,341.50,6,+1.04%,"NT$+1,737",到期,"NT$166,468"
3558,backup,20230210,254.50,20230216,282.50,6,+10.56%,"NT$+17,574",到期,"NT$166,425"
3675,backup,20230210,248.50,20230216,279.00,6,+11.83%,"NT$+19,697",到期,"NT$166,483"
4919,backup,20230210,147.50,20230216,149.00,6,+0.57%,NT$+957,到期,"NT$166,617"
6719,main,20230324,328.50,20230330,315.00,6,-4.55%,"NT$-7,577",到期,"NT$166,458"
3680,main,20230331,374.00,20230406,360.00,6,-4.19%,"NT$-6,961",到期,"NT$166,293"
4763,main,20230421,435.00,20230427,428.00,6,-2.05%,"NT$-3,414",到期,"NT$166,407"
1752,backup,20230428,80.60,20230504,80.90,6,-0.07%,NT$-117,到期,"NT$166,595"
3693,backup,20230428,178.50,20230504,188.00,6,+4.88%,"NT$+8,129",到期,"NT$166,599"
8155,backup,20230428,156.00,20230504,153.50,6,-2.05%,"NT$-3,406",到期,"NT$166,533"
1795,main,20230526,327.00,20230601,320.00,6,-2.58%,"NT$-4,297",到期,"NT$166,353"
8046,main,20230602,308.00,20230608,282.00,6,-8.88%,"NT$-14,797",停損,"NT$166,557"
2743,backup,20230609,162.50,20230615,162.00,6,-0.75%,"NT$-1,250",到期,"NT$166,637"
3178,backup,20230609,95.80,20230615,103.50,6,+7.60%,"NT$+12,657",到期,"NT$166,642"
3583,backup,20230609,150.00,20230615,158.00,6,+4.89%,"NT$+8,147",到期,"NT$166,587"
4747,backup,20230616,88.70,20230626,110.50,10,+24.13%,"NT$+40,218",到期,"NT$166,638"
