window,quintile,count,mean_return,median_return,std_dev,win_rate,source,stock_code,start_date,consecutive_weeks,weeks_forward,start_price,forward_price,return_pct,event_date,ratio_before,ratio_after,ratio_change,base_price,return_-4w,return_-3w,return_-2w,return_-1w,return_+1w,return_+2w,return_+3w,return_+4w
1w,Q1(最低),21079.0,0.0014348167172446,-0.0011494252873562,0.0623839566768474,0.468618055885004,Agent-A,,,,,,,,,,,,,,,,,,,,
1w,Q2,21079.0,-0.0006344998120934,0.0,0.0536309352864517,0.4680013283362588,Agent-A,,,,,,,,,,,,,,,,,,,,
1w,Q3,21077.0,-0.0090923753632774,0.0,0.1091051687710239,0.4508231721782037,Agent-A,,,,,,,,,,,,,,,,,,,,
1w,Q4,21078.0,0.0009553723869379,0.0,0.0492527667516791,0.4674067748363222,Agent-A,,,,,,,,,,,,,,,,,,,,
1w,Q5(最高),21079.0,0.0021546371239471,-0.0015797788309636,0.0675392706083825,0.4665306703354049,Agent-A,,,,,,,,,,,,,,,,,,,,
2w,Q1(最低),21079.0,0.0046813589273453,-0.0011098779134294,0.0813096331085098,0.479481948859054,Agent-A,,,,,,,,,,,,,,,,,,,,
2w,Q2,21079.0,0.0020408434439965,0.0,0.0663657227564689,0.4760187864699464,Agent-A,,,,,,,,,,,,,,,,,,,,
2w,Q3,21077.0,-0.0074780186625425,-0.0008620689655172,0.1175382732560172,0.4599326279831096,Agent-A,,,,,,,,,,,,,,,,,,,,
2w,Q4,21078.0,0.0035220195579472,0.0,0.0714457324193629,0.484486194136066,Agent-A,,,,,,,,,,,,,,,,,,,,
2w,Q5(最高),21079.0,0.0055147697692442,-0.0014534883720929,0.0942406641126656,0.4773945633094549,Agent-A,,,,,,,,,,,,,,,,,,,,
4w,Q1(最低),20804.0,0.0087660374594669,-0.0033389074693422,0.1155089520103665,0.4737069794270332,Agent-A,,,,,,,,,,,,,,,,,,,,
4w,Q2,20844.0,0.0051339176027952,0.0,0.0954551855944216,0.4828247937056227,Agent-A,,,,,,,,,,,,,,,,,,,,
4w,Q3,20802.0,-0.0047076015441957,-0.0018726591760299,0.1361428982871363,0.4618786655129314,Agent-A,,,,,,,,,,,,,,,,,,,,
4w,Q4,20799.0,0.0079915545340612,0.0,0.0971562875004573,0.4896389249483148,Agent-A,,,,,,,,,,,,,,,,,,,,
4w,Q5(最高),20827.0,0.0099662096776624,-0.0044444444444444,0.1313820522695883,0.4664618043885341,Agent-A,,,,,,,,,,,,,,,,,,,,
8w,Q1(最低),20316.0,0.0177886895892809,-0.0055996279108659,0.1702190618357851,0.4715002953337271,Agent-A,,,,,,,,,,,,,,,,,,,,
8w,Q2,20358.0,0.0126236670258793,0.0,0.137970399241212,0.4912073877591119,Agent-A,,,,,,,,,,,,,,,,,,,,
8w,Q3,20228.0,0.0039481774999333,-0.003125,0.1757637635943078,0.4673225232351196,Agent-A,,,,,,,,,,,,,,,,,,,,
8w,Q4,20283.0,0.0168697007143825,0.0,0.1416707663410177,0.4949958092984272,Agent-A,,,,,,,,,,,,,,,,,,,,
8w,Q5(最高),20266.0,0.0207312610612388,-0.0058780340329964,0.1813549966864446,0.470097700582256,Agent-A,,,,,,,,,,,,,,,,,,,,
