date,value,n_positions,cash
20170103,500000.0,0,500000.0
20170104,500000.0,0,500000.0
20170105,500000.0,0,500000.0
20170106,500000.0,0,500000.0
20170109,500000.0,0,500000.0
20170110,500000.0,0,500000.0
20170111,500000.0,0,500000.0
20170112,500000.0,0,500000.0
20170113,500000.0,0,500000.0
20170116,500000.0,0,500000.0
20170117,500000.0,0,500000.0
20170118,500000.0,0,500000.0
20170119,500000.0,0,500000.0
20170120,500000.0,0,500000.0
20170123,500000.0,0,500000.0
20170124,500000.0,0,500000.0
20171201,500000.0,0,500000.0
20171204,500000.0,0,500000.0
20171205,500000.0,0,500000.0
20171206,500000.0,0,500000.0
20171207,500000.0,0,500000.0
20171208,500000.0,0,500000.0
20171211,500000.0,0,500000.0
20171212,500000.0,0,500000.0
20171213,500000.0,0,500000.0
20171214,500000.0,0,500000.0
20171215,500000.0,0,500000.0
20171218,500000.0,0,500000.0
20171219,500000.0,0,500000.0
20171220,500000.0,0,500000.0
20171221,500000.0,0,500000.0
20171222,500000.0,0,500000.0
20171225,500000.0,0,500000.0
20171226,500000.0,0,500000.0
20171227,500000.0,0,500000.0
20171228,500000.0,0,500000.0
20171229,500000.0,0,500000.0
20250102,500000.0,0,500000.0
20250103,500000.0,0,500000.0
20250106,500000.0,0,500000.0
20250107,500000.0,0,500000.0
20250109,500000.0,0,500000.0
20250110,500000.0,0,500000.0
20250113,500000.0,0,500000.0
20250114,500000.0,0,500000.0
20250115,500000.0,0,500000.0
20250116,500000.0,0,500000.0
20250117,500000.0,0,500000.0
20250120,500000.0,0,500000.0
20250121,500000.0,0,500000.0
20250122,500000.0,0,500000.0
20250203,500000.0,0,500000.0
20250204,500000.0,0,500000.0
20250205,500000.0,0,500000.0
20250206,500000.0,0,500000.0
20250207,500000.0,0,500000.0
20250210,500000.0,0,500000.0
20250211,500000.0,0,500000.0
20250212,500000.0,0,500000.0
20250213,500000.0,0,500000.0
20250214,500000.0,0,500000.0
20250217,500000.0,0,500000.0
20250218,500000.0,0,500000.0
20250219,500000.0,0,500000.0
20250220,500000.0,0,500000.0
20250221,500000.0,0,500000.0
20250224,500000.0,0,500000.0
20250225,500000.0,0,500000.0
20250226,500000.0,0,500000.0
20250227,500000.0,0,500000.0
20250303,500000.0,0,500000.0
20250304,500000.0,0,500000.0
20250305,500000.0,0,500000.0
20250306,500000.0,0,500000.0
20250307,500000.0,0,500000.0
20250310,500000.0,0,500000.0
20250311,500000.0,0,500000.0
20250312,500000.0,0,500000.0
20250313,500000.0,0,500000.0
20250314,500000.0,0,500000.0
20250317,500000.0,0,500000.0
20250318,500000.0,0,500000.0
20250319,500000.0,0,500000.0
20250320,500000.0,0,500000.0
20250321,500000.0,0,500000.0
20250324,500000.0,0,500000.0
20250325,500000.0,0,500000.0
20250326,500000.0,0,500000.0
20250327,500000.0,0,500000.0
20250328,500000.0,0,500000.0
20250331,500000.0,0,500000.0
20250401,500000.0,0,500000.0
20250402,500000.0,0,500000.0
20250407,500000.0,0,500000.0
20250408,500000.0,0,500000.0
20250409,500000.0,0,500000.0
20250410,500000.0,0,500000.0
20250411,500000.0,0,500000.0
20250414,500000.0,0,500000.0
20250415,500000.0,0,500000.0
20250416,500000.0,0,500000.0
20250417,500000.0,0,500000.0
20250418,500000.0,0,500000.0
20250421,500000.0,0,500000.0
20250422,500000.0,0,500000.0
20250423,500000.0,0,500000.0
20250424,500000.0,0,500000.0
20250425,500000.0,0,500000.0
20250428,500000.0,0,500000.0
20250429,500000.0,0,500000.0
20250430,500000.0,0,500000.0
20250502,500000.0,0,500000.0
20250505,499822.78414999996,1,375460.78414999996
20250506,499633.78414999996,1,375460.78414999996
20250507,498877.78414999996,1,375460.78414999996
20250508,501712.78414999996,1,375460.78414999996
20250509,502090.78414999996,1,375460.78414999996
20250512,507949.78414999996,1,375460.78414999996
20250513,502468.78414999996,1,375460.78414999996
20250514,503035.78414999996,1,375460.78414999996
20250515,504169.78414999996,1,375460.78414999996
20250516,505303.78414999996,1,375460.78414999996
20250519,500022.73039999994,2,250332.73039999994
20250520,502353.73039999994,2,250332.73039999994
20250521,506574.73039999994,2,250332.73039999994
20250522,506679.73039999994,2,250332.73039999994
20250523,510774.73039999994,2,250332.73039999994
20250526,519090.73039999994,2,250332.73039999994
20250527,518817.73039999994,2,250332.73039999994
20250528,521211.73039999994,2,250332.73039999994
20250529,530787.7304,2,250332.73039999994
20250602,526451.6453,3,125182.64529999995
20250603,534359.6453,3,125182.64529999995
20250604,543858.6453,3,125182.64529999995
20250605,545678.6453,3,125182.64529999995
20250606,548554.6453,3,125182.64529999995
20250609,551387.4893,4,685.4892999999429
