stock_code,max_gain_pct,days_to_peak,ratio_change,accumulation_weeks
3491,151.46,66,1.99,3
7610,148.67,62,2.48,3
5475,132.76,61,1.17,3
6588,130.23,45,2.77,3
2313,128.24,60,1.82,3
3081,124.67,52,0.84,4
3234,115.61,66,1.75,3
2489,114.53,31,7.87,3
6716,108.94,66,0.07,3
2337,98.97,52,13.58,5
6861,98.41,31,0.04,3
6770,91.76,61,5.37,3
8289,89.02,52,1.13,5
6830,79.14,66,0.34,3
6510,74.29,33,2.8,4
2408,72.75,35,1.68,3
6202,69.04,60,0.15,3
6217,68.3,38,10.36,3
5340,67.89,59,1.77,4
5347,65.99,33,0.77,3
1471,65.91,25,0.52,4
5291,63.06,24,0.92,3
4991,61.39,66,11.63,3
1528,58.1,25,2.13,3
2303,56.47,25,1.15,4
2431,54.15,25,0.25,3
7750,52.84,55,1.36,4
2338,52.39,24,1.21,4
3221,48.91,59,0.54,3
4540,48.86,53,0.21,3
7728,47.53,19,7.03,3
3028,46.51,39,0.66,3
8046,46.44,20,6.95,4
4958,46.37,60,0.25,3
6220,46.14,52,1.52,5
8299,46.01,21,1.5,3
7744,45.73,24,1.74,8
1503,45.56,26,0.4,4
1514,45.26,21,0.82,4
3535,44.48,45,8.41,5
3105,44.14,27,4.57,4
3260,43.3,19,8.95,4
6657,42.75,25,2.33,4
6152,42.2,45,0.71,4
6021,42.05,62,0.17,3
2460,40.1,18,0.99,3
6494,39.46,52,1.32,5
8933,38.82,6,0.29,3
3054,38.31,45,0.43,6
2515,38.11,46,0.36,3
