window,quintile,count,mean_return,median_return,std_dev,win_rate
1w,Q1(最低),21079,0.0014348167172446953,-0.0011494252873562566,0.06238395667684743,0.46861805588500405
1w,Q2,21079,-0.0006344998120934915,0.0,0.053630935286451735,0.46800132833625885
1w,Q3,21077,-0.009092375363277406,0.0,0.10910516877102393,0.4508231721782037
1w,Q4,21078,0.0009553723869379726,0.0,0.04925276675167914,0.46740677483632226
1w,Q5(最高),21079,0.002154637123947146,-0.001579778830963665,0.0675392706083825,0.4665306703354049
2w,Q1(最低),21079,0.004681358927345334,-0.0011098779134294597,0.08130963310850982,0.47948194885905404
2w,Q2,21079,0.0020408434439965514,0.0,0.06636572275646893,0.4760187864699464
2w,Q3,21077,-0.007478018662542548,-0.000862068965517223,0.11753827325601729,0.4599326279831096
2w,Q4,21078,0.003522019557947282,0.0,0.0714457324193629,0.48448619413606603
2w,Q5(最高),21079,0.005514769769244235,-0.0014534883720929406,0.09424066411266567,0.4773945633094549
4w,Q1(最低),20804,0.008766037459466995,-0.0033389074693422754,0.11550895201036657,0.47370697942703327
4w,Q2,20844,0.005133917602795204,0.0,0.09545518559442166,0.4828247937056227
4w,Q3,20802,-0.004707601544195755,-0.0018726591760299892,0.1361428982871363,0.46187866551293144
4w,Q4,20799,0.007991554534061222,0.0,0.09715628750045732,0.48963892494831485
4w,Q5(最高),20827,0.009966209677662418,-0.0044444444444444444,0.13138205226958835,0.46646180438853413
8w,Q1(最低),20316,0.01778868958928095,-0.0055996279108659185,0.17021906183578517,0.4715002953337271
8w,Q2,20358,0.012623667025879384,0.0,0.137970399241212,0.4912073877591119
8w,Q3,20228,0.003948177499933369,-0.0031250000000000444,0.17576376359430784,0.46732252323511964
8w,Q4,20283,0.01686970071438255,0.0,0.14167076634101777,0.49499580929842724
8w,Q5(最高),20266,0.02073126106123888,-0.005878034032996438,0.1813549966864446,0.470097700582256
13w,Q1(最低),19745,0.028844906129522636,-0.009345794392523364,0.22824941108926314,0.4667510762218283
13w,Q2,19767,0.021652922978826934,-0.0012919896640827973,0.18068425876730704,0.48707441695755554
13w,Q3,19454,0.013943361344285223,-0.004429684280752765,0.2225154079011816,0.4657653952914568
13w,Q4,19547,0.027116409461819813,0.0,0.1871922962128641,0.49634214969048956
13w,Q5(最高),19670,0.03506970211407499,-0.006920415224913495,0.23842872453980446,0.47452974072191156
