股票,引擎,進場日期,進場價格,出場日期,出場價格,日曆天數,收益率%,收益金額,出場原因
1342,backup_v3,20221221,134.50,20221227,122.50,6,-9.36%,"NT$-15,602",停損
3443,main,20221207,742.00,20221228,636.00,21,-14.73%,"NT$-24,514",停損
6472,main,20221207,400.00,20230118,402.00,42,+0.06%,NT$+96,到期
3587,backup_v3,20221228,158.50,20230208,179.00,42,+12.49%,"NT$+20,818",到期
2207,backup_v3,20230208,642.00,20230316,595.00,36,-7.76%,"NT$-12,927",停損
1605,backup_v3,20230208,52.70,20230322,51.70,42,-2.34%,"NT$-3,900",到期
6719,main,20230322,332.00,20230328,307.50,6,-7.82%,"NT$-13,029",停損
1752,backup_v3,20230426,77.70,20230511,70.20,15,-10.10%,"NT$-16,818",停損
1720,backup_v3,20230426,68.80,20230607,78.00,42,+12.93%,"NT$+21,549",到期
1580,backup_v3,20230607,134.50,20230609,124.50,2,-7.88%,"NT$-13,125",停損
8046,main,20230531,303.00,20230615,281.00,15,-7.70%,"NT$-12,832",停損
1533,backup_v3,20230614,61.90,20230726,58.50,42,-5.94%,"NT$-9,890",到期
1560,backup_v3,20230621,127.00,20230802,131.50,42,+3.10%,"NT$+5,166",到期
3147,backup_v3,20230809,76.00,20230824,69.30,15,-9.26%,"NT$-15,424",停損
2357,backup_v3,20230830,403.00,20230912,363.50,13,-10.24%,"NT$-17,033",停損
1210,backup_v3,20230809,55.40,20230920,54.20,42,-2.61%,"NT$-4,347",到期
2385,backup_v3,20230913,114.00,20231025,124.50,42,+8.77%,"NT$+14,604",到期
3592,main,20230920,358.50,20231101,368.00,42,+2.21%,"NT$+3,677",到期
2233,backup_v3,20231108,141.00,20231220,139.00,42,-1.86%,"NT$-3,101",到期
2347,backup_v3,20231108,68.80,20231220,68.60,42,-0.73%,"NT$-1,222",到期
2382,backup_v3,20240110,218.00,20240221,236.00,42,+7.81%,"NT$+13,016",到期
2603,backup_v3,20240110,148.00,20240221,155.00,42,+4.29%,"NT$+7,142",到期
6462,main,20240306,293.50,20240307,265.50,1,-9.98%,"NT$-16,636",停損
1216,backup_v3,20240320,76.50,20240501,76.50,42,-0.44%,NT$-737,到期
1503,backup_v3,20240320,242.50,20240501,292.00,42,+19.97%,"NT$+33,268",到期
2739,backup_v3,20240508,73.40,20240513,64.60,5,-12.43%,"NT$-20,715",停損
2545,backup_v3,20240508,60.50,20240619,56.80,42,-6.56%,"NT$-10,927",到期
6231,main,20240619,398.00,20240731,410.50,42,+2.70%,"NT$+4,495",到期
2548,backup_v3,20240731,166.50,20240805,148.00,5,-11.55%,"NT$-19,245",停損
1442,backup_v3,20240626,60.30,20240807,64.20,42,+6.03%,"NT$+10,042",到期
2597,backup_v3,20240807,205.00,20240814,154.00,7,-25.32%,"NT$-42,157",停損
4420,backup_v3,20240807,63.40,20240916,55.20,40,-13.38%,"NT$-22,293",停損
2250,backup_v3,20240814,94.40,20240925,106.50,42,+12.38%,"NT$+20,625",到期
8249,backup_v3,20240918,56.90,20241004,50.80,16,-11.16%,"NT$-18,599",停損
2049,backup_v3,20241030,236.50,20241211,252.50,42,+6.32%,"NT$+10,527",到期
2354,backup_v3,20241030,80.60,20241211,83.80,42,+3.53%,"NT$+5,877",到期
3563,main,20250312,569.00,20250327,523.00,15,-8.53%,"NT$-14,187",停損
7722,main,20250326,724.00,20250331,630.00,5,-13.43%,"NT$-22,291",停損
2468,backup_v3,20250416,63.90,20250417,58.30,1,-9.21%,"NT$-15,341",停損
2466,backup_v3,20250423,108.50,20250428,93.50,5,-14.27%,"NT$-23,765",停損
4949,backup_v3,20250430,58.30,20250505,51.20,5,-12.62%,"NT$-21,030",停損
2756,backup_v3,20250507,96.00,20250618,114.00,42,+18.31%,"NT$+30,501",到期
4749,main,20250618,657.00,20250704,596.00,16,-9.73%,"NT$-16,192",停損
5536,main,20250723,494.50,20250903,854.00,42,+72.26%,"NT$+120,228",到期
3323,backup_v3,20251001,51.80,20251007,46.40,6,-10.87%,"NT$-18,107",停損
1504,backup_v3,20251001,104.50,20251112,106.00,42,+0.99%,"NT$+1,654",到期
3528,backup_v3,20251008,74.40,20251114,68.20,37,-8.78%,"NT$-14,620",停損
