股票,引擎,進場日期,進場價格,出場日期,出場價格,日曆天數,收益率%,收益金額,出場原因
2066,backup_v3,20230308,90.00,20230316,83.50,8,-7.66%,"NT$-6,383",停損
6472,main,20230222,493.00,20230405,740.00,42,+49.66%,"NT$+41,188",到期
2388,backup_v3,20230308,87.30,20230418,80.50,41,-8.23%,"NT$-6,858",停損
1590,backup_v3,20230308,1125.00,20230419,1160.00,42,+2.67%,"NT$+2,195",到期
2474,backup_v3,20230308,187.50,20230419,182.50,42,-3.11%,"NT$-2,586",到期
2637,backup_v3,20230308,67.20,20230419,63.50,42,-5.95%,"NT$-4,956",到期
4763,main,20230419,480.00,20230421,435.00,2,-9.82%,"NT$-8,164",停損
1752,backup_v3,20230426,77.70,20230511,70.20,15,-10.10%,"NT$-8,405",停損
3675,main,20230412,299.50,20230524,348.00,42,+15.75%,"NT$+13,086",到期
1476,backup_v3,20230426,488.50,20230607,489.00,42,-0.34%,NT$-283,到期
1720,backup_v3,20230426,68.80,20230607,78.00,42,+12.93%,"NT$+10,770",到期
2201,backup_v3,20230426,79.80,20230607,89.70,42,+11.96%,"NT$+9,962",到期
2204,backup_v3,20230426,78.50,20230607,99.30,42,+26.05%,"NT$+21,711",到期
1580,backup_v3,20230607,134.50,20230609,124.50,2,-7.88%,"NT$-6,557",停損
8046,main,20230531,303.00,20230615,281.00,15,-7.70%,"NT$-6,404",停損
1519,backup_v3,20230607,155.00,20230719,194.50,42,+25.04%,"NT$+20,834",到期
2330,backup_v3,20230607,568.00,20230719,581.00,42,+1.85%,"NT$+1,533",到期
2368,backup_v3,20230607,134.50,20230719,171.50,42,+27.07%,"NT$+22,530",到期
2376,backup_v3,20230607,224.50,20230719,298.50,42,+32.52%,"NT$+27,051",到期
1533,backup_v3,20230614,61.90,20230726,58.50,42,-5.94%,"NT$-4,945",到期
1477,backup_v3,20230621,272.50,20230802,301.00,42,+10.02%,"NT$+8,337",到期
3483,backup_v3,20230809,158.00,20230811,146.50,2,-7.72%,"NT$-6,426",停損
3551,backup_v3,20230809,73.80,20230814,68.20,5,-8.03%,"NT$-6,689",停損
3147,backup_v3,20230809,76.00,20230824,69.30,15,-9.26%,"NT$-7,709",停損
2357,backup_v3,20230830,403.00,20230912,363.50,13,-10.24%,"NT$-8,516",停損
1210,backup_v3,20230809,55.40,20230920,54.20,42,-2.61%,"NT$-2,174",到期
3362,backup_v3,20230809,134.00,20230920,148.00,42,+10.01%,"NT$+8,338",到期
4766,backup_v3,20230809,182.50,20230920,217.00,42,+18.46%,"NT$+15,352",到期
2645,backup_v3,20230816,111.50,20230927,106.00,42,-5.38%,"NT$-4,477",到期
5284,backup_v3,20230816,134.00,20230927,132.00,42,-1.94%,"NT$-1,613",到期
2385,backup_v3,20230913,114.00,20231025,124.50,42,+8.77%,"NT$+7,297",到期
3592,main,20230920,358.50,20231101,368.00,42,+2.21%,"NT$+1,839",到期
2363,backup_v3,20231108,49.00,20231109,44.15,1,-10.34%,"NT$-8,616",停損
3036,backup_v3,20231108,149.50,20231110,138.50,2,-7.80%,"NT$-6,493",停損
6789,main,20231206,305.00,20231219,277.50,13,-9.46%,"NT$-7,858",停損
2233,backup_v3,20231108,141.00,20231220,139.00,42,-1.86%,"NT$-1,550",到期
2347,backup_v3,20231108,68.80,20231220,68.60,42,-0.73%,NT$-611,到期
2454,backup_v3,20231108,914.00,20231220,983.00,42,+7.11%,"NT$+5,919",到期
3532,backup_v3,20231108,156.50,20231220,184.00,42,+17.13%,"NT$+14,255",到期
