股票,引擎,進場日期,進場價格,出場日期,出場價格,日曆天數,收益率%,收益金額,出場原因
1342,backup_v3,20221221,134.50,20221227,122.50,6,-9.36%,"NT$-15,602",停損
3443,main,20221207,742.00,20221228,636.00,21,-14.73%,"NT$-24,514",停損
6472,main,20221207,400.00,20230307,497.50,90,+23.93%,"NT$+39,880",到期
2066,backup_v3,20230308,90.00,20230316,83.50,8,-7.66%,"NT$-12,773",停損
3587,backup_v3,20221228,158.50,20230328,189.50,90,+19.12%,"NT$+31,859",到期
1752,backup_v3,20230426,77.70,20230511,70.20,15,-10.10%,"NT$-16,818",停損
3680,backup_v3,20230308,313.00,20230606,348.50,90,+10.90%,"NT$+18,141",到期
1580,backup_v3,20230607,134.50,20230609,124.50,2,-7.88%,"NT$-13,125",停損
8046,main,20230531,303.00,20230615,281.00,15,-7.70%,"NT$-12,832",停損
1720,backup_v3,20230426,68.80,20230725,66.60,90,-3.64%,"NT$-6,067",到期
1533,backup_v3,20230614,61.90,20230810,56.90,57,-8.52%,"NT$-14,196",停損
2645,backup_v3,20230816,111.50,20231016,102.00,61,-8.96%,"NT$-14,931",停損
1210,backup_v3,20230809,55.40,20231020,51.20,72,-8.02%,"NT$-13,372",停損
2233,backup_v3,20231108,141.00,20240112,131.00,65,-7.53%,"NT$-12,554",停損
2347,backup_v3,20231108,68.80,20240206,71.50,90,+3.48%,"NT$+5,803",到期
6462,main,20240306,293.50,20240307,265.50,1,-9.98%,"NT$-16,636",停損
3231,backup_v3,20240131,114.50,20240430,113.50,90,-1.32%,"NT$-2,192",到期
1216,backup_v3,20240320,76.50,20240618,81.50,90,+6.09%,"NT$+10,153",到期
2545,backup_v3,20240508,60.50,20240628,55.90,51,-8.05%,"NT$-13,405",停損
2467,backup_v3,20240703,206.00,20240729,184.50,26,-10.88%,"NT$-18,112",停損
6231,main,20240619,398.00,20240805,347.50,47,-13.13%,"NT$-21,876",停損
2548,backup_v3,20240731,166.50,20240805,148.00,5,-11.55%,"NT$-19,245",停損
2597,backup_v3,20240807,205.00,20240814,154.00,7,-25.32%,"NT$-42,157",停損
4420,backup_v3,20240807,63.40,20240916,55.20,40,-13.38%,"NT$-22,293",停損
8249,backup_v3,20240918,56.90,20241004,50.80,16,-11.16%,"NT$-18,599",停損
2049,backup_v3,20241030,236.50,20250128,293.00,90,+23.45%,"NT$+39,039",到期
3563,main,20250312,569.00,20250327,523.00,15,-8.53%,"NT$-14,187",停損
2468,backup_v3,20250416,63.90,20250417,58.30,1,-9.21%,"NT$-15,341",停損
2466,backup_v3,20250423,108.50,20250428,93.50,5,-14.27%,"NT$-23,765",停損
4949,backup_v3,20250430,58.30,20250505,51.20,5,-12.62%,"NT$-21,030",停損
2756,backup_v3,20250507,96.00,20250805,118.00,90,+22.47%,"NT$+37,443",到期
1504,backup_v3,20251001,104.50,20251117,96.60,47,-8.00%,"NT$-13,332",停損
