股票,引擎,進場日期,進場價格,出場日期,出場價格,日曆天數,收益率%,收益金額,出場原因
2066,backup_v3,20230308,90.00,20230316,83.50,8,-7.66%,"NT$-6,383",停損
2388,backup_v3,20230308,87.30,20230418,80.50,41,-8.23%,"NT$-6,858",停損
4763,main,20230419,480.00,20230421,435.00,2,-9.82%,"NT$-8,164",停損
2637,backup_v3,20230308,67.20,20230425,62.00,48,-8.18%,"NT$-6,815",停損
1590,backup_v3,20230308,1125.00,20230426,1030.00,49,-8.89%,"NT$-7,309",停損
1752,backup_v3,20230426,77.70,20230511,70.20,15,-10.10%,"NT$-8,405",停損
6472,main,20230222,493.00,20230523,807.00,90,+63.25%,"NT$+52,460",到期
2474,backup_v3,20230308,187.50,20230606,188.00,90,-0.18%,NT$-146,到期
1580,backup_v3,20230607,134.50,20230609,124.50,2,-7.88%,"NT$-6,557",停損
8046,main,20230531,303.00,20230615,281.00,15,-7.70%,"NT$-6,404",停損
1476,backup_v3,20230426,488.50,20230725,549.00,90,+11.94%,"NT$+9,932",到期
1720,backup_v3,20230426,68.80,20230725,66.60,90,-3.64%,"NT$-3,032",到期
1533,backup_v3,20230614,61.90,20230810,56.90,57,-8.52%,"NT$-7,098",停損
3147,backup_v3,20230809,76.00,20230824,69.30,15,-9.26%,"NT$-7,709",停損
1519,backup_v3,20230607,155.00,20230905,289.00,90,+86.01%,"NT$+71,558",到期
2330,backup_v3,20230607,568.00,20230905,552.00,90,-3.26%,"NT$-2,707",到期
6213,backup_v3,20230906,94.30,20230911,87.00,5,-8.18%,"NT$-6,816",停損
2357,backup_v3,20230830,403.00,20230912,363.50,13,-10.24%,"NT$-8,516",停損
5340,backup_v3,20230906,72.90,20230912,67.00,6,-8.54%,"NT$-7,110",停損
3533,backup_v3,20230906,875.00,20230921,812.00,15,-7.64%,"NT$-6,362",停損
1210,backup_v3,20230809,55.40,20231020,51.20,72,-8.02%,"NT$-6,686",停損
6751,backup_v3,20230913,88.80,20231101,82.00,49,-8.10%,"NT$-6,749",停損
3362,backup_v3,20230809,134.00,20231107,141.00,90,+4.78%,"NT$+3,984",到期
2363,backup_v3,20231108,49.00,20231109,44.15,1,-10.34%,"NT$-8,616",停損
2385,backup_v3,20230913,114.00,20231212,169.00,90,+47.80%,"NT$+39,784",到期
6732,backup_v3,20230913,377.50,20231212,438.50,90,+15.72%,"NT$+13,071",到期
6789,main,20231206,305.00,20231219,277.50,13,-9.46%,"NT$-7,858",停損
