股票,引擎,進場日期,進場價格,出場日期,出場價格,日曆天數,收益率%,收益金額,出場原因,投入資金
2066,backup_v4,20230308,90.00,20230316,83.50,8,-7.66%,"NT$-12,773",停損,"NT$166,647"
6472,main,20230222,493.00,20230405,740.00,42,+49.66%,"NT$+82,621",到期,"NT$166,378"
2474,backup_v4,20230308,187.50,20230419,182.50,42,-3.11%,"NT$-5,178",到期,"NT$166,549"
4763,main,20230419,480.00,20230421,435.00,2,-9.82%,"NT$-16,328",停損,"NT$166,317"
3675,main,20230412,299.50,20230524,348.00,42,+15.75%,"NT$+26,219",到期,"NT$166,459"
2207,backup_v4,20230426,660.00,20230607,861.00,42,+30.01%,"NT$+49,987",到期,"NT$166,557"
3044,backup_v4,20230426,113.50,20230607,127.00,42,+11.45%,"NT$+19,082",到期,"NT$166,628"
1795,main,20230524,334.50,20230608,311.00,15,-7.47%,"NT$-12,433",停損,"NT$166,483"
1580,backup_v4,20230607,134.50,20230609,124.50,2,-7.88%,"NT$-13,125",停損,"NT$166,614"
2743,backup_v4,20230607,160.50,20230712,136.50,35,-15.40%,"NT$-25,636",停損,"NT$166,515"
2308,backup_v4,20230614,353.00,20230726,360.50,42,+1.68%,"NT$+2,801",到期,"NT$166,500"
2330,backup_v4,20230614,590.00,20230726,566.00,42,-4.51%,"NT$-7,515",到期,"NT$166,617"
4551,backup_v4,20230712,146.50,20230802,135.50,21,-7.95%,"NT$-13,251",停損,"NT$166,661"
2731,backup_v4,20230809,159.50,20230811,144.00,2,-10.16%,"NT$-16,927",停損,"NT$166,596"
3147,backup_v4,20230809,76.00,20230824,69.30,15,-9.26%,"NT$-15,424",停損,"NT$166,601"
1210,backup_v4,20230809,55.40,20230920,54.20,42,-2.61%,"NT$-4,347",到期,"NT$166,659"
8081,backup_v4,20230816,226.50,20230927,265.00,42,+16.56%,"NT$+27,563",到期,"NT$166,488"
1477,backup_v4,20230830,334.50,20231011,353.50,42,+5.24%,"NT$+8,720",到期,"NT$166,483"
3592,main,20230920,358.50,20231101,368.00,42,+2.21%,"NT$+3,677",到期,"NT$166,581"
6533,main,20231101,389.50,20231213,481.00,42,+23.05%,"NT$+38,389",到期,"NT$166,554"
2230,backup_v4,20231108,125.00,20231220,172.50,42,+37.56%,"NT$+62,575",到期,"NT$166,612"
2347,backup_v4,20231108,68.80,20231220,68.60,42,-0.73%,"NT$-1,222",到期,"NT$166,664"
