股票,引擎,進場日期,進場價格,出場日期,出場價格,日曆天數,收益率%,收益金額,出場原因,投入資金
3443,main,20221207,742.00,20221228,636.00,21,-14.73%,"NT$-12,257",停損,"NT$83,222"
1736,backup_v4,20221221,74.90,20221229,69.50,8,-7.65%,"NT$-6,377",停損,"NT$83,332"
2707,backup_v4,20221221,253.00,20230106,233.00,16,-8.35%,"NT$-6,937",停損,"NT$83,102"
6472,main,20221207,400.00,20230118,402.00,42,+0.06%,NT$+48,到期,"NT$83,319"
1477,backup_v4,20221221,240.00,20230131,218.00,41,-9.61%,"NT$-7,991",停損,"NT$83,158"
2338,backup_v4,20221221,85.70,20230201,91.00,42,+5.74%,"NT$+4,780",到期,"NT$83,247"
4915,backup_v4,20230111,56.70,20230222,58.10,42,+2.03%,"NT$+1,688",到期,"NT$83,297"
6585,backup_v4,20230111,54.20,20230222,66.50,42,+22.25%,"NT$+18,539",到期,"NT$83,316"
2207,backup_v4,20230208,642.00,20230316,595.00,36,-7.76%,"NT$-6,439",停損,"NT$82,936"
2066,backup_v4,20230308,90.00,20230316,83.50,8,-7.66%,"NT$-6,383",停損,"NT$83,279"
2230,backup_v4,20230208,53.50,20230322,79.00,42,+47.22%,"NT$+39,340",到期,"NT$83,311"
2303,backup_v4,20230208,50.50,20230322,53.50,42,+5.50%,"NT$+4,579",到期,"NT$83,292"
6719,main,20230322,332.00,20230328,307.50,6,-7.82%,"NT$-6,502",停損,"NT$83,118"
2474,backup_v4,20230308,187.50,20230419,182.50,42,-3.11%,"NT$-2,586",到期,"NT$83,181"
3680,main,20230329,366.00,20230421,339.00,23,-7.82%,"NT$-6,506",停損,"NT$83,200"
4763,main,20230419,480.00,20230421,435.00,2,-9.82%,"NT$-8,164",停損,"NT$83,158"
3044,backup_v4,20230426,113.50,20230607,127.00,42,+11.45%,"NT$+9,541",到期,"NT$83,314"
3310,backup_v4,20230426,66.90,20230607,78.10,42,+16.30%,"NT$+13,573",到期,"NT$83,275"
3324,backup_v4,20230426,229.00,20230607,295.00,42,+28.38%,"NT$+23,624",到期,"NT$83,245"
3587,backup_v4,20230426,182.00,20230607,231.50,42,+26.76%,"NT$+22,285",到期,"NT$83,293"
3693,backup_v4,20230426,178.50,20230607,245.50,42,+37.09%,"NT$+30,898",到期,"NT$83,300"
1580,backup_v4,20230607,134.50,20230609,124.50,2,-7.88%,"NT$-6,557",停損,"NT$83,239"
3444,backup_v4,20230607,76.90,20230612,71.50,5,-7.46%,"NT$-6,220",停損,"NT$83,324"
2408,backup_v4,20230614,76.20,20230627,70.80,13,-7.53%,"NT$-6,274",停損,"NT$83,329"
2743,backup_v4,20230607,160.50,20230712,136.50,35,-15.40%,"NT$-12,818",停損,"NT$83,257"
3008,backup_v4,20230607,2245.00,20230719,2270.00,42,+0.67%,NT$+558,到期,"NT$83,183"
3014,backup_v4,20230607,115.00,20230719,127.00,42,+9.99%,"NT$+8,320",到期,"NT$83,263"
3406,backup_v4,20230607,389.50,20230719,403.00,42,+3.02%,"NT$+2,512",到期,"NT$83,082"
2308,backup_v4,20230614,353.00,20230726,360.50,42,+1.68%,"NT$+1,397",到期,"NT$83,073"
4551,backup_v4,20230712,146.50,20230802,135.50,21,-7.95%,"NT$-6,626",停損,"NT$83,331"
3483,backup_v4,20230809,158.00,20230811,146.50,2,-7.72%,"NT$-6,426",停損,"NT$83,226"
3551,backup_v4,20230809,73.80,20230814,68.20,5,-8.03%,"NT$-6,689",停損,"NT$83,291"
1476,backup_v4,20230705,510.00,20230816,494.00,42,-3.58%,"NT$-2,980",到期,"NT$83,248"
3147,backup_v4,20230809,76.00,20230824,69.30,15,-9.26%,"NT$-7,709",停損,"NT$83,262"
4572,backup_v4,20230809,196.00,20230907,181.50,29,-7.84%,"NT$-6,525",停損,"NT$83,222"
1210,backup_v4,20230809,55.40,20230920,54.20,42,-2.61%,"NT$-2,174",到期,"NT$83,329"
2645,backup_v4,20230823,114.50,20230921,106.00,29,-7.87%,"NT$-6,548",停損,"NT$83,245"
8081,backup_v4,20230816,226.50,20230927,265.00,42,+16.56%,"NT$+13,781",到期,"NT$83,244"
5469,backup_v4,20230823,54.60,20231004,59.20,42,+7.98%,"NT$+6,652",到期,"NT$83,329"
2211,backup_v4,20230830,68.40,20231011,69.70,42,+1.46%,"NT$+1,214",到期,"NT$83,293"
2385,backup_v4,20230913,114.00,20231025,124.50,42,+8.77%,"NT$+7,297",到期,"NT$83,224"
3592,main,20230920,358.50,20231101,368.00,42,+2.21%,"NT$+1,839",到期,"NT$83,291"
4967,backup_v4,20231108,92.30,20231201,85.20,23,-8.13%,"NT$-6,775",停損,"NT$83,281"
6533,main,20231101,389.50,20231213,481.00,42,+23.05%,"NT$+19,150",到期,"NT$83,082"
6789,main,20231206,305.00,20231219,277.50,13,-9.46%,"NT$-7,858",停損,"NT$83,078"
