股票,引擎,進場日期,進場價格,出場日期,出場價格,日曆天數,收益率%,收益金額,出場原因,投入資金
3617,backup_v4,20230308,126.00,20230309,113.50,1,-10.36%,"NT$-8,630",停損,"NT$83,279"
2707,backup_v4,20230308,292.50,20230313,269.50,5,-8.31%,"NT$-6,909",停損,"NT$83,188"
2066,backup_v4,20230308,90.00,20230316,83.50,8,-7.66%,"NT$-6,383",停損,"NT$83,279"
6719,main,20230322,332.00,20230328,307.50,6,-7.82%,"NT$-6,502",停損,"NT$83,118"
3680,main,20230329,366.00,20230421,339.00,23,-7.82%,"NT$-6,506",停損,"NT$83,200"
2637,backup_v4,20230308,67.20,20230425,62.00,48,-8.18%,"NT$-6,815",停損,"NT$83,312"
6472,main,20230222,493.00,20230523,807.00,90,+63.25%,"NT$+52,460",到期,"NT$82,942"
2474,backup_v4,20230308,187.50,20230606,188.00,90,-0.18%,NT$-146,到期,"NT$83,181"
1795,main,20230524,334.50,20230608,311.00,15,-7.47%,"NT$-6,204",停損,"NT$83,074"
1580,backup_v4,20230607,134.50,20230609,124.50,2,-7.88%,"NT$-6,557",停損,"NT$83,239"
8046,main,20230531,303.00,20230615,281.00,15,-7.70%,"NT$-6,404",停損,"NT$83,140"
3675,main,20230412,299.50,20230711,293.00,90,-2.61%,"NT$-2,171",到期,"NT$83,080"
2207,backup_v4,20230426,660.00,20230725,774.00,90,+16.83%,"NT$+14,016",到期,"NT$83,279"
3044,backup_v4,20230426,113.50,20230725,150.00,90,+31.72%,"NT$+26,424",到期,"NT$83,314"
4551,backup_v4,20230712,146.50,20230802,135.50,21,-7.95%,"NT$-6,626",停損,"NT$83,331"
2731,backup_v4,20230809,159.50,20230811,144.00,2,-10.16%,"NT$-8,455",停損,"NT$83,218"
3483,backup_v4,20230809,158.00,20230811,146.50,2,-7.72%,"NT$-6,426",停損,"NT$83,226"
3147,backup_v4,20230809,76.00,20230824,69.30,15,-9.26%,"NT$-7,709",停損,"NT$83,262"
2308,backup_v4,20230614,353.00,20230912,332.50,90,-6.25%,"NT$-5,192",到期,"NT$83,073"
1560,backup_v4,20230621,127.00,20230919,139.00,90,+9.01%,"NT$+7,503",到期,"NT$83,304"
2645,backup_v4,20230823,114.50,20230921,106.00,29,-7.87%,"NT$-6,548",停損,"NT$83,245"
1210,backup_v4,20230809,55.40,20231020,51.20,72,-8.02%,"NT$-6,686",停損,"NT$83,329"
8081,backup_v4,20230816,226.50,20231114,269.00,90,+18.32%,"NT$+15,251",到期,"NT$83,244"
1477,backup_v4,20230830,334.50,20231128,373.00,90,+11.07%,"NT$+9,194",到期,"NT$83,074"
3592,main,20230920,358.50,20231219,388.00,90,+7.79%,"NT$+6,485",到期,"NT$83,291"
6789,main,20231206,305.00,20231219,277.50,13,-9.46%,"NT$-7,858",停損,"NT$83,078"
