股票,引擎,進場日期,進場價格,出場日期,出場價格,日曆天數,收益率%,收益金額,出場原因,投入資金
3443,main,20221207,742.00,20221228,636.00,21,-14.73%,"NT$-12,257",停損,"NT$83,222"
1736,backup_v4,20221221,74.90,20221229,69.50,8,-7.65%,"NT$-6,377",停損,"NT$83,332"
2707,backup_v4,20221221,253.00,20230106,233.00,16,-8.35%,"NT$-6,937",停損,"NT$83,102"
1477,backup_v4,20221221,240.00,20230131,218.00,41,-9.61%,"NT$-7,991",停損,"NT$83,158"
6472,main,20221207,400.00,20230307,497.50,90,+23.93%,"NT$+19,940",到期,"NT$83,319"
2207,backup_v4,20230208,642.00,20230316,595.00,36,-7.76%,"NT$-6,439",停損,"NT$82,936"
2066,backup_v4,20230308,90.00,20230316,83.50,8,-7.66%,"NT$-6,383",停損,"NT$83,279"
2338,backup_v4,20221221,85.70,20230321,95.40,90,+10.88%,"NT$+9,054",到期,"NT$83,247"
6719,main,20230322,332.00,20230328,307.50,6,-7.82%,"NT$-6,502",停損,"NT$83,118"
4915,backup_v4,20230111,56.70,20230411,60.70,90,+6.61%,"NT$+5,508",到期,"NT$83,297"
6585,backup_v4,20230111,54.20,20230411,65.80,90,+20.96%,"NT$+17,463",到期,"NT$83,316"
3680,main,20230329,366.00,20230421,339.00,23,-7.82%,"NT$-6,506",停損,"NT$83,200"
4763,main,20230419,480.00,20230421,435.00,2,-9.82%,"NT$-8,164",停損,"NT$83,158"
3044,backup_v4,20230426,113.50,20230725,150.00,90,+31.72%,"NT$+26,424",到期,"NT$83,314"
3310,backup_v4,20230426,66.90,20230725,87.50,90,+30.35%,"NT$+25,274",到期,"NT$83,275"
3324,backup_v4,20230426,229.00,20230725,305.00,90,+32.75%,"NT$+27,259",到期,"NT$83,245"
3587,backup_v4,20230426,182.00,20230725,243.50,90,+33.35%,"NT$+27,777",到期,"NT$83,293"
3693,backup_v4,20230426,178.50,20230725,348.00,90,+94.52%,"NT$+78,731",到期,"NT$83,300"
3483,backup_v4,20230809,158.00,20230811,146.50,2,-7.72%,"NT$-6,426",停損,"NT$83,226"
3551,backup_v4,20230809,73.80,20230814,68.20,5,-8.03%,"NT$-6,689",停損,"NT$83,291"
3147,backup_v4,20230809,76.00,20230824,69.30,15,-9.26%,"NT$-7,709",停損,"NT$83,262"
4572,backup_v4,20230809,196.00,20230907,181.50,29,-7.84%,"NT$-6,525",停損,"NT$83,222"
2645,backup_v4,20230823,114.50,20230921,106.00,29,-7.87%,"NT$-6,548",停損,"NT$83,245"
1210,backup_v4,20230809,55.40,20231020,51.20,72,-8.02%,"NT$-6,686",停損,"NT$83,329"
5508,backup_v4,20230809,72.50,20231107,85.60,90,+17.63%,"NT$+14,679",到期,"NT$83,276"
8081,backup_v4,20230816,226.50,20231114,269.00,90,+18.32%,"NT$+15,251",到期,"NT$83,244"
2211,backup_v4,20230830,68.40,20231128,80.90,90,+17.83%,"NT$+14,853",到期,"NT$83,293"
2385,backup_v4,20230913,114.00,20231212,169.00,90,+47.80%,"NT$+39,784",到期,"NT$83,224"
6789,main,20231206,305.00,20231219,277.50,13,-9.46%,"NT$-7,858",停損,"NT$83,078"
6533,main,20231101,389.50,20240130,492.50,90,+26.00%,"NT$+21,603",到期,"NT$83,082"
2347,backup_v4,20231108,68.80,20240206,71.50,90,+3.48%,"NT$+2,900",到期,"NT$83,298"
2388,backup_v4,20231108,129.00,20240206,137.00,90,+5.76%,"NT$+4,799",到期,"NT$83,324"
3661,main,20231115,3105.00,20240213,4105.00,90,+31.76%,"NT$+25,679",到期,"NT$80,845"
2732,backup_v4,20240131,130.50,20240215,121.00,15,-7.72%,"NT$-6,428",停損,"NT$83,247"
6462,main,20240306,293.50,20240307,265.50,1,-9.98%,"NT$-8,303",停損,"NT$83,179"
6515,main,20240103,800.00,20240308,731.00,65,-9.07%,"NT$-7,555",停損,"NT$83,319"
1519,main,20231220,329.00,20240319,660.00,90,+100.17%,"NT$+83,163",到期,"NT$83,026"
6122,backup_v4,20240320,69.00,20240411,63.30,22,-8.70%,"NT$-7,253",停損,"NT$83,333"
6409,backup_v4,20240320,1615.00,20240422,1465.00,33,-9.73%,"NT$-8,026",停損,"NT$82,482"
2404,main,20240424,412.50,20240508,383.00,14,-7.59%,"NT$-6,305",停損,"NT$83,031"
1216,backup_v4,20240320,76.50,20240618,81.50,90,+6.09%,"NT$+5,074",到期,"NT$83,274"
2317,backup_v4,20240320,138.00,20240618,198.50,90,+43.40%,"NT$+36,165",到期,"NT$83,333"
3030,backup_v4,20240320,80.50,20240618,172.50,90,+113.84%,"NT$+94,803",到期,"NT$83,275"
4584,backup_v4,20240320,62.10,20240618,66.50,90,+6.64%,"NT$+5,536",到期,"NT$83,333"
2545,backup_v4,20240508,60.50,20240628,55.90,51,-8.05%,"NT$-6,703",停損,"NT$83,306"
