engine,stock,buy_date,entry_price,exit_date,exit_price,weeks_held,gross_return_pct,net_return_pct,pnl_twd,exit_reason
backup,3444,20221207,76.3,20221220,70.95899999999999,1,-12.844036697247704,-7.4425,-6199,stop_loss
backup,6205,20230222,85.5,20230406,79.515,6,-7.836257309941525,-7.4425,-6200,stop_loss
backup,8478,20230412,513.0,20230419,477.09,1,-11.695906432748536,-7.4425,-6194,stop_loss
main,6719,20230322,309.5,20230425,316.5,4,2.2617124394184165,1.8192124394184166,1511,trailing
backup,6517,20230419,150.5,20230503,139.965,2,-11.627906976744185,-7.4425,-6192,stop_loss
backup,1752,20230504,80.6,20230511,74.95799999999998,1,-12.903225806451605,-7.4425,-6199,stop_loss
backup,2743,20230607,142.5,20230612,152.0,1,6.666666666666667,6.224166666666667,5178,trailing
backup,3693,20230504,178.5,20230615,265.5,6,48.739495798319325,48.29699579831932,40231,hold_period
backup,3617,20230524,176.5,20230619,214.0,3,21.246458923512748,20.80395892351275,17319,trailing
backup,8069,20230524,198.0,20230626,207.5,4,4.797979797979798,4.355479797979798,3627,trailing
backup,3178,20230614,95.8,20230726,91.8,6,-4.175365344467641,-4.617865344467641,-3845,hold_period
backup,6679,20230621,308.5,20230802,357.5,6,15.883306320907616,15.440806320907615,12832,hold_period
backup,4551,20230712,146.5,20230802,136.245,3,-7.508532423208192,-7.4425,-6202,stop_loss
backup,4572,20230823,191.0,20230911,177.63,2,-7.591623036649215,-7.4425,-6192,stop_loss
backup,5321,20231004,115.0,20231006,106.94999999999999,1,-9.565217391304348,-7.4425,-6197,stop_loss
backup,8227,20231101,192.5,20231127,252.0,3,30.909090909090907,30.466590909090908,25372,trailing
backup,6276,20231206,80.6,20231228,90.5,3,12.282878411910678,11.840378411910677,9863,trailing
backup,6856,20231122,70.8,20240103,66.8,6,-5.649717514124294,-6.092217514124294,-5075,hold_period
backup,4919,20231206,145.5,20240109,135.315,4,-7.216494845360824,-7.4425,-6192,stop_loss
backup,6789,20231213,287.5,20240110,267.375,4,-8.17391304347826,-7.4425,-6193,stop_loss
backup,3653,20231220,694.0,20240131,750.0,6,8.069164265129682,7.6266642651296825,6308,hold_period
backup,3035,20240131,416.5,20240221,387.34499999999997,3,-8.763505402160865,-7.4425,-6177,stop_loss
backup,3036,20240216,163.0,20240313,151.59,3,-8.282208588957054,-7.4425,-6196,stop_loss
backup,1319,20240219,85.0,20240401,123.0,6,44.70588235294118,44.26338235294118,36849,hold_period
backup,6585,20240221,152.0,20240403,179.0,6,17.763157894736842,17.320657894736843,14422,hold_period
backup,3406,20240410,474.0,20240419,440.82,1,-10.548523206751055,-7.4425,-6182,stop_loss
backup,6472,20240417,754.0,20240529,737.0,6,-2.2546419098143233,-2.6971419098143232,-2240,hold_period
backup,3675,20240424,293.5,20240605,323.0,6,10.051107325383304,9.608607325383304,7992,hold_period
backup,1736,20240522,92.3,20240612,85.839,3,-7.042253521126761,-7.4425,-6198,stop_loss
backup,3466,20240522,61.0,20240618,88.8,3,45.57377049180327,45.13127049180327,37605,trailing
backup,6117,20240605,119.0,20240619,126.0,2,5.88235294117647,5.43985294117647,4531,trailing
main,3413,20240515,304.5,20240626,313.0,6,2.7914614121510675,2.3489614121510676,1955,hold_period
backup,5347,20240522,98.2,20240703,131.0,6,33.401221995926676,32.95872199592667,27453,hold_period
backup,6753,20240703,150.0,20240705,139.5,1,-7.666666666666666,-7.4425,-6194,stop_loss
backup,3044,20240529,211.0,20240710,213.5,6,1.1848341232227488,0.7423341232227488,618,hold_period
main,6231,20240626,405.5,20240712,450.0,2,10.974106041923552,10.53160604192355,8767,trailing
backup,6895,20240705,238.0,20240719,251.5,2,5.6722689075630255,5.229768907563026,4350,trailing
backup,3680,20240717,521.0,20240719,484.53,1,-9.500959692898272,-7.4425,-6174,stop_loss
backup,6863,20240612,212.5,20240722,222.0,5,4.470588235294118,4.028088235294118,3352,trailing
