engine,stock,buy_date,exit_date,entry_price,exit_price,days_held,gross_return_pct,net_return_pct,pnl_twd,exit_reason
main,4162,20221207,20221215,133.0,121.5,8,-8.646616541353383,-7.4425,-6195,stop_loss
main,1795,20221207,20221220,244.0,225.5,13,-7.581967213114754,-7.4425,-6201,stop_loss
main,2338,20221207,20221220,92.6,85.8,13,-7.343412526997837,-7.4425,-6198,stop_loss
backup,3444,20221207,20221220,76.3,66.5,13,-12.844036697247704,-7.4425,-6199,stop_loss
main,3443,20221207,20221228,742.0,636.0,21,-14.285714285714285,-7.4425,-6194,stop_loss
main,4746,20221220,20230104,65.7,69.0,15,5.022831050228306,4.580331050228306,3815,trailing
backup,4763,20221207,20230130,165.5,283.0,54,70.99697885196375,70.55447885196375,58701,hold_period
main,2707,20221220,20230131,250.5,251.0,42,0.19960079840319359,-0.24289920159680642,-202,hold_period
main,6223,20221220,20230131,113.0,124.0,42,9.734513274336283,9.292013274336282,7739,hold_period
main,1513,20221228,20230208,67.0,79.2,42,18.2089552238806,17.7664552238806,14805,hold_period
main,6180,20230201,20230214,73.8,82.8,13,12.195121951219514,11.752621951219513,9789,trailing
backup,8478,20230201,20230314,337.0,357.5,41,6.083086053412463,5.640586053412463,4683,trailing
backup,5284,20230201,20230315,77.5,94.6,42,22.06451612903225,21.62201612903225,18006,hold_period
main,8358,20230201,20230315,59.9,60.0,42,0.16694490818030286,-0.2755550918196972,-230,hold_period
main,2453,20230315,20230316,59.3,54.4,1,-8.263069139966271,-7.4425,-6201,stop_loss
main,2303,20230208,20230322,50.1,53.5,42,6.78642714570858,6.34392714570858,5284,hold_period
main,3006,20230208,20230322,80.4,79.8,42,-0.7462686567164285,-1.1887686567164284,-991,hold_period
main,3035,20230214,20230328,192.0,195.5,42,1.8229166666666667,1.3804166666666666,1149,hold_period
main,2388,20230315,20230329,89.6,83.3,14,-7.031249999999997,-7.4425,-6197,stop_loss
main,3362,20230329,20230420,103.5,96.0,22,-7.246376811594203,-7.4425,-6202,stop_loss
main,6719,20230322,20230425,309.5,316.5,34,2.2617124394184165,1.8192124394184166,1511,trailing
main,3680,20230329,20230425,360.0,331.5,27,-7.916666666666666,-7.4425,-6198,stop_loss
main,2457,20230315,20230426,56.6,71.9,42,27.03180212014135,26.58930212014135,22154,hold_period
main,5439,20230329,20230510,65.7,73.4,42,11.719939117199395,11.277439117199394,9394,hold_period
main,1760,20230425,20230511,160.0,147.5,16,-7.8125,-7.4425,-6201,stop_loss
main,4967,20230426,20230511,68.6,59.6,15,-13.119533527696783,-7.4425,-6202,stop_loss
main,4977,20230426,20230511,108.0,98.5,15,-8.796296296296296,-7.4425,-6198,stop_loss
backup,1752,20230420,20230515,73.0,67.1,25,-8.082191780821926,-7.4425,-6197,stop_loss
backup,2368,20230410,20230522,97.3,113.5,42,16.64953751284687,16.20703751284687,13502,hold_period
main,3224,20230511,20230609,53.6,49.6,29,-7.462686567164178,-7.4425,-6200,stop_loss
main,2204,20230510,20230621,79.0,92.7,42,17.341772151898738,16.89927215189874,14078,hold_period
main,6438,20230511,20230626,113.5,111.0,46,-2.2026431718061676,-2.6451431718061675,-2204,hold_period
main,2421,20230517,20230628,65.0,89.3,42,37.38461538461538,36.94211538461538,30780,hold_period
main,3037,20230517,20230628,160.0,173.0,42,8.125,7.6825,6401,hold_period
main,8046,20230522,20230703,281.5,270.0,42,-4.085257548845471,-4.527757548845471,-3765,hold_period
main,2634,20230703,20230713,61.4,56.1,10,-8.63192182410423,-7.4425,-6201,stop_loss
main,2455,20230621,20230717,123.0,112.5,26,-8.536585365853659,-7.4425,-6197,stop_loss
main,1514,20230609,20230719,57.1,58.5,40,2.451838879159367,2.009338879159367,1674,trailing
main,3704,20230713,20230720,54.1,59.1,7,9.242144177449168,8.799644177449167,7332,trailing
backup,2059,20230628,20230731,557.0,907.0,33,62.83662477558348,62.39412477558348,51857,trailing
main,1560,20230628,20230801,124.0,136.0,34,9.67741935483871,9.23491935483871,7695,trailing
main,6274,20230726,20230801,116.5,122.5,6,5.150214592274678,4.707714592274678,3922,trailing
backup,4551,20230717,20230802,146.5,135.5,16,-7.508532423208192,-7.4425,-6202,stop_loss
