交易序號,交易引擎,股票代碼,進場日期,進場價格,出場日期,出場價格,持有週數,毛利率%,淨利率%,獲利(元),出場方式
1,MAIN,3443,2022-12-09,794.0,2022-12-23,738.42,2,-8.564231738035264,-7.4425,-6154,Stop Loss
2,MAIN,6472,2022-12-09,394.5,2023-02-03,411.5,8,4.309252217997465,3.8667522179974654,3208,Hold Period
3,BACKUP,1795,2022-12-16,234.5,2023-02-03,249.0,7,6.183368869936034,5.740868869936034,4772,Hold Period
4,BACKUP,4763,2022-12-16,176.5,2023-02-03,260.5,7,47.59206798866856,47.14956798866856,39252,Hold Period
5,BACKUP,2731,2022-12-23,102.5,2023-02-03,107.5,6,4.878048780487805,4.435548780487805,3692,Hold Period
6,BACKUP,6515,2022-12-23,404.0,2023-02-03,459.0,6,13.613861386138614,13.171361386138614,10924,Hold Period
7,BACKUP,2482,2023-02-17,51.0,2023-03-03,47.43,2,-7.6470588235294095,-7.4425,-6200,Stop Loss
8,BACKUP,2230,2023-02-03,52.5,2023-03-17,78.9,6,50.2857142857143,49.843214285714296,41535,Hold Period
9,BACKUP,5284,2023-02-03,80.7,2023-03-17,95.9,6,18.835192069392814,18.39269206939282,15325,Hold Period
10,BACKUP,3558,2023-02-10,254.5,2023-03-24,357.0,6,40.27504911591356,39.83254911591356,33095,Hold Period
11,BACKUP,3675,2023-02-10,248.5,2023-03-24,304.0,6,22.334004024144868,21.89150402414487,18196,Hold Period
12,BACKUP,4919,2023-02-17,144.5,2023-03-31,149.5,6,3.460207612456748,3.017707612456748,2511,Hold Period
13,MAIN,6472,2023-03-03,521.0,2023-04-14,773.0,6,48.368522072936656,47.926022072936654,39758,Hold Period
14,BACKUP,2388,2023-03-17,89.8,2023-04-14,83.514,4,-8.463251670378613,-7.4425,-6198,Stop Loss
15,MAIN,3680,2023-03-31,374.0,2023-04-21,347.82,3,-9.358288770053475,-7.4425,-6188,Stop Loss
16,BACKUP,8478,2023-03-31,515.0,2023-04-21,478.95,3,-15.145631067961164,-7.4425,-6180,Stop Loss
17,MAIN,4763,2023-04-14,471.0,2023-04-21,438.03,1,-7.643312101910828,-7.4425,-6178,Stop Loss
18,BACKUP,3693,2023-04-21,196.5,2023-04-28,182.745,1,-9.16030534351145,-7.4425,-6195,Stop Loss
19,MAIN,6719,2023-03-24,328.5,2023-05-05,308.5,6,-6.0882800608828,-6.5307800608828,-5435,Hold Period
20,BACKUP,1752,2023-04-21,75.6,2023-05-12,70.30799999999999,3,-8.730158730158722,-7.4425,-6198,Stop Loss
21,BACKUP,2368,2023-04-07,95.3,2023-05-19,113.5,6,19.09758656873033,18.65508656873033,15543,Hold Period
22,BACKUP,2731,2023-04-14,179.0,2023-05-26,181.5,6,1.3966480446927374,0.9541480446927374,794,Hold Period
23,BACKUP,4763,2023-04-28,470.5,2023-06-02,506.0,5,7.545164718384697,7.102664718384697,5890,Trailing Stop
24,BACKUP,3693,2023-04-28,178.5,2023-06-09,248.0,6,38.93557422969188,38.49307422969188,32065,Hold Period
25,MAIN,1795,2023-05-19,343.5,2023-06-09,319.455,3,-7.132459970887918,-7.4425,-6196,Stop Loss
26,BACKUP,8155,2023-05-05,148.0,2023-06-16,139.0,6,-6.081081081081082,-6.5235810810810815,-5434,Hold Period
27,BACKUP,3037,2023-05-19,170.0,2023-06-30,176.0,6,3.5294117647058822,3.0869117647058824,2570,Hold Period
28,BACKUP,1519,2023-05-26,135.5,2023-06-30,147.5,5,8.856088560885608,8.413588560885607,7010,Trailing Stop
29,BACKUP,2376,2023-06-02,203.0,2023-07-14,296.0,6,45.8128078817734,45.37030788177339,37723,Hold Period
30,BACKUP,2743,2023-06-09,162.5,2023-07-14,151.125,5,-21.23076923076923,-7.4425,-6201,Stop Loss
31,BACKUP,2748,2023-06-30,92.2,2023-07-14,85.746,2,-10.737527114967468,-7.4425,-6198,Stop Loss
32,BACKUP,3178,2023-06-09,95.8,2023-07-21,90.7,6,-5.323590814196236,-5.766090814196236,-4802,Hold Period
33,BACKUP,4747,2023-06-16,88.7,2023-07-28,104.5,6,17.812852311161215,17.370352311161216,14473,Hold Period
34,BACKUP,3035,2023-07-14,295.0,2023-07-28,319.5,2,8.305084745762711,7.862584745762711,6550,Trailing Stop
35,BACKUP,2059,2023-06-30,663.0,2023-08-04,817.0,5,23.227752639517345,22.785252639517346,18910,Trailing Stop
36,MAIN,3035,2023-07-28,319.5,2023-08-04,297.135,1,-11.89358372456964,-7.4425,-6191,Stop Loss
37,BACKUP,1560,2023-07-28,141.5,2023-08-04,131.595,1,-7.06713780918728,-7.4425,-6201,Stop Loss
38,BACKUP,4551,2023-07-14,144.0,2023-08-11,133.92,4,-7.291666666666667,-7.4425,-6193,Stop Loss
39,MAIN,4763,2023-07-21,841.0,2023-08-11,782.13,3,-8.204518430439952,-7.4425,-6143,Stop Loss
40,BACKUP,1519,2023-07-21,216.0,2023-09-01,292.5,6,35.41666666666667,34.97416666666667,29126,Hold Period
41,BACKUP,6829,2023-09-01,154.0,2023-09-08,143.22,1,-9.090909090909092,-7.4425,-6198,Stop Loss
42,BACKUP,1560,2023-08-04,131.5,2023-09-15,143.0,6,8.745247148288973,8.302747148288972,6910,Hold Period
43,BACKUP,2388,2023-08-04,109.5,2023-09-15,120.0,6,9.58904109589041,9.14654109589041,7613,Hold Period
44,BACKUP,4572,2023-08-11,188.5,2023-09-15,175.30499999999998,5,-11.140583554376658,-7.4425,-6196,Stop Loss
45,BACKUP,2645,2023-09-01,129.5,2023-09-15,120.435,2,-12.741312741312742,-7.4425,-6196,Stop Loss
46,BACKUP,6829,2023-09-08,140.0,2023-09-15,130.2,1,-12.5,-7.4425,-6198,Stop Loss
47,BACKUP,6829,2023-09-15,122.5,2023-09-22,113.925,1,-8.571428571428571,-7.4425,-6199,Stop Loss
48,MAIN,8016,2023-09-15,302.5,2023-09-28,281.325,1,-7.933884297520661,-7.4425,-6200,Stop Loss
49,BACKUP,5321,2023-09-28,123.0,2023-10-06,114.39,1,-15.447154471544716,-7.4425,-6197,Stop Loss
50,BACKUP,5321,2023-10-06,104.0,2023-10-13,96.72,1,-13.461538461538462,-7.4425,-6201,Stop Loss
51,BACKUP,2368,2023-09-08,208.5,2023-10-20,193.905,6,-7.673860911270983,-7.4425,-6200,Stop Loss
52,MAIN,3592,2023-09-22,368.0,2023-11-03,373.5,6,1.4945652173913044,1.0520652173913043,876,Hold Period
53,BACKUP,3217,2023-09-22,129.0,2023-11-03,129.5,6,0.3875968992248062,-0.0549031007751937,-46,Hold Period
54,MAIN,2059,2023-10-20,797.0,2023-11-03,741.2099999999999,2,-9.786700125470514,-7.4425,-6178,Stop Loss
55,BACKUP,4961,2023-10-13,269.0,2023-11-10,250.17,4,-8.178438661710038,-7.4425,-6195,Stop Loss
56,BACKUP,6531,2023-10-06,379.0,2023-11-17,456.0,6,20.31662269129288,19.87412269129288,16519,Hold Period
57,BACKUP,1560,2023-10-20,167.0,2023-12-01,187.0,6,11.976047904191615,11.533547904191616,9606,Hold Period
58,BACKUP,5439,2023-11-03,120.5,2023-12-15,122.5,6,1.6597510373443984,1.2172510373443983,1014,Trailing Stop
59,BACKUP,8227,2023-11-03,202.0,2023-12-15,271.0,6,34.15841584158416,33.71591584158416,28032,Hold Period
60,BACKUP,4967,2023-11-10,87.1,2023-12-22,87.0,6,-0.11481056257175,-0.55731056257175,-464,Hold Period
61,BACKUP,1519,2023-12-15,347.5,2023-12-22,323.17499999999995,1,-7.625899280575539,-7.4425,-6190,Stop Loss
62,MAIN,3661,2023-11-17,3230.0,2023-12-29,3275.0,6,1.393188854489164,0.950688854489164,769,Hold Period
63,BACKUP,3217,2023-11-17,153.0,2023-12-29,171.5,6,12.091503267973856,11.649003267973857,9692,Hold Period
64,MAIN,3324,2023-12-01,356.5,2024-01-05,331.545,5,-9.396914446002803,-7.4425,-6191,Stop Loss
65,BACKUP,3675,2023-12-29,268.5,2024-01-19,249.705,3,-7.82122905027933,-7.4425,-6184,Stop Loss
66,BACKUP,3362,2023-12-15,169.5,2024-01-26,180.0,6,6.1946902654867255,5.752190265486726,4784,Hold Period
67,MAIN,1519,2023-12-22,321.0,2024-02-02,488.5,6,52.18068535825545,51.73818535825545,43076,Hold Period
68,BACKUP,3265,2023-12-22,92.6,2024-02-02,120.5,6,30.129589632829383,29.687089632829384,24721,Hold Period
69,BACKUP,6546,2023-12-29,120.0,2024-02-16,149.0,7,24.166666666666668,23.72416666666667,19757,Hold Period
70,MAIN,6515,2024-01-05,789.0,2024-02-16,815.0,6,3.2953105196451205,2.852810519645121,2367,Hold Period
71,BACKUP,3035,2024-01-26,422.0,2024-02-23,392.46,4,-8.530805687203792,-7.4425,-6196,Stop Loss
72,MAIN,2376,2024-02-16,381.0,2024-02-23,354.33,1,-10.10498687664042,-7.4425,-6190,Stop Loss
73,MAIN,3017,2024-01-19,346.0,2024-03-01,539.0,6,55.78034682080924,55.33784682080924,46018,Hold Period
74,MAIN,6462,2024-03-01,334.0,2024-03-08,310.62,1,-19.311377245508982,-7.4425,-6198,Stop Loss
75,BACKUP,1319,2024-02-02,83.0,2024-03-15,115.5,6,39.1566265060241,38.714126506024094,32243,Hold Period
76,BACKUP,3265,2024-02-02,120.5,2024-03-15,125.0,6,3.734439834024896,3.2919398340248964,2741,Hold Period
77,MAIN,2376,2024-02-23,342.5,2024-03-15,318.525,3,-8.613138686131387,-7.4425,-6178,Stop Loss
78,MAIN,3680,2024-02-16,433.0,2024-03-29,434.0,6,0.23094688221709,-0.2115531177829099,-176,Hold Period
79,BACKUP,6274,2024-02-23,165.5,2024-04-12,188.0,7,13.595166163141997,13.152666163141994,10943,Hold Period
80,MAIN,3406,2024-03-08,400.0,2024-04-19,424.0,6,6.0,5.5575,4630,Trailing Stop
81,BACKUP,5284,2024-03-15,193.0,2024-04-19,179.48999999999998,5,-13.471502590673577,-7.4425,-6200,Stop Loss
82,BACKUP,3083,2024-03-29,51.9,2024-04-19,48.267,3,-7.803468208092481,-7.4425,-6201,Stop Loss
83,MAIN,1795,2024-04-12,342.0,2024-04-19,318.06,1,-8.91812865497076,-7.4425,-6194,Stop Loss
84,BACKUP,3013,2024-03-22,56.2,2024-05-03,74.1,6,31.85053380782916,31.408033807829163,26161,Hold Period
85,BACKUP,4915,2024-03-22,84.5,2024-05-03,96.4,6,14.082840236686398,13.640340236686397,11358,Hold Period
86,MAIN,1795,2024-04-19,311.5,2024-05-10,289.695,3,-7.704654895666131,-7.4425,-6199,Stop Loss
87,MAIN,2404,2024-04-26,408.0,2024-05-10,379.44,2,-8.088235294117647,-7.4425,-6173,Stop Loss
88,BACKUP,2739,2024-05-10,69.4,2024-05-24,64.542,2,-13.54466858789626,-7.4425,-6202,Stop Loss
89,BACKUP,1736,2024-05-17,94.0,2024-05-24,87.41999999999999,1,-7.127659574468089,-7.4425,-6200,Stop Loss
90,BACKUP,6472,2024-04-19,706.0,2024-05-31,764.0,6,8.21529745042493,7.772797450424931,6430,Hold Period
91,BACKUP,3675,2024-04-26,301.0,2024-06-07,347.5,6,15.448504983388704,15.006004983388705,12484,Hold Period
92,BACKUP,3466,2024-05-10,57.9,2024-06-21,87.1,6,50.431778929188255,49.98927892918825,41651,Trailing Stop
93,MAIN,3413,2024-05-17,307.0,2024-06-28,308.5,6,0.4885993485342019,0.0460993485342018,38,Hold Period
94,MAIN,8996,2024-05-24,495.0,2024-07-05,490.0,6,-1.0101010101010102,-1.4526010101010105,-1210,Hold Period
95,BACKUP,1736,2024-05-24,87.3,2024-07-05,88.9,6,1.8327605956472035,1.3902605956472032,1158,Hold Period
96,BACKUP,3044,2024-05-31,212.0,2024-07-12,208.0,6,-1.8867924528301887,-2.3292924528301886,-1938,Hold Period
97,BACKUP,1560,2024-06-07,282.5,2024-07-19,328.0,6,16.10619469026549,15.663694690265489,13028,Hold Period
98,BACKUP,1519,2024-07-05,936.0,2024-07-26,870.4799999999999,3,-17.200854700854702,-7.4425,-6139,Stop Loss
99,BACKUP,6451,2024-07-05,254.5,2024-07-26,236.685,3,-11.19842829076621,-7.4425,-6184,Stop Loss
100,MAIN,5904,2024-06-21,500.0,2024-08-02,507.0,6,1.4,0.9575,796,Hold Period
101,BACKUP,3013,2024-07-19,120.5,2024-08-02,112.065,2,-15.767634854771783,-7.4425,-6197,Stop Loss
102,BACKUP,3163,2024-06-28,137.0,2024-08-09,136.5,6,-0.364963503649635,-0.807463503649635,-672,Trailing Stop
103,BACKUP,8147,2024-07-26,137.5,2024-08-09,127.875,2,-18.90909090909091,-7.4425,-6200,Stop Loss
104,BACKUP,2739,2024-08-02,68.5,2024-08-09,63.705,1,-12.408759124087592,-7.4425,-6198,Stop Loss
105,BACKUP,3583,2024-07-12,411.5,2024-08-23,468.5,6,13.851761846901582,13.40926184690158,11162,Hold Period
106,BACKUP,5225,2024-07-26,123.5,2024-09-06,146.5,6,18.62348178137652,18.18098178137652,15133,Hold Period
107,BACKUP,6805,2024-08-23,830.0,2024-09-06,771.9,2,-17.710843373493976,-7.4425,-6186,Stop Loss
108,BACKUP,2739,2024-08-09,60.0,2024-09-20,55.8,6,-7.666666666666669,-7.4425,-6198,Stop Loss
109,BACKUP,4542,2024-09-13,82.5,2024-09-27,86.5,2,4.848484848484849,4.405984848484849,3669,Trailing Stop
110,BACKUP,6546,2024-09-20,216.0,2024-10-18,200.88,4,-29.166666666666668,-7.4425,-6198,Stop Loss
111,MAIN,6187,2024-10-04,494.5,2024-10-18,459.885,2,-8.998988877654195,-7.4425,-6192,Stop Loss
112,BACKUP,3167,2024-10-11,158.5,2024-10-18,147.405,1,-10.725552050473189,-7.4425,-6202,Stop Loss
113,BACKUP,3081,2024-09-13,209.0,2024-10-25,360.0,6,72.24880382775119,71.8063038277512,59815,Hold Period
114,BACKUP,5234,2024-09-20,238.0,2024-11-01,226.5,6,-4.831932773109244,-5.274432773109244,-4387,Hold Period
115,BACKUP,3013,2024-10-04,126.5,2024-11-15,154.0,6,21.73913043478261,21.29663043478261,17725,Hold Period
116,MAIN,3583,2024-10-18,480.5,2024-11-15,446.865,4,-9.261186264308012,-7.4425,-6196,Stop Loss
117,BACKUP,6805,2024-10-25,859.0,2024-11-15,798.8699999999999,3,-8.614668218859139,-7.4425,-6146,Stop Loss
118,BACKUP,2354,2024-11-08,97.3,2024-11-22,90.489,2,-15.519013360739976,-7.4425,-6200,Stop Loss
119,BACKUP,3447,2024-11-15,90.0,2024-11-22,83.69999999999999,1,-11.333333333333336,-7.4425,-6198,Stop Loss
120,BACKUP,6510,2024-10-25,537.0,2024-12-06,909.0,6,69.27374301675978,68.83124301675979,57003,Hold Period
