股票,引擎,進場日期,進場價格,出場日期,出場價格,日曆天數,收益率%,收益金額,出場原因,投入資金
4919,backup,20230208,154.00,20230222,142.50,14,-7.91%,"NT$-13,175",停損,"NT$166,557"
3558,backup,20230208,261.00,20230322,348.00,42,+32.89%,"NT$+54,761",到期,"NT$166,494"
3675,backup,20230208,245.50,20230322,308.00,42,+25.02%,"NT$+41,636",到期,"NT$166,440"
6719,main,20230322,332.00,20230328,307.50,6,-7.82%,"NT$-13,029",停損,"NT$166,569"
3680,main,20230329,366.00,20230421,339.00,23,-7.82%,"NT$-13,012",停損,"NT$166,401"
4763,main,20230419,480.00,20230421,435.00,2,-9.82%,"NT$-16,328",停損,"NT$166,317"
1752,backup,20230426,77.70,20230511,70.20,15,-10.10%,"NT$-16,818",停損,"NT$166,593"
8155,backup,20230426,148.00,20230515,134.00,19,-9.90%,"NT$-16,496",停損,"NT$166,589"
3693,backup,20230426,178.50,20230607,245.50,42,+37.09%,"NT$+61,796",到期,"NT$166,599"
1795,main,20230524,334.50,20230608,311.00,15,-7.47%,"NT$-12,433",停損,"NT$166,483"
8046,main,20230531,303.00,20230615,281.00,15,-7.70%,"NT$-12,832",停損,"NT$166,584"
2743,backup,20230607,160.50,20230712,136.50,35,-15.40%,"NT$-25,636",停損,"NT$166,515"
4572,backup,20230621,182.50,20230724,168.00,33,-8.39%,"NT$-13,965",停損,"NT$166,494"
4747,backup,20230614,81.20,20230726,108.00,42,+32.56%,"NT$+54,254",到期,"NT$166,616"
4551,backup,20230712,146.50,20230802,135.50,21,-7.95%,"NT$-13,251",停損,"NT$166,661"
1519,backup,20230809,224.00,20230814,192.50,5,-14.51%,"NT$-24,143",停損,"NT$166,445"
6829,backup,20230830,150.00,20230907,139.50,8,-7.44%,"NT$-12,398",停損,"NT$166,587"
2368,backup,20230906,216.50,20230911,199.00,5,-8.53%,"NT$-14,196",停損,"NT$166,509"
2645,backup,20230830,130.00,20230912,117.00,13,-10.44%,"NT$-17,401",停損,"NT$166,637"
3592,main,20230920,358.50,20231101,368.00,42,+2.21%,"NT$+3,677",到期,"NT$166,581"
8016,main,20230920,286.50,20231101,290.00,42,+0.78%,"NT$+1,297",到期,"NT$166,407"
4967,backup,20231108,92.30,20231201,85.20,23,-8.13%,"NT$-13,557",停損,"NT$166,654"
6533,main,20231101,389.50,20231213,481.00,42,+23.05%,"NT$+38,389",到期,"NT$166,554"
6789,main,20231206,305.00,20231219,277.50,13,-9.46%,"NT$-15,745",停損,"NT$166,462"
