股票,引擎,進場日期,進場價格,出場日期,出場價格,交易日數,日曆天數,收益率%,收益金額,出場原因,投入資金
2481,backup,20220110,98.60,20220113,90.60,3,3,-8.56%,"NT$-14,252",停損,"NT$166,575"
6548,backup,20220110,96.70,20220321,98.90,42,70,+1.83%,"NT$+3,054",到期,"NT$166,658"
2467,main,20220110,50.80,20220321,50.10,42,70,-1.82%,"NT$-3,034",到期,"NT$166,658"
3443,main,20221209,794.00,20221222,730.00,9,13,-8.50%,"NT$-14,130",停損,"NT$166,182"
6472,main,20221209,394.50,20230220,492.50,42,73,+24.40%,"NT$+40,581",到期,"NT$166,321"
2731,backup,20221223,102.50,20230308,122.50,42,75,+19.07%,"NT$+31,769",到期,"NT$166,595"
3680,main,20230331,374.00,20230418,343.50,9,18,-8.60%,"NT$-14,297",停損,"NT$166,293"
6719,main,20230324,328.50,20230510,300.50,29,47,-8.97%,"NT$-14,925",停損,"NT$166,458"
1752,backup,20230428,80.60,20230511,70.20,8,13,-13.35%,"NT$-22,233",停損,"NT$166,595"
4763,main,20230421,435.00,20230621,533.00,42,61,+22.09%,"NT$+36,753",到期,"NT$166,407"
1795,main,20230526,327.00,20230703,299.00,24,38,-9.01%,"NT$-14,980",停損,"NT$166,353"
6279,backup,20230627,165.00,20230724,153.00,19,27,-7.72%,"NT$-12,850",停損,"NT$166,557"
1519,backup,20230811,211.50,20230814,192.50,1,3,-9.43%,"NT$-15,692",停損,"NT$166,476"
4572,backup,20230627,172.50,20230825,184.00,42,59,+6.22%,"NT$+10,365",到期,"NT$166,527"
3035,backup,20230707,244.50,20230906,367.00,42,61,+49.66%,"NT$+82,682",到期,"NT$166,497"
2645,backup,20230901,129.50,20230912,117.00,7,11,-10.10%,"NT$-16,823",停損,"NT$166,645"
2368,backup,20230908,208.50,20230918,193.00,6,10,-7.88%,"NT$-13,124",停損,"NT$166,620"
3592,main,20230922,368.00,20231124,394.50,42,63,+6.76%,"NT$+11,258",到期,"NT$166,573"
8016,main,20230922,285.00,20231124,293.50,42,63,+2.54%,"NT$+4,226",到期,"NT$166,392"
6533,main,20231103,398.00,20240103,462.50,42,61,+15.76%,"NT$+26,262",到期,"NT$166,601"
3324,main,20231201,356.50,20240105,323.00,24,35,-9.84%,"NT$-16,369",停損,"NT$166,366"
6531,main,20231124,447.00,20240124,498.00,42,61,+10.97%,"NT$+18,262",到期,"NT$166,521"
8210,main,20240126,286.50,20240219,266.00,9,24,-7.60%,"NT$-12,643",停損,"NT$166,407"
2376,main,20240221,347.50,20240314,317.50,15,22,-9.08%,"NT$-15,096",停損,"NT$166,342"
