股票,引擎,進場日期,進場價格,出場日期,出場價格,交易日數,日曆天數,收益率%,收益金額,出場原因,投入資金
6205,backup,20230210,84.60,20230410,77.80,36,59,-8.48%,"NT$-7,062",停損,"NT$83,280"
3558,backup,20230210,254.50,20230418,311.00,42,67,+21.76%,"NT$+18,078",到期,"NT$83,085"
3675,backup,20230210,248.50,20230418,305.50,42,67,+22.50%,"NT$+18,697",到期,"NT$83,117"
4919,backup,20230210,147.50,20230418,147.00,42,67,-0.78%,NT$-651,到期,"NT$83,309"
5258,backup,20230210,76.80,20230418,88.50,42,67,+14.79%,"NT$+12,321",到期,"NT$83,293"
6472,main,20230224,503.00,20230503,766.00,42,68,+51.84%,"NT$+43,089",到期,"NT$83,113"
1752,backup,20230428,80.60,20230511,70.20,8,13,-13.35%,"NT$-11,117",停損,"NT$83,298"
8155,backup,20230428,156.00,20230511,139.00,8,13,-11.34%,"NT$-9,442",停損,"NT$83,266"
8046,main,20230602,308.00,20230608,282.00,4,6,-8.88%,"NT$-7,399",停損,"NT$83,279"
4763,main,20230421,435.00,20230621,533.00,42,61,+22.09%,"NT$+18,376",到期,"NT$83,203"
3693,backup,20230428,178.50,20230630,326.00,42,63,+82.19%,"NT$+68,464",到期,"NT$83,300"
1795,main,20230526,327.00,20230703,299.00,24,38,-9.01%,"NT$-7,490",停損,"NT$83,176"
2743,backup,20230609,162.50,20230712,136.50,21,33,-16.44%,"NT$-13,700",停損,"NT$83,319"
4551,backup,20230714,144.00,20230808,133.00,16,25,-8.08%,"NT$-6,724",停損,"NT$83,206"
3178,backup,20230609,95.80,20230810,88.40,41,62,-8.17%,"NT$-6,801",停損,"NT$83,273"
3583,backup,20230609,150.00,20230811,218.00,42,63,+44.89%,"NT$+37,357",到期,"NT$83,218"
1519,backup,20230811,211.50,20230814,192.50,1,3,-9.43%,"NT$-7,846",停損,"NT$83,238"
4572,backup,20230627,172.50,20230825,184.00,42,59,+6.22%,"NT$+5,182",到期,"NT$83,263"
2059,backup,20230630,663.00,20230830,909.00,42,61,+36.66%,"NT$+30,427",到期,"NT$82,993"
6829,backup,20230901,154.00,20230905,143.00,2,4,-7.59%,"NT$-6,317",停損,"NT$83,279"
3035,backup,20230707,244.50,20230906,367.00,42,61,+49.66%,"NT$+41,341",到期,"NT$83,248"
2645,backup,20230901,129.50,20230912,117.00,7,11,-10.10%,"NT$-8,405",停損,"NT$83,257"
2368,backup,20230908,208.50,20230918,193.00,6,10,-7.88%,"NT$-6,562",停損,"NT$83,310"
3592,main,20230922,368.00,20231124,394.50,42,63,+6.76%,"NT$+5,629",到期,"NT$83,287"
8016,main,20230922,285.00,20231124,293.50,42,63,+2.54%,"NT$+2,110",到期,"NT$83,053"
3661,main,20231117,3230.00,20231127,2950.00,6,10,-9.11%,"NT$-7,368",停損,"NT$80,865"
