股票,引擎,進場日期,進場價格,出場日期,出場價格,日曆天數,收益率%,收益金額,出場原因,投入資金
3443,main,20221207,742.00,20221228,636.00,21,-14.73%,"NT$-12,257",停損,"NT$83,222"
6472,main,20221207,400.00,20230118,402.00,42,+0.06%,NT$+48,到期,"NT$83,319"
2731,backup,20221221,98.80,20230201,105.50,42,+6.34%,"NT$+5,281",到期,"NT$83,308"
6515,backup,20221221,412.00,20230201,452.00,42,+9.27%,"NT$+7,684",到期,"NT$82,930"
4919,backup,20230208,154.00,20230222,142.50,14,-7.91%,"NT$-6,587",停損,"NT$83,279"
3558,backup,20230208,261.00,20230322,348.00,42,+32.89%,"NT$+27,338",到期,"NT$83,116"
3675,backup,20230208,245.50,20230322,308.00,42,+25.02%,"NT$+20,787",到期,"NT$83,097"
5258,backup,20230208,78.50,20230322,94.30,42,+19.68%,"NT$+16,403",到期,"NT$83,329"
6205,backup,20230208,85.80,20230322,85.00,42,-1.37%,"NT$-1,145",到期,"NT$83,259"
6719,main,20230322,332.00,20230328,307.50,6,-7.82%,"NT$-6,502",停損,"NT$83,118"
3680,main,20230329,366.00,20230421,339.00,23,-7.82%,"NT$-6,506",停損,"NT$83,200"
4763,main,20230419,480.00,20230421,435.00,2,-9.82%,"NT$-8,164",停損,"NT$83,158"
1752,backup,20230426,77.70,20230511,70.20,15,-10.10%,"NT$-8,405",停損,"NT$83,257"
8155,backup,20230426,148.00,20230515,134.00,19,-9.90%,"NT$-8,248",停損,"NT$83,295"
3693,backup,20230426,178.50,20230607,245.50,42,+37.09%,"NT$+30,898",到期,"NT$83,300"
1795,main,20230524,334.50,20230608,311.00,15,-7.47%,"NT$-6,204",停損,"NT$83,074"
8046,main,20230531,303.00,20230615,281.00,15,-7.70%,"NT$-6,404",停損,"NT$83,140"
2743,backup,20230607,160.50,20230712,136.50,35,-15.40%,"NT$-12,818",停損,"NT$83,257"
3178,backup,20230607,96.80,20230719,89.20,42,-8.29%,"NT$-6,906",停損,"NT$83,270"
