股票,引擎,進場日期,進場價格,出場日期,出場價格,交易日數,日曆天數,收益率%,收益金額,出場原因,投入資金
3443,main,20221209,794.00,20221222,730.00,9,13,-8.50%,"NT$-14,130",停損,"NT$166,182"
6472,main,20221209,394.50,20230505,832.00,90,147,+110.46%,"NT$+183,714",到期,"NT$166,321"
2731,backup,20221223,102.50,20230519,183.50,90,147,+78.58%,"NT$+130,913",到期,"NT$166,595"
8046,main,20230602,308.00,20230608,282.00,4,6,-8.88%,"NT$-14,797",停損,"NT$166,557"
1795,main,20230526,327.00,20230703,299.00,24,38,-9.01%,"NT$-14,980",停損,"NT$166,353"
2743,backup,20230609,162.50,20230712,136.50,21,33,-16.44%,"NT$-27,399",停損,"NT$166,637"
4551,backup,20230714,144.00,20230808,133.00,16,25,-8.08%,"NT$-13,460",停損,"NT$166,557"
3178,backup,20230609,95.80,20230810,88.40,41,62,-8.17%,"NT$-13,610",停損,"NT$166,642"
1519,backup,20230811,211.50,20230814,192.50,1,3,-9.43%,"NT$-15,692",停損,"NT$166,476"
6829,backup,20230901,154.00,20230905,143.00,2,4,-7.59%,"NT$-12,634",停損,"NT$166,557"
2645,backup,20230901,129.50,20230912,117.00,7,11,-10.10%,"NT$-16,823",停損,"NT$166,645"
2368,backup,20230908,208.50,20230918,193.00,6,10,-7.88%,"NT$-13,124",停損,"NT$166,620"
3035,backup,20230707,244.50,20231116,319.50,90,132,+30.23%,"NT$+50,336",到期,"NT$166,497"
3661,main,20231117,3230.00,20231127,2950.00,6,10,-9.11%,"NT$-15,030",停損,"NT$164,965"
3324,main,20231201,356.50,20240105,323.00,24,35,-9.84%,"NT$-16,369",停損,"NT$166,366"
3592,main,20230922,368.00,20240201,377.00,90,132,+2.00%,"NT$+3,337",到期,"NT$166,573"
8016,main,20230922,285.00,20240201,271.50,90,132,-5.18%,"NT$-8,618",到期,"NT$166,392"
3017,main,20240119,346.00,20240611,665.00,90,144,+91.75%,"NT$+152,920",到期,"NT$166,663"
3265,backup,20240202,120.50,20240625,135.50,90,144,+12.01%,"NT$+20,007",到期,"NT$166,648"
1319,backup,20240202,83.00,20240626,113.00,91,145,+35.70%,"NT$+59,498",到期,"NT$166,652"
5904,main,20240621,500.00,20241105,491.00,90,137,-2.24%,"NT$-3,728",到期,"NT$166,237"
3163,backup,20240628,137.00,20241112,136.00,90,137,-1.17%,"NT$-1,953",到期,"NT$166,555"
3374,backup,20240628,180.00,20241112,215.00,90,137,+19.00%,"NT$+31,649",到期,"NT$166,557"
6223,main,20241227,925.00,20250207,849.00,21,42,-8.66%,"NT$-14,357",停損,"NT$165,811"
3376,backup,20250221,287.00,20250306,265.00,8,13,-8.11%,"NT$-13,493",停損,"NT$166,410"
6643,main,20250307,707.00,20250328,646.00,15,21,-9.07%,"NT$-15,092",停損,"NT$166,382"
2383,main,20241213,599.00,20250331,545.00,66,108,-9.46%,"NT$-15,715",停損,"NT$166,159"
7722,main,20250328,685.00,20250331,630.00,1,3,-8.47%,"NT$-14,064",停損,"NT$166,006"
3147,backup,20250505,284.00,20250512,252.00,5,7,-11.71%,"NT$-19,516",停損,"NT$166,661"
3491,main,20241220,316.00,20250514,357.00,90,145,+12.53%,"NT$+20,860",到期,"NT$166,453"
2745,backup,20250516,128.00,20250606,117.50,14,21,-8.65%,"NT$-14,407",停損,"NT$166,637"
6597,backup,20250606,73.50,20250820,66.10,53,75,-10.51%,"NT$-17,515",停損,"NT$166,641"
6669,backup,20250516,2380.00,20250922,3125.00,90,129,+30.86%,"NT$+50,751",到期,"NT$164,454"
6510,main,20250523,831.00,20250930,1925.00,90,130,+131.21%,"NT$+218,375",到期,"NT$166,437"
3709,backup,20251017,50.00,20251029,44.50,7,12,-11.44%,"NT$-19,067",停損,"NT$166,637"
3450,backup,20251014,241.00,20251118,224.00,24,35,-7.50%,"NT$-12,484",停損,"NT$166,527"
3211,main,20260105,312.50,20260115,290.50,8,10,-7.48%,"NT$-12,457",停損,"NT$166,487"
