股票,引擎,進場日期,進場價格,出場日期,出場價格,交易日數,日曆天數,收益率%,收益金額,出場原因,投入資金
6205,backup,20230210,84.60,20230410,77.80,36,59,-8.48%,"NT$-7,062",停損,"NT$83,280"
4919,backup,20230210,147.50,20230425,130.00,47,74,-12.31%,"NT$-10,253",停損,"NT$83,309"
1752,backup,20230428,80.60,20230511,70.20,8,13,-13.35%,"NT$-11,117",停損,"NT$83,298"
3558,backup,20230210,254.50,20230628,253.00,90,138,-1.03%,NT$-857,到期,"NT$83,085"
3675,backup,20230210,248.50,20230628,295.00,90,138,+18.27%,"NT$+15,185",到期,"NT$83,117"
5258,backup,20230210,76.80,20230628,105.00,90,138,+36.28%,"NT$+30,216",到期,"NT$83,293"
1795,main,20230526,327.00,20230703,299.00,24,38,-9.01%,"NT$-7,490",停損,"NT$83,176"
2748,backup,20230630,92.20,20230710,84.60,6,10,-8.69%,"NT$-7,233",停損,"NT$83,283"
6472,main,20230224,503.00,20230712,770.00,90,138,+52.64%,"NT$+43,750",到期,"NT$83,113"
4551,backup,20230714,144.00,20230808,133.00,16,25,-8.08%,"NT$-6,724",停損,"NT$83,206"
1519,backup,20230811,211.50,20230814,192.50,1,3,-9.43%,"NT$-7,846",停損,"NT$83,238"
6829,backup,20230901,154.00,20230905,143.00,2,4,-7.59%,"NT$-6,317",停損,"NT$83,279"
2645,backup,20230901,129.50,20230912,117.00,7,11,-10.10%,"NT$-8,405",停損,"NT$83,257"
2368,backup,20230908,208.50,20230918,193.00,6,10,-7.88%,"NT$-6,562",停損,"NT$83,310"
2059,backup,20230630,663.00,20231109,854.00,90,132,+28.37%,"NT$+23,542",到期,"NT$82,993"
3035,backup,20230707,244.50,20231116,319.50,90,132,+30.23%,"NT$+25,168",到期,"NT$83,248"
3661,main,20231117,3230.00,20231127,2950.00,6,10,-9.11%,"NT$-7,368",停損,"NT$80,865"
