股票,引擎,進場日期,進場價格,出場日期,出場價格,持倉天數,收益率%,收益金額,出場原因,投入資金
3558,backup,20230210,254.50,20230216,282.50,6,+10.56%,"NT$+8,773",到期,"NT$83,085"
3675,backup,20230210,248.50,20230216,279.00,6,+11.83%,"NT$+9,834",到期,"NT$83,117"
4919,backup,20230210,147.50,20230216,149.00,6,+0.57%,NT$+479,到期,"NT$83,309"
5258,backup,20230210,76.80,20230216,78.90,6,+2.29%,"NT$+1,909",到期,"NT$83,293"
6205,backup,20230210,84.60,20230216,83.90,6,-1.27%,"NT$-1,058",到期,"NT$83,280"
6472,main,20230224,503.00,20230302,514.00,6,+1.74%,"NT$+1,450",到期,"NT$83,113"
6719,main,20230324,328.50,20230330,315.00,6,-4.55%,"NT$-3,789",到期,"NT$83,229"
3680,main,20230331,374.00,20230406,360.00,6,-4.19%,"NT$-3,480",到期,"NT$83,146"
8478,main,20230412,521.00,20230418,503.00,6,-3.90%,"NT$-3,233",到期,"NT$82,957"
4763,main,20230421,435.00,20230427,428.00,6,-2.05%,"NT$-1,707",到期,"NT$83,203"
1752,backup,20230428,80.60,20230504,80.90,6,-0.07%,NT$-59,到期,"NT$83,298"
3693,backup,20230428,178.50,20230504,188.00,6,+4.88%,"NT$+4,065",到期,"NT$83,300"
8155,backup,20230428,156.00,20230504,153.50,6,-2.05%,"NT$-1,703",到期,"NT$83,266"
1795,main,20230526,327.00,20230601,320.00,6,-2.58%,"NT$-2,149",到期,"NT$83,176"
8046,main,20230602,308.00,20230608,282.00,6,-8.88%,"NT$-7,399",停損,"NT$83,279"
2743,backup,20230609,162.50,20230615,162.00,6,-0.75%,NT$-625,到期,"NT$83,319"
3178,backup,20230609,95.80,20230615,103.50,6,+7.60%,"NT$+6,325",到期,"NT$83,273"
3583,backup,20230609,150.00,20230615,158.00,6,+4.89%,"NT$+4,070",到期,"NT$83,218"
4979,backup,20230609,76.40,20230615,84.80,6,+10.55%,"NT$+8,792",到期,"NT$83,318"
5243,backup,20230609,85.50,20230615,83.00,6,-3.37%,"NT$-2,805",到期,"NT$83,310"
4747,backup,20230616,88.70,20230626,110.50,10,+24.13%,"NT$+20,109",到期,"NT$83,319"
6679,backup,20230616,318.50,20230626,303.50,10,-5.15%,"NT$-4,289",到期,"NT$83,247"
4572,backup,20230627,172.50,20230703,181.50,6,+4.77%,"NT$+3,976",到期,"NT$83,263"
6279,backup,20230627,165.00,20230703,169.00,6,+1.98%,"NT$+1,650",到期,"NT$83,279"
2059,backup,20230630,663.00,20230706,667.00,6,+0.16%,NT$+133,到期,"NT$82,993"
2748,backup,20230630,92.20,20230706,88.00,6,-5.00%,"NT$-4,162",到期,"NT$83,283"
3035,backup,20230707,244.50,20230713,268.50,6,+9.37%,"NT$+7,803",到期,"NT$83,248"
4551,backup,20230714,144.00,20230720,139.00,6,-3.91%,"NT$-3,257",到期,"NT$83,206"
1519,backup,20230811,211.50,20230814,192.50,3,-9.43%,"NT$-7,846",停損,"NT$83,238"
6829,backup,20230901,154.00,20230905,143.00,4,-7.59%,"NT$-6,317",停損,"NT$83,279"
2645,backup,20230901,129.50,20230907,122.50,6,-5.85%,"NT$-4,869",到期,"NT$83,257"
2368,backup,20230908,208.50,20230914,199.50,6,-4.76%,"NT$-3,965",到期,"NT$83,310"
3592,main,20230922,368.00,20230928,355.00,6,-3.98%,"NT$-3,311",到期,"NT$83,287"
8016,main,20230922,285.00,20230928,278.50,6,-2.72%,"NT$-2,262",到期,"NT$83,053"
6533,main,20231103,398.00,20231109,411.00,6,+2.82%,"NT$+2,352",到期,"NT$83,301"
4967,backup,20231110,87.10,20231116,88.90,6,+1.62%,"NT$+1,353",到期,"NT$83,299"
5439,backup,20231110,122.50,20231116,119.50,6,-2.89%,"NT$-2,408",到期,"NT$83,296"
3661,main,20231117,3230.00,20231123,3125.00,6,-3.69%,"NT$-2,987",到期,"NT$80,865"
6531,main,20231124,447.00,20231130,468.00,6,+4.26%,"NT$+3,543",到期,"NT$83,260"
3324,main,20231201,356.50,20231207,346.00,6,-3.39%,"NT$-2,818",到期,"NT$83,183"
3406,main,20231201,394.50,20231207,393.50,6,-0.70%,NT$-577,到期,"NT$82,963"
6789,main,20231208,294.00,20231214,292.00,6,-1.12%,NT$-936,到期,"NT$83,321"
