股票,引擎,進場日期,進場價格,出場日期,出場價格,持倉天數,收益率%,收益金額,出場原因,投入資金
3443,main,20221209,794.00,20221222,730.00,13,-8.50%,"NT$-7,031",停損,"NT$82,694"
6472,main,20221209,394.50,20230309,495.00,90,+25.03%,"NT$+20,768",到期,"NT$82,963"
2731,backup,20221223,102.50,20230323,126.00,90,+22.48%,"NT$+18,717",到期,"NT$83,246"
6515,backup,20221223,404.00,20230323,710.00,90,+75.30%,"NT$+62,452",到期,"NT$82,938"
3680,main,20230331,374.00,20230418,343.50,18,-8.60%,"NT$-7,149",停損,"NT$83,146"
5284,backup,20230203,80.70,20230504,116.50,90,+43.92%,"NT$+36,594",到期,"NT$83,320"
8478,backup,20230203,336.50,20230504,492.00,90,+45.77%,"NT$+38,095",到期,"NT$83,234"
6719,main,20230324,328.50,20230510,300.50,47,-8.97%,"NT$-7,462",停損,"NT$83,229"
1752,backup,20230428,80.60,20230511,70.20,13,-13.35%,"NT$-11,117",停損,"NT$83,298"
8046,main,20230602,308.00,20230608,282.00,6,-8.88%,"NT$-7,399",停損,"NT$83,279"
1795,main,20230526,327.00,20230703,299.00,38,-9.01%,"NT$-7,490",停損,"NT$83,176"
2743,backup,20230609,162.50,20230712,136.50,33,-16.44%,"NT$-13,700",停損,"NT$83,319"
4763,main,20230421,435.00,20230720,806.00,90,+84.84%,"NT$+70,594",到期,"NT$83,203"
3693,backup,20230428,178.50,20230727,362.50,90,+102.64%,"NT$+85,498",到期,"NT$83,300"
4551,backup,20230714,144.00,20230808,133.00,25,-8.08%,"NT$-6,724",停損,"NT$83,206"
3178,backup,20230609,95.80,20230810,88.40,62,-8.17%,"NT$-6,801",停損,"NT$83,273"
1519,backup,20230811,211.50,20230814,192.50,3,-9.43%,"NT$-7,846",停損,"NT$83,238"
6829,backup,20230901,154.00,20230905,143.00,4,-7.59%,"NT$-6,317",停損,"NT$83,279"
3583,backup,20230609,150.00,20230907,219.00,90,+45.56%,"NT$+37,912",到期,"NT$83,218"
2645,backup,20230901,129.50,20230912,117.00,11,-10.10%,"NT$-8,405",停損,"NT$83,257"
2368,backup,20230908,208.50,20230918,193.00,10,-7.88%,"NT$-6,562",停損,"NT$83,310"
3035,backup,20230707,244.50,20231005,321.00,90,+30.85%,"NT$+25,679",到期,"NT$83,248"
3661,main,20231117,3230.00,20231127,2950.00,10,-9.11%,"NT$-7,368",停損,"NT$80,865"
3592,main,20230922,368.00,20231221,393.00,90,+6.35%,"NT$+5,290",到期,"NT$83,287"
8016,main,20230922,285.00,20231221,276.00,90,-3.60%,"NT$-2,990",到期,"NT$83,053"
4967,backup,20231110,87.10,20240104,79.00,55,-9.74%,"NT$-8,115",停損,"NT$83,299"
5439,backup,20231110,122.50,20240104,109.50,55,-11.05%,"NT$-9,208",停損,"NT$83,296"
